chain_1,chain_2,chain_3,chain_4,chain_5,chain_6,chain_7,chain_8,chain_9,chain_10,chain_11,chain_12,chain_13,chain_14,chain_15,chain_16,chain_17,chain_18,chain_19,chain_20,chain_21,chain_22,chain_23,chain_24,chain_25,chain_26,chain_27,chain_28,chain_29,chain_30,chain_31,chain_32,chain_33,chain_34,chain_35,chain_36,chain_37,chain_38,chain_39,chain_40,chain_41,chain_42,chain_43,chain_44,chain_45,chain_46,chain_47,chain_48,chain_49,chain_50,chain_51,chain_52,chain_53,chain_54,chain_55,chain_56,chain_57,chain_58,chain_59,chain_60,chain_61,chain_62,chain_63,chain_64,chain_65,chain_66,chain_67,chain_68,chain_69,chain_70,chain_71,chain_72,chain_73,chain_74,chain_75,chain_76,chain_77,chain_78,chain_79,chain_80,chain_81,chain_82,chain_83,chain_84,chain_85,chain_86,chain_87,chain_88,chain_89,chain_90,chain_91,chain_92,chain_93,chain_94,chain_95,chain_96,chain_97,chain_98,chain_99,chain_100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0934394943866163,0.0924759919450348,0.0940513754280345,0.0804167523669489,0.0871979495930249,0.0785393970135396,0.0794522959699598,0.0757015286702745,0.0729254824868424,0.0836194161097818,0.094249720345086,0.0853280939913833,0.0652610973796559,0.0844577539624568,0.0782608358267976,0.0649964731284479,0.0626353014319705,0.0822802298980475,0.0631315018793895,0.0629840374522592,0.0816850058300373,0.0747358947978413,0.0743437455000324,0.0811604728057462,0.06231962583391,0.0681900139768546,0.0737659786736797,0.0740516802977733,0.0666549439634192,0.0745545338812771,0.0818787119052569,0.0899360405544189,0.0670450144594213,0.0638199588783064,0.0687027841271145,0.0722260062160531,0.0675367587252265,0.0599489920863885,0.0841466896997949,0.0880534650995745,0.0894326650415981,0.0654975365618543,0.0774414878552668,0.0751890449472896,0.0656042838711284,0.0794103057280806,0.080979699821035,0.0838563787928233,0.0597875344968041,0.0946697863821807,0.0598889623796223,0.0622762546646431,0.0798704195022462,0.0707405946590097,0.0593945567940098,0.0769696073496478,0.0830041839960162,0.0867199589742116,0.0664030278321887,0.0676048729416873,0.0910371519842845,0.0725071756089473,0.0667533648868601,0.0597428495025155,0.0730631613625937,0.0701428986499126,0.0900796582875142,0.0942666079182553,0.0852151982601162,0.0680570790531215,0.0724779270553908,0.0696223339660077,0.0843485708877142,0.0609127531194263,0.0934344654934617,0.0720137991185011,0.0603883906801256,0.0793266409267716,0.0708741838346,0.0944583904443852,0.0689255226791279,0.0705265924454604,0.0945677186260726,0.0875277668077324,0.0626787646862529,0.0849115162508179,0.0844801486109968,0.0761615048809626,0.0861135232066603,0.0678349372639935,0.0878468089398355,0.0863353712208455,0.0805732945718109,0.0617282944037005,0.0728298810804363,0.0917534889761163,0.0929735237758905,0.0694621342900809,0.0873944336450976,0.0680142919427786
0.186878707224322,0.184951621224469,0.18810250940263,0.160833685586655,0.174395608394848,0.157078606335892,0.158904419543014,0.151402889500214,0.145851048695735,0.167238591023333,0.18849944734574,0.170655759026789,0.13052214466856,0.168914955807676,0.156521546506966,0.129993059258255,0.12527055432348,0.164560368763876,0.126262678747904,0.12596777164997,0.163370094617002,0.149471653519645,0.148687288520759,0.162321093790297,0.124639085829655,0.136380091418457,0.147531765326729,0.148103216201655,0.133309690771812,0.149109252638929,0.163757054992821,0.179871773989464,0.134089958139447,0.127639888936818,0.137405380230462,0.144451530002787,0.135073344043265,0.119897841755759,0.168293247202475,0.176106871933514,0.178864763475595,0.130995044939134,0.154882689710688,0.150378092474293,0.131208482336797,0.158820440688364,0.161958993050048,0.167712545333598,0.119575090194608,0.189339330903403,0.119777997535142,0.124552604102996,0.159740658160539,0.14148097988877,0.118789210832457,0.153939007592537,0.166008045208127,0.17343994458676,0.132805891985925,0.135209567450714,0.182073831247939,0.145014460961079,0.133506601812852,0.119485633893945,0.146126232541622,0.140285738333357,0.180159153463412,0.188533172956478,0.170430324892093,0.136113869925501,0.144955553140853,0.139244253423024,0.168697051911862,0.12182534446847,0.186868766424206,0.144027637157014,0.120776443205737,0.158653110347745,0.141748153440124,0.188916397634415,0.137851367418143,0.141053242458928,0.189135212932228,0.175055217594298,0.125357201355569,0.169822675533245,0.168960480877804,0.152322871178062,0.172226642006244,0.135669956103468,0.1756933517625,0.172670485546678,0.16114657765384,0.12345632037703,0.14565984123649,0.18350645922353,0.18594662605021,0.138924193139485,0.174788338190261,0.136028421853572
0.280317976179027,0.277427429014681,0.282153510790917,0.241250584644707,0.261593076768812,0.235617886217417,0.238356709544242,0.227103995821994,0.218776487493875,0.250857984972813,0.282749270698349,0.255983858956635,0.195783013199013,0.253372335059039,0.234782506041529,0.194989514266093,0.187905622718215,0.24684038503465,0.189394003539037,0.188951631775102,0.245055010700099,0.224207416898358,0.22303076105494,0.243481586637955,0.186958508476006,0.204569899560243,0.221297817627226,0.222154763932021,0.199964451680347,0.2236634910091,0.245635386368956,0.26980752960183,0.201134808460869,0.191459597186255,0.206107884223243,0.216677452690032,0.202610018273797,0.179846730432429,0.252439448620971,0.264160062582574,0.268297205928752,0.196492399420192,0.23232385464257,0.225567198930883,0.196812496507094,0.238230294633796,0.242938595669695,0.251568885880828,0.179362665467759,0.284008658197889,0.179666924285234,0.186829019360784,0.239610816366651,0.212221332648866,0.178183848205688,0.230908447754577,0.249012097299824,0.260159732355025,0.199208708716709,0.202814367355274,0.273110608499355,0.217521636031074,0.200259758292776,0.179228412540951,0.219189296192909,0.210428541112288,0.270238564274568,0.282799342508594,0.255645390059562,0.204170675475081,0.217433305540531,0.208866386302119,0.253045402823132,0.182738122144817,0.280302818268726,0.216041469894685,0.181164680372052,0.237979511186234,0.212622119176083,0.283374602289768,0.206776959675281,0.211579649670978,0.283702789218574,0.262582592749072,0.188035552185064,0.25473369701001,0.253440554370453,0.228484134284934,0.258339891624056,0.2035048820638,0.26353994329562,0.25900551908132,0.241719778753344,0.185184260441969,0.218489665714112,0.275259529596362,0.278919730463056,0.208386136366712,0.262182519061465,0.204042555187884
0.373757013361487,0.369903260713453,0.376204518480907,0.321667226606656,0.348790972973447,0.31415731034739,0.317808715453251,0.302805489129529,0.291701691234605,0.334477271575955,0.376998866663915,0.341311820713252,0.26104401175217,0.337830025227325,0.31304315921429,0.25998594083542,0.250540856552298,0.329120194233321,0.252525474439512,0.25193538976708,0.326740305102167,0.29894311430012,0.297374328798248,0.32464195147282,0.249278079488807,0.272759972655727,0.295063462329033,0.296206498134798,0.266619193816133,0.298218182450063,0.32751366816957,0.359743400041906,0.268179589026325,0.255279596372317,0.274810608236765,0.288903182247532,0.27014668514133,0.239795501636171,0.336586070208439,0.352213412077616,0.357729335430671,0.261989788405697,0.309765067809367,0.300756186166562,0.262416610802217,0.31764059054365,0.323917943476148,0.335424956218925,0.239149938666197,0.378678061260114,0.239555899046979,0.24910520687634,0.319481369597801,0.282961877731051,0.237578382358834,0.307877937431864,0.332016003036805,0.346879520533596,0.265611670101098,0.270419122671779,0.364147633807138,0.290028831932922,0.26701310475003,0.238971153092896,0.292252250027416,0.280571331598283,0.360318119744331,0.377065853299165,0.340860370620929,0.272227533638598,0.289910924786495,0.278488333207265,0.337393828887327,0.243650669252352,0.373737093443549,0.288055309125144,0.24155303941114,0.317306037391344,0.283496135223671,0.377832616980067,0.275702533219763,0.282106135267514,0.378270115128093,0.350110059120784,0.250714230770069,0.339645062577007,0.337920594443987,0.304645372612964,0.344452759590987,0.271339858440553,0.351386628984268,0.345340412566017,0.322293005300209,0.246912445505158,0.291319291798851,0.367012932746717,0.371892937714952,0.277848367843121,0.349576694372761,0.272056658951353
0.467196276550624,0.462378912908352,0.470255603136887,0.402083865509325,0.435988565686757,0.392696621544818,0.397260861685915,0.378506773650477,0.36462711092121,0.418096414891833,0.471248532998457,0.426639666253167,0.326304919558512,0.42228711448501,0.391304146260256,0.324982389233853,0.313176008229912,0.411400474423517,0.315656769215231,0.314919383819685,0.408425274815158,0.373678674994632,0.371717994054138,0.40580221990209,0.311597501816522,0.340949902380482,0.368829510645307,0.370257861718214,0.333274025840504,0.372772595050212,0.409392295421467,0.449679234511718,0.335224561546933,0.319099424898508,0.343513147344831,0.361128823363177,0.337683291771035,0.299744348386426,0.42073250802182,0.44026675134237,0.447161539925013,0.327487316051861,0.387206453039553,0.375945430394741,0.328020834213762,0.397050820051201,0.404897280002421,0.41928121026806,0.298937598201463,0.473347477704731,0.299444848712523,0.311381475054393,0.39935171736824,0.353702174719357,0.296972971754934,0.384847309822427,0.41501995006038,0.43359939197656,0.332014605445556,0.338023874995953,0.455184329937426,0.3625360291371,0.333766328321928,0.298713867828356,0.36531525577415,0.350714123115622,0.450397536478814,0.471332198694278,0.426075159952467,0.340284329358355,0.3623886733563,0.34811029615688,0.421741965167852,0.304563262353306,0.467171398464073,0.360068844117485,0.301941131382693,0.396632678318115,0.354370192446367,0.472291018532893,0.34462818606242,0.352632852282191,0.472837543310889,0.43763757390098,0.31339242001744,0.424556429367629,0.422400611686104,0.380806903003954,0.43056623520744,0.339174671338478,0.439233327727503,0.431675565725359,0.402866133345757,0.308640573237536,0.364149192805575,0.458765801657437,0.464866236642747,0.34731035868105,0.436970778004755,0.340070828811702
0.560635488568109,0.554854540241641,0.564306782711022,0.482500655564627,0.523186117048098,0.471235898120236,0.476713071112931,0.454208159110702,0.437552501364978,0.501715654881726,0.565498148196399,0.511967538746139,0.391565885930673,0.506744546802485,0.469564650611955,0.389978867080624,0.375811397989022,0.493680589902207,0.37878810214242,0.377903250983561,0.490110256690953,0.44841445992733,0.446061451354796,0.486962841193432,0.373917025050598,0.409139726396356,0.442595258522552,0.444309575114927,0.399928704031006,0.44732711765837,0.491270727326874,0.53961483949932,0.402269383539487,0.382919157789726,0.412215700346603,0.433354516778301,0.405219984178544,0.35969329225714,0.504878863545281,0.528320167173254,0.536593816403139,0.392984613393473,0.464647488273177,0.451134341162974,0.393624761166516,0.476460543573492,0.485876917234157,0.503137425331745,0.358725102827124,0.568017035297501,0.359333682446864,0.37365767314014,0.479221869255956,0.42444241351244,0.356367588987755,0.461816459353668,0.498023959998722,0.520319184011681,0.398417599268834,0.40562852591437,0.546221091312243,0.435043294226366,0.400519361141027,0.358456620092532,0.438378355166268,0.420856839465947,0.540477071044273,0.565598738770109,0.511290483156161,0.408341247033556,0.434866472043789,0.417732331215341,0.506090525637432,0.365475893327129,0.560605493212664,0.432082702604342,0.362329458387971,0.475958847200347,0.42524420078563,0.566749062649344,0.413553839767335,0.42315934689049,0.567405084354419,0.525165145842671,0.376070975656683,0.509467512444252,0.50688062129966,0.456968248630042,0.516679269815882,0.407009567528611,0.527079827746846,0.518010655427482,0.483439299213325,0.370368725707863,0.436978863807538,0.550519184760208,0.557839194264703,0.416772384954359,0.524364810786401,0.408084962387866
0.654074700564629,0.647330217931941,0.6583578859002,0.562917431492065,0.610383815385956,0.549775196427805,0.55616503568583,0.529909347049973,0.510478169884899,0.585334845476916,0.659747889191256,0.597295404951879,0.45682695313964,0.591201834193908,0.547825594302496,0.454975314983524,0.438446404816789,0.575960615541496,0.441919296651675,0.440887090408251,0.571795184829126,0.523150317993287,0.520405061672076,0.568123374267119,0.436236584537297,0.477329766867373,0.516361056769012,0.518361012815908,0.466583540204899,0.521881735070039,0.573149190645422,0.629550716489447,0.46931429460147,0.446739085686075,0.480918378240078,0.505580350407143,0.472756542228124,0.419642136874262,0.589025271809086,0.616373391836863,0.626026107145134,0.458482216574581,0.542088785871903,0.526323422475839,0.459229031091006,0.555870774680258,0.566856326491351,0.586993696853074,0.418512531142147,0.662686381478886,0.419222638111371,0.435934023321791,0.559092163984759,0.495182863426989,0.415762038019699,0.538785955897627,0.581027813847981,0.607039222315373,0.464820491327294,0.473233219150266,0.637258061912397,0.507550258893554,0.467272757852521,0.418199349010513,0.51144143976217,0.490999767900036,0.630556548566866,0.659864989314897,0.5965054699313,0.476397896978361,0.507344195842145,0.48735408500831,0.590438703208142,0.426388597058467,0.654039777939899,0.504096584060619,0.422717664288312,0.55528545415292,0.496118160943792,0.661207312862713,0.482479344067551,0.493685847964107,0.661972864680234,0.612692270019321,0.438749514019233,0.594378857018157,0.591360634367324,0.533129521320859,0.60279253454965,0.474844537871023,0.614926422402426,0.604345632880778,0.564012295162062,0.432096657549183,0.509808611830365,0.642272441415165,0.65081232887841,0.486234571583796,0.611759133666194,0.476099229490989
0.747513984757478,0.739806145317381,0.752408973944799,0.643334124479838,0.697581634968237,0.628314377905588,0.635617352592945,0.605610649194563,0.58340353308906,0.668953917883835,0.75399758764715,0.682623281697169,0.522087736622439,0.675659517677812,0.626086413579204,0.519971712545141,0.5010818238616,0.658240535140881,0.505050699575616,0.503870789889644,0.653480325156956,0.597885958394374,0.594748668251457,0.649283546031404,0.498556089415312,0.545519664024836,0.590126774205168,0.592412614667461,0.533238293419797,0.596436187361548,0.655027563507226,0.719486517763342,0.536359106157542,0.510558867004343,0.54962097219673,0.577805967286308,0.54029321917932,0.479590886833078,0.67317166716357,0.704426774331883,0.715458696101,0.523979457086016,0.619529918058074,0.601512436682206,0.524833099109032,0.63528098110279,0.647835807090892,0.670850186997909,0.478300091705372,0.757355849514624,0.479111598547693,0.49821037135202,0.638962464531856,0.56592334556904,0.475156683582043,0.615755517257886,0.664031706887626,0.693758917326696,0.53122330641847,0.540837927372679,0.728294587004803,0.580057424782791,0.534025909405035,0.477942218953586,0.584504312764063,0.561142541304615,0.720636121151123,0.754131421865709,0.681720596642539,0.544454745061624,0.579821909430023,0.556976174177763,0.674787259092016,0.487301335828021,0.747474041605637,0.576110331854652,0.483105947059369,0.634611802133244,0.566992212557884,0.755665467246154,0.551404812907723,0.564212360836202,0.756540271188841,0.700219850045352,0.501427949823482,0.679289983252659,0.675840790986065,0.609290803557846,0.688905604631386,0.542679391453491,0.702773192189752,0.690680679669963,0.644585799337897,0.49382480882224,0.58263863693262,0.734025263742776,0.743785435228851,0.555696610761375,0.699153155180637,0.544113195088693
0.840953303269308,0.832281692309299,0.846460069398905,0.7237510541307,0.784779314035855,0.706853734145695,0.715069129575743,0.681312060368275,0.656328971252038,0.752573094371555,0.848247063519913,0.767951191909315,0.587348796968989,0.760116789880666,0.704347204605404,0.584968246837684,0.563716884977045,0.740520446332905,0.568182008961001,0.566854624225758,0.735165171718618,0.672621637216721,0.669092165045363,0.730444159083131,0.560875484569969,0.613709683740106,0.66389269043109,0.666464060737506,0.59989314463224,0.67099077603448,0.736905883980603,0.809422334524377,0.603403970312883,0.574378725379886,0.618323569840165,0.650031840795112,0.607829701216185,0.539539811450791,0.757318228562396,0.792479964496024,0.804890736264352,0.589476989114145,0.696971048492854,0.676701468050058,0.590437207400248,0.714690991624553,0.728815241442747,0.754706378938074,0.53808749499601,0.852025493157737,0.539000485322903,0.560486617078562,0.718832838862295,0.63666381410562,0.534551220926751,0.692724701700943,0.747035842813574,0.780478898877542,0.597626278563955,0.608442655302635,0.819331487511634,0.652564510990053,0.600779092072947,0.537684949451025,0.657567292235004,0.631285345534531,0.810715501935828,0.848397867729237,0.766935543215598,0.612511388693014,0.652299639738552,0.626598278235662,0.759135664488831,0.548213792689101,0.840908127922891,0.6481239881415,0.543494033629013,0.713938380582864,0.637866180877476,0.850123599957662,0.620330677300439,0.634738897403268,0.851107733880591,0.787747339798622,0.564106495738278,0.764201199591706,0.760320769729697,0.685452110931485,0.775019006328099,0.610514380834685,0.790619862479158,0.777016089888822,0.725158915084363,0.555552933743257,0.655468307711664,0.825778763135192,0.836758692737097,0.625158637165171,0.786547284867268,0.612127406098106
