r,r1,n1,n2,r2
0.0,0.0,0.0,0.0,0.0
0.06323823823823824,0.03328328056733803,0.0,0.0,0.029954957670900208
0.12647647647647647,0.06656655306530204,0.0,0.0,0.05990992341117443
0.1897147147147147,0.09984985046920034,0.0,0.0,0.08986486424551438
0.25295295295295295,0.13313313208379488,0.0,0.0,0.11981982086915807
0.3161911911911912,0.16641648229686273,0.0,0.0,0.14977470889432848
0.3794294294294294,0.1996997604838672,0.0,0.0,0.17972966894556222
0.44266766766766763,0.2329830566471331,0.0,0.0,0.20968461102053454
0.5059059059059059,0.2662663037021453,0.0,0.0,0.23963960220376057
0.5691441441441442,0.2995496054811572,0.0,0.0,0.26959453866298694
0.6323823823823824,0.3328329105108589,0.0,0.0,0.29954947187152353
0.6956206206206206,0.3661161394378329,0.0,0.0,0.3295044811827877
0.7588588588588588,0.3993994179543164,0.0,0.0,0.35945944090454246
0.8220970970970971,0.43268266865074795,0.0,0.0,0.38941442844634916
0.8853353353353353,0.4659659855525961,0.0,0.0,0.41936934978273915
0.9485735735735735,0.499249291291785,0.0,0.0,0.4493242822817885
1.0118118118118118,0.532532482016925,0.0,0.0,0.47927932979488674
1.07505005005005,0.5658157495524938,0.0,0.0,0.5092343004975561
1.1382882882882883,0.5990990990244903,0.0,0.0,0.539189189263798
1.2015265265265265,0.6323823212383003,0.0,0.0,0.5691442052882262
1.2647647647647648,0.6656656787691257,0.0,0.0,0.5990990859956391
1.328003003003003,0.6989489762099451,0.0,0.0,0.6290540267930579
1.3912412412412412,0.7322322604332268,0.0,0.0,0.6590089808080144
1.4544794794794795,0.7655155446179899,0.0,0.0,0.6889639348614897
1.5177177177177177,0.7987987528787543,0.0,0.0,0.7189189648389633
1.5809559559559558,0.8320820242040337,0.0,0.0,0.7488739317519222
1.6441941941941942,0.8653654152593413,0.0,0.0,0.7788287789348529
1.7074324324324324,0.8986486813098328,0.0,0.0,0.8087837511225996
1.7706706706706705,0.9319319310885071,0.0,0.0,0.8387387395821634
1.833908908908909,0.9652151518637481,0.0,0.0,0.8686937570451608
1.897147147147147,0.9984984609417564,0.0,0.0,0.8986486862053906
1.9603853853853854,1.0317818474106062,0.0,0.0,0.9286035379747792
2.0236236236236236,1.0650650633403984,0.0,0.0,0.9585585602832252
2.0868618618618617,1.0983483856584957,0.0,0.0,0.988513476203366
2.1501001001001,1.1316316290193775,0.0,0.0,1.0184684710807224
2.2133383383383385,1.1649149119001545,0.0,0.0,1.048423426438184
2.2765765765765766,1.1981982368124484,0.0,0.0,1.0783783397641282
2.339814814814815,1.231481520449048,0.0,0.0,1.1083332943657669
2.403053053053053,1.2647647598317338,0.0,0.0,1.1382882932213192
2.466291291291291,1.298048064871183,0.0,0.0,1.1682432264201081
2.5295295295295297,1.3313313477218622,0.0,0.0,1.1981981818076675
2.592767767767768,1.3646146068846832,0.0,0.0,1.2281531608830847
2.656006006006006,1.3978979130560485,0.0,0.0,1.2581080929499575
2.719244244244244,1.431181244632012,0.0,0.0,1.2880629996122321
2.7824824824824823,1.4644644778113758,0.0,0.0,1.3180180046711065
2.8457207207207205,1.4977477855009105,0.0,0.0,1.34797293521981
2.908958958958959,1.5310310419113904,0.0,0.0,1.3779279170475687
2.972197197197197,1.5643143236893033,0.0,0.0,1.4078828735078939
3.0354354354354354,1.597597605285476,0.0,0.0,1.4378378301499595
3.0986736736736735,1.630880886690928,0.0,0.0,1.4677927869827456
3.1619119119119117,1.6641641959323936,0.0,0.0,1.497747715979518
3.2251501501501503,1.6974474774746222,0.0,0.0,1.527702672675528
3.2883883883883884,1.7307307298577201,0.0,0.0,1.5576576585306683
