,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,-1.525982247990691e+01,-1.686076618925111e+01,-6.929283446661568e+00,-1.204680751931336e+01,-1.511242635416006e+01,-1.254661379769795e+01
1.010101010101010e-01,-1.527831748738297e+01,-1.688059137201945e+01,-6.940856863372990e+00,-1.206263293066976e+01,-1.513079889469147e+01,-1.256285448284477e+01
2.020202020202020e-01,-1.533203227643363e+01,-1.693816937038846e+01,-6.974469374103458e+00,-1.210859444940657e+01,-1.518415800472408e+01,-1.261002207538715e+01
3.030303030303030e-01,-1.541824452855183e+01,-1.703058207459119e+01,-7.028417463645206e+00,-1.218236270040606e+01,-1.526979939191442e+01,-1.268572607519691e+01
4.040404040404040e-01,-1.553420441790598e+01,-1.715488188918803e+01,-7.100980403835566e+00,-1.228158477167294e+01,-1.538499143873757e+01,-1.278755182763835e+01
5.050505050505051e-01,-1.567721103085459e+01,-1.730817364873210e+01,-7.190468073753252e+00,-1.240394960334578e+01,-1.552705111598065e+01,-1.291312762844928e+01
6.060606060606061e-01,-1.584467939698747e+01,-1.748768646973503e+01,-7.295262904993253e+00,-1.254724534338082e+01,-1.569341056992992e+01,-1.306018358449231e+01
7.070707070707071e-01,-1.603419123394725e+01,-1.769082814509541e+01,-7.413851635693741e+00,-1.270940276779257e+01,-1.588166753117916e+01,-1.322659617338375e+01
8.080808080808081e-01,-1.624352680212615e+01,-1.791521928981003e+01,-7.544845243898109e+00,-1.288852253739758e+01,-1.608961695839675e+01,-1.341041621548013e+01
9.090909090909091e-01,-1.647067907733249e+01,-1.815870853294966e+01,-7.686987816228117e+00,-1.308288732477784e+01,-1.631526511714619e+01,-1.360988131906462e+01
1.010101010101010e+00,-1.671385377738459e+01,-1.841937254616548e+01,-7.839156564525193e+00,-1.329096183703597e+01,-1.655682960630376e+01,-1.382341590369933e+01
1.111111111111111e+00,-1.697145953934671e+01,-1.869550551446433e+01,-8.000355679167846e+00,-1.351138441086321e+01,-1.681272960033725e+01,-1.404962257473997e+01
1.136363636363636e+00,-1.703794742920542e+01,-1.876677526496514e+01,-8.041961072222906e+00,-1.356827534256975e+01,-1.687877723253518e+01,-1.410800637840530e+01
1.148989898989899e+00,-1.707149003865881e+01,-1.880273028492395e+01,-8.062950660753481e+00,-1.359697636327784e+01,-1.691209773551466e+01,-1.413746054109435e+01
1.155303030303030e+00,-1.708833492354359e+01,-1.882078666700352e+01,-8.073491498462243e+00,-1.361138983312357e+01,-1.692883107994251e+01,-1.415225223404728e+01
1.158459595959596e+00,-1.709677562731730e+01,-1.882983443274375e+01,-8.078773344508384e+00,-1.361861219351079e+01,-1.693721589256813e+01,-1.415966411601509e+01
1.160037878787879e+00,-1.710100052794939e+01,-1.883436319150839e+01,-8.081417113949559e+00,-1.362222726587717e+01,-1.694141281750609e+01,-1.416337405130606e+01
1.160827020202020e+00,-1.710311411338612e+01,-1.883662878765015e+01,-8.082739708982089e+00,-1.362403577333608e+01,-1.694351240757942e+01,-1.416523001571447e+01
1.161221590909091e+00,-1.710417118962694e+01,-1.883776188963464e+01,-8.083401183915072e+00,-1.362494026966395e+01,-1.694456248426116e+01,-1.416615824688310e+01
1.161418876262626e+00,-1.710469979859578e+01,-1.883832851657079e+01,-8.083731965715602e+00,-1.362539257844995e+01,-1.694508759298133e+01,-1.416662242468026e+01
1.161517518939394e+00,-1.710496412078828e+01,-1.883861184902053e+01,-8.083897367696862e+00,-1.362561874799503e+01,-1.694535016493225e+01,-1.416685452912852e+01
1.161616161616162e+00,-1.710522845478465e+01,-1.883889519412307e+01,-8.083455313494937e+00,-1.362584492764018e+01,-1.694561274860886e+01,-1.416708664394189e+01
1.212121212121212e+00,-1.724209220871046e+01,-1.898560229545575e+01,-8.682961358571440e+00,-1.374295356944308e+01,-1.708157024251836e+01,-1.428726832747984e+01
1.313131313131313e+00,-1.752451634666330e+01,-1.928833859660892e+01,-9.920067409750679e+00,-1.398461219898746e+01,-1.736212427464312e+01,-1.453526830846328e+01
1.338383838383838e+00,-1.759683453223273e+01,-1.936585796221307e+01,-1.023684367974924e+01,-1.404649187309225e+01,-1.743396359653861e+01,-1.459877176385481e+01
1.339962121212121e+00,-1.760137625461572e+01,-1.937072632879481e+01,-1.025673784419101e+01,-1.405037803669993e+01,-1.743847524535366e+01,-1.460275990407815e+01
1.340751262626263e+00,-1.760364807088671e+01,-1.937316153585525e+01,-1.026668910995883e+01,-1.405232193572572e+01,-1.744073201851652e+01,-1.460475481285644e+01
1.341145833333333e+00,-1.760478421758732e+01,-1.937437939510837e+01,-1.027166578783256e+01,-1.405329408936889e+01,-1.744186064208337e+01,-1.460575247673245e+01
1.341244476010101e+00,-1.760506827910312e+01,-1.937468388654885e+01,-1.027291006611076e+01,-1.405353714903479e+01,-1.744214282265124e+01,-1.460600191451431e+01
1.341343118686869e+00,-1.760535235055334e+01,-1.937498838863825e+01,-1.027415438790487e+01,-1.404880891119736e+01,-1.744242501308776e+01,-1.460625136101971e+01
1.341540404040404e+00,-1.760592052325342e+01,-1.937559742475990e+01,-1.027664316202483e+01,-1.405221202246924e+01,-1.744298942356311e+01,-1.460675028019793e+01
1.344696969696970e+00,-1.761501668433704e+01,-1.938534778880848e+01,-1.031648719235669e+01,-1.410669447432155e+01,-1.745202535330822e+01,-1.461473772699376e+01
1.351010101010101e+00,-1.763323939746476e+01,-1.940488109360760e+01,-1.039630837493198e+01,-1.421584141689740e+01,-1.747012740252147e+01,-1.463073930724784e+01
1.352588383838384e+00,-1.763780138556048e+01,-1.940977118342789e+01,-1.041629130953360e+01,-1.424316594586442e+01,-1.747465918285738e+01,-1.463474524303360e+01
1.352982954545455e+00,-1.763894227593726e+01,-1.941099412752605e+01,-1.042128876619249e+01,-1.424999943413627e+01,-1.747579251868957e+01,-1.463574707238783e+01
1.353180239898990e+00,-1.763951278008899e+01,-1.941160566277915e+01,-1.042378775279979e+01,-1.425341653143957e+01,-1.747635924517857e+01,-1.463624803884135e+01
1.353278882575758e+00,-1.763979804690253e+01,-1.941191144620333e+01,-1.042503731065911e+01,-1.425512516836422e+01,-1.747664262306317e+01,-1.463649853500945e+01
1.353377525252526e+00,-1.764008332354001e+01,-1.941221724015799e+01,-1.042628691155031e+01,-1.425683386413035e+01,-1.747692601070664e+01,-1.463094672872795e+01
1.354166666666667e+00,-1.764236589019331e+01,-1.941466397077657e+01,-1.043628526735476e+01,-1.427050554790691e+01,-1.747919346306684e+01,-1.464497713645705e+01
1.357323232323232e+00,-1.765150243435265e+01,-1.942445762228303e+01,-1.047630618818794e+01,-1.432522988306559e+01,-1.748826950848622e+01,-1.470113749002800e+01
1.363636363636364e+00,-1.766980555963531e+01,-1.944407712254169e+01,-1.055647960115045e+01,-1.443485846307911e+01,-1.750645143739554e+01,-1.481364282786698e+01
1.388888888888889e+00,-1.774341430291520e+01,-1.952297986376846e+01,-1.087890891753718e+01,-1.487574611902481e+01,-1.757957277141642e+01,-1.526609979369732e+01
1.401515151515151e+00,-1.778045322217980e+01,-1.956268265085371e+01,-1.104115096768034e+01,-1.509759479576749e+01,-1.761636643296586e+01,-1.549376998994529e+01
1.404671717171717e+00,-1.778973707935185e+01,-1.957263421023908e+01,-1.108181716558069e+01,-1.515320147840241e+01,-1.762558881594689e+01,-1.555083584462638e+01
1.405460858585859e+00,-1.779205954401557e+01,-1.957512370836395e+01,-1.109199028714868e+01,-1.516711213569631e+01,-1.762789590212796e+01,-1.556511153074965e+01
