,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,-1.639979496377439e+01,-1.993058292521509e+01,-1.356023128487767e+01,-8.920538907119349e+00,-1.393553622170592e+01,-1.739291818230860e+01
1.010101010101010e-01,-1.641923713961313e+01,-1.995295872506642e+01,-1.357731415387479e+01,-8.933766797250817e+00,-1.395293092012660e+01,-1.741318551393499e+01
2.020202020202020e-01,-1.647570277636483e+01,-2.001794444461315e+01,-1.362692768908140e+01,-8.972184371772832e+00,-1.400345009712482e+01,-1.747204763898901e+01
3.030303030303030e-01,-1.656633013984681e+01,-2.012224654347015e+01,-1.370655742758180e+01,-9.033844590103731e+00,-1.408453339096530e+01,-1.756652136689632e+01
4.040404040404040e-01,-1.668822857984374e+01,-2.026253820208826e+01,-1.381366349938639e+01,-9.116780738035482e+00,-1.419359456906007e+01,-1.769359336380909e+01
5.050505050505051e-01,-1.683855886322681e+01,-2.043555177631344e+01,-1.394575121213183e+01,-9.219061084048072e+00,-1.432809340111641e+01,-1.785030389518611e+01
6.060606060606061e-01,-1.701460363779611e+01,-2.063815989349689e+01,-1.410043296414044e+01,-9.338836820855358e+00,-1.448559870235274e+01,-1.803382028022879e+01
7.070707070707071e-01,-1.721382077585146e+01,-2.086743684506119e+01,-1.427547511475203e+01,-9.474378358816919e+00,-1.466383605939792e+01,-1.824149249943502e+01
8.080808080808081e-01,-1.743387686023546e+01,-2.112069712524210e+01,-1.446882740683766e+01,-9.624098108866333e+00,-1.486071778988147e+01,-1.847088810184129e+01
9.090909090909091e-01,-1.767266208281220e+01,-2.139551257759432e+01,-1.467863605734889e+01,-9.786560619002149e+00,-1.507435627193666e+01,-1.871980773581570e+01
1.010101010101010e+00,-1.792829027242300e+01,-2.168971242716539e+01,-1.490324378188105e+01,-9.960482593308146e+00,-1.530306396921226e+01,-1.898628517820018e+01
1.111111111111111e+00,-1.819908856907796e+01,-2.200137139662915e+01,-1.514118072190109e+01,-1.014472586657405e+01,-1.554534419248656e+01,-1.926857657025892e+01
1.212121212121212e+00,-1.848358090855313e+01,-2.232879069887883e+01,-1.539114993348781e+01,-1.033828616769651e+01,-1.579987632352022e+01,-1.956514320133644e+01
1.237373737373737e+00,-1.855668788674254e+01,-2.241292876682300e+01,-1.545538538437273e+01,-1.038802602620588e+01,-1.586528432356096e+01,-1.964135295190437e+01
1.243686868686869e+00,-1.857508335687440e+01,-2.243409992386098e+01,-1.547154856533609e+01,-1.040054176826269e+01,-1.588174254603073e+01,-1.966052915402692e+01
1.246843434343434e+00,-1.858429870271211e+01,-2.244470577043575e+01,-1.547964562952348e+01,-1.040681162114726e+01,-1.588998741342721e+01,-1.967013561328817e+01
1.247040719696970e+00,-1.858487505044172e+01,-2.244536908309939e+01,-1.548015203749157e+01,-1.040720375135470e+01,-1.589050306532878e+01,-1.967073642210015e+01
1.247139362373737e+00,-1.858516324143233e+01,-2.244570075914113e+01,-1.548040525652321e+01,-1.040739982866780e+01,-1.589076090660184e+01,-1.967103684435880e+01
1.247238005050505e+00,-1.858545144383871e+01,-2.244603244832114e+01,-1.548065848558531e+01,-1.040939903859487e+01,-1.589101875808845e+01,-1.967133727851771e+01
1.247632575757576e+00,-1.858660436760021e+01,-2.244735933639917e+01,-1.548167150211930e+01,-1.041488994881065e+01,-1.589205026615112e+01,-1.967253913413347e+01
1.248421717171717e+00,-1.858891076275108e+01,-2.245001374281449e+01,-1.548369801636054e+01,-1.042587437737256e+01,-1.589411377223301e+01,-1.967494341623502e+01
1.250000000000000e+00,-1.859352574162824e+01,-2.245532507445400e+01,-1.548775296783495e+01,-1.044785365779708e+01,-1.589824274249085e+01,-1.967975426190003e+01
1.262626262626263e+00,-1.863055012225880e+01,-2.249793605264290e+01,-1.552028444215436e+01,-1.062418582877435e+01,-1.593136804392948e+01,-1.971835001407948e+01
