,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,-1.227497831768073e+01,-1.074332715147053e+01,-1.217272201080257e+01,-9.655099529707783e+00,-1.395738047157367e+01,-1.441450590231344e+01
1.010101010101010e-01,-1.229099330919328e+01,-1.075806954075117e+01,-1.218865204066900e+01,-9.668937743853229e+00,-1.397479331971522e+01,-1.443229856203105e+01
2.020202020202020e-01,-1.233750542290060e+01,-1.080088565376637e+01,-1.223491740146722e+01,-9.709127873790854e+00,-1.402536520869147e+01,-1.448397353240447e+01
3.030303030303030e-01,-1.241215737898860e+01,-1.086960552766379e+01,-1.230917331906402e+01,-9.773633044081629e+00,-1.410653310527210e+01,-1.456691187494981e+01
4.040404040404040e-01,-1.251256807880615e+01,-1.096203727347472e+01,-1.240905132685126e+01,-9.860395797935155e+00,-1.421570807838028e+01,-1.467846818844906e+01
5.050505050505051e-01,-1.263639877720267e+01,-1.107602799018692e+01,-1.253222508703039e+01,-9.967395275321618e+00,-1.435034724723351e+01,-1.481604412643429e+01
6.060606060606061e-01,-1.278141112530304e+01,-1.120951719525583e+01,-1.267646812546285e+01,-1.009269736650129e+01,-1.450801689033905e+01,-1.497715288272561e+01
7.070707070707071e-01,-1.294551111090001e+01,-1.136057727335344e+01,-1.283969753895284e+01,-1.023449267998468e+01,-1.468644022119077e+01,-1.515946800921850e+01
8.080808080808081e-01,-1.312677664171948e+01,-1.152743886777944e+01,-1.302000143217976e+01,-1.039112037664644e+01,-1.488352737911928e+01,-1.536085406089872e+01
9.090909090909091e-01,-1.332346981765861e+01,-1.170850217750823e+01,-1.321565112483045e+01,-1.056107877390573e+01,-1.509738877270318e+01,-1.557938023030196e+01
1.010101010101010e+00,-1.353403695381361e+01,-1.190233697838680e+01,-1.342510117450481e+01,-1.074302536562407e+01,-1.532633510480681e+01,-1.581332037309777e+01
1.111111111111111e+00,-1.375710007486103e+01,-1.210767479339963e+01,-1.364698091622059e+01,-1.093576947258082e+01,-1.556886812455497e+01,-1.606114355834497e+01
1.212121212121212e+00,-1.399144331092012e+01,-1.232339636955916e+01,-1.388008093044740e+01,-1.113826048742662e+01,-1.582366583576823e+01,-1.632149895429120e+01
1.262626262626263e+00,-1.411250541475175e+01,-1.243483849304832e+01,-1.400050078382164e+01,-1.124286768103068e+01,-1.595529475533808e+01,-1.645599898299790e+01
1.268939393939394e+00,-1.412781139333254e+01,-1.244892820982291e+01,-1.401572556216360e+01,-1.125609325215512e+01,-1.597193670488119e+01,-1.647300392916473e+01
1.272095959595959e+00,-1.413547854218019e+01,-1.245598610260393e+01,-1.402335203577351e+01,-1.126271827269014e+01,-1.598027307511642e+01,-1.648152213351992e+01
1.272490530303030e+00,-1.413643759743540e+01,-1.245686894827406e+01,-1.402430600311387e+01,-1.126354697197409e+01,-1.598131584079665e+01,-1.648258764415681e+01
1.272687815656565e+00,-1.413691718013479e+01,-1.245731042180473e+01,-1.402478304156367e+01,-1.126396136920243e+01,-1.598183728351544e+01,-1.648312046066002e+01
1.272786458333333e+00,-1.413715698524941e+01,-1.245753117124118e+01,-1.402502157448047e+01,-1.126348335063544e+01,-1.598209801984123e+01,-1.648338688420446e+01
1.272885101010101e+00,-1.413739679953950e+01,-1.245775192912399e+01,-1.402526011652406e+01,-1.126493387907484e+01,-1.598235876614335e+01,-1.648365331794285e+01
1.273674242424242e+00,-1.413931564407354e+01,-1.245951829616002e+01,-1.402716878133431e+01,-1.127654010882976e+01,-1.598444509559613e+01,-1.648578515471707e+01
1.275252525252525e+00,-1.414315509290098e+01,-1.246305265015533e+01,-1.403098786137839e+01,-1.129976321233442e+01,-1.598861966786032e+01,-1.649005078335861e+01
1.287878787878788e+00,-1.417395475160153e+01,-1.249140486988136e+01,-1.406162412381981e+01,-1.148605653047925e+01,-1.602210765187480e+01,-1.652426921215067e+01
1.300505050505051e+00,-1.420490260216328e+01,-1.251989350567133e+01,-1.409240779194503e+01,-1.167324619471070e+01,-1.605575676256692e+01,-1.655865228213890e+01
1.303661616161616e+00,-1.421266251290334e+01,-1.252703678918936e+01,-1.410012653533326e+01,-1.172018241352820e+01,-1.606419399134739e+01,-1.656727354498058e+01
1.305239898989899e+00,-1.421654589170547e+01,-1.253061158234365e+01,-1.410398931229771e+01,-1.174367122974190e+01,-1.606841632798145e+01,-1.657158797983537e+01
1.306029040404041e+00,-1.421848843547911e+01,-1.253239976540221e+01,-1.410592155061996e+01,-1.175542080556520e+01,-1.607052842524434e+01,-1.657374614647092e+01
1.306423611111111e+00,-1.421945992077374e+01,-1.253329405338124e+01,-1.410688788205674e+01,-1.176129688428497e+01,-1.607158470591074e+01,-1.657482546688484e+01
1.306522253787879e+00,-1.421970281431843e+01,-1.253351764583127e+01,-1.410712948701907e+01,-1.176276603836994e+01,-1.607184880023791e+01,-1.657509532167588e+01
1.306620896464647e+00,-1.421994571674987e+01,-1.253289866577647e+01,-1.410737110082102e+01,-1.176423524620691e+01,-1.607211290422751e+01,-1.657536518634011e+01
1.306818181818182e+00,-1.422043154826973e+01,-1.253602924553922e+01,-1.410785435494047e+01,-1.176717382311690e+01,-1.607264114119042e+01,-1.657590494528448e+01
1.313131313131313e+00,-1.423599688453215e+01,-1.263632850102083e+01,-1.412333711503728e+01,-1.186132155925123e+01,-1.608956508625760e+01,-1.659319803790277e+01
1.338383838383838e+00,-1.429861784478838e+01,-1.303984279620548e+01,-1.418562586282492e+01,-1.224008765484245e+01,-1.615765187047884e+01,-1.666276994096350e+01
1.341540404040404e+00,-1.430648548524582e+01,-1.309053996502822e+01,-1.419345176441015e+01,-1.228767548239074e+01,-1.616620623208500e+01,-1.667151089154910e+01
1.343118686868687e+00,-1.431042260947222e+01,-1.311590983960007e+01,-1.419736800167229e+01,-1.231148938056459e+01,-1.617048700527273e+01,-1.667588503758417e+01
1.343907828282828e+00,-1.431239199616944e+01,-1.312860009030564e+01,-1.419932694051286e+01,-1.232340131719034e+01,-1.617262828842382e+01,-1.667807302671476e+01
