,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,3.711091647616763e-01,2.948667985066302e-01,3.536514404528989e-01,3.701088206895400e-01,3.926618378696551e-01,3.490719842350629e-01
2.020202020202020e-01,7.149815040133999e-01,5.680924688965201e-01,6.813473897200872e-01,7.130541723351334e-01,7.565049905562801e-01,6.725244989450392e-01
3.030303030303030e-01,1.030942570112352e+00,8.191410758461863e-01,9.824449503384997e-01,1.028163641655195e+00,1.090815961179554e+00,9.697233019641724e-01
4.040404040404040e-01,1.319109178613383e+00,1.048105439407234e+00,1.257055669044332e+00,1.315553451154661e+00,1.395718251145037e+00,1.240777922304787e+00
5.050505050505051e-01,1.580341268855708e+00,1.255668818265505e+00,1.505998825162128e+00,1.576081376698997e+00,1.672121752877354e+00,1.486497531781083e+00
6.060606060606061e-01,1.816104716965354e+00,1.442996043641103e+00,1.730671533933340e+00,1.811209312161321e+00,1.921577595499833e+00,1.708261000768378e+00
7.070707070707071e-01,2.028285844158758e+00,1.611585663060505e+00,1.932871281772403e+00,2.022818494081040e+00,2.146081432311627e+00,1.907842401928867e+00
8.080808080808081e-01,2.218999666922640e+00,1.763118375739271e+00,2.114613450730408e+00,2.213018256352330e+00,2.347871077302240e+00,2.087231189070549e+00
9.090909090909091e-01,2.390426253999819e+00,1.899326266464356e+00,2.277975777198495e+00,2.383982735595733e+00,2.529253500438954e+00,2.248478048083050e+00
1.010101010101010e+00,2.544688704339888e+00,2.021896364486567e+00,2.424981400603811e+00,2.537829353168096e+00,2.692474964829464e+00,2.393580194642278e+00
1.111111111111111e+00,2.683774646798410e+00,2.132407846812994e+00,2.557524538296269e+00,2.676540401597141e+00,2.839638513923351e+00,2.524406884376459e+00
1.212121212121212e+00,2.809493379530543e+00,2.232298339305679e+00,2.677329089905989e+00,2.801920243874559e+00,2.972658501484012e+00,2.642660175982547e+00
1.313131313131313e+00,2.923460341414622e+00,2.322851455245520e+00,2.785934865047484e+00,2.915580001880197e+00,3.093244297141775e+00,2.749859607658771e+00
1.316287878787879e+00,2.926848488361867e+00,2.325543509577088e+00,2.789163577500380e+00,2.918958964388470e+00,3.096829223671263e+00,2.753046511297601e+00
1.317077020202020e+00,2.927693903234325e+00,2.326215287522653e+00,2.789969340483136e+00,2.919802224031133e+00,3.097723704379646e+00,2.753841772383089e+00
1.317471590909091e+00,2.928116383402937e+00,2.326550979995119e+00,2.790371877421010e+00,2.920223503567456e+00,3.098170862756623e+00,2.754239232879903e+00
1.317570233585859e+00,2.928222042183888e+00,2.326634907135172e+00,2.790472634710301e+00,2.920328826027163e+00,3.098282537582768e+00,2.754338568853376e+00
1.317668876262626e+00,2.928327638982762e+00,1.628694388100059e+01,2.790573195111876e+00,2.920434127881868e+00,3.098394223339207e+00,2.754437827091567e+00
1.317866161616162e+00,2.928538791259126e+00,1.628820575120139e+01,2.790774365136954e+00,2.920644762498780e+00,3.098617693224744e+00,2.754636440737050e+00
1.319444444444444e+00,2.930226563221565e+00,1.629759322302281e+01,2.792382790120920e+00,2.922327984984036e+00,3.100403491414077e+00,2.756224038118042e+00
1.325757575757576e+00,2.936952858240439e+00,1.633500403339297e+01,2.798792666643002e+00,2.929036120077539e+00,3.107520364020542e+00,2.762550912719202e+00
1.338383838383838e+00,2.950286795987780e+00,1.640916591047779e+01,2.811499307693621e+00,2.942334204103071e+00,3.121628697212311e+00,2.775093014622764e+00
1.363636363636364e+00,2.976489012532799e+00,1.655489992903185e+01,2.836469050989871e+00,2.968465733515405e+00,3.149352735190807e+00,2.799739374454080e+00
1.388888888888889e+00,3.002086806719761e+00,1.669727182816116e+01,2.860862553159722e+00,2.993994494547612e+00,3.176437110433113e+00,2.823817052113090e+00
1.392045454545455e+00,3.005244993962347e+00,1.671483728297320e+01,2.863872178805274e+00,2.997144195518583e+00,3.179778709353942e+00,2.826787717574627e+00
1.393623737373737e+00,3.006820607290004e+00,1.672360085759026e+01,2.865373735105206e+00,2.998715563758995e+00,3.181445859188787e+00,2.828269779593406e+00
1.393722380050505e+00,3.006919053423238e+00,1.672414825329809e+01,2.865467510756045e+00,2.998813746586052e+00,3.181549996483356e+00,2.828362375529254e+00
1.393821022727273e+00,3.007017398319079e+00,1.672469551340922e+01,2.865561239153831e+00,2.998911826388106e+00,3.181654052893740e+00,1.979875610144715e+01
1.394018308080808e+00,3.007214201744568e+00,1.672578986585928e+01,2.865748715638176e+00,2.999108099319717e+00,3.181862288571027e+00,1.980015121072288e+01
1.394412878787879e+00,3.007607570997584e+00,1.672797806514454e+01,2.866123639073709e+00,2.999500467979936e+00,3.182278609961951e+00,1.980294027879217e+01
1.395202020202020e+00,3.008394071905653e+00,1.673235197372611e+01,2.866873121702495e+00,3.000284768474363e+00,3.183110624033217e+00,1.980824851608827e+01
1.398358585858586e+00,3.011534032285401e+00,1.674981635022012e+01,2.869865385789141e+00,3.003416285532454e+00,3.186432996564774e+00,1.982892342894727e+01
1.398753156565656e+00,3.011925872647179e+00,1.675199574721052e+01,2.870238838473425e+00,3.003807059365638e+00,3.186847582662030e+00,1.983150340115698e+01
1.398950441919192e+00,3.012121756671856e+00,1.675308518304865e+01,2.870425507718129e+00,3.004002394769731e+00,3.187054853850068e+00,1.983279320788766e+01
1.399049084595959e+00,3.012219740005579e+00,1.675363000767216e+01,2.870518812807324e+00,3.004100113984278e+00,3.187158494909235e+00,1.983343780827974e+01
1.399147727272727e+00,3.012317589044802e+00,1.675417456471378e+01,2.009384760656636e+01,3.004197785807322e+00,3.187262083502984e+00,1.983408266325486e+01
1.399936868686869e+00,3.013100629286894e+00,1.675852957577621e+01,2.009947300169904e+01,3.004978711202679e+00,3.188090575833134e+00,1.983923827432097e+01
1.401515151515151e+00,3.014664953612222e+00,1.676723028539487e+01,2.010994351215889e+01,3.006538787902856e+00,3.189745791971671e+00,1.984953852645017e+01
1.414141414141414e+00,3.027099178121401e+00,1.683638772591617e+01,2.019288830076211e+01,3.018939474707592e+00,3.202902109567140e+00,1.993140905142509e+01
1.415719696969697e+00,3.028643461575098e+00,1.684497673208191e+01,2.020318941690556e+01,3.020479543952349e+00,3.204536024746373e+00,1.994157691376157e+01
1.416508838383838e+00,3.029414735552867e+00,1.684926668036297e+01,2.020833452610971e+01,3.021248780130960e+00,3.205352130428780e+00,1.994665544912954e+01
