,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,-1.448558787535353e+01,-1.976845051703128e+01,-1.775379898884742e+01,-1.082976362986916e+01,-1.451920383132307e+01,-1.049762992112174e+01
1.010101010101010e-01,-1.450343959491424e+01,-1.979069160601041e+01,-1.777436616532751e+01,-1.084457783658300e+01,-1.453708348135615e+01,-1.051216816806853e+01
2.020202020202020e-01,-1.455528609195597e+01,-1.985528608667318e+01,-1.783409912555613e+01,-1.088760252795536e+01,-1.458901109647442e+01,-1.055439139338616e+01
3.030303030303030e-01,-1.463849973485405e+01,-1.995896024700716e+01,-1.792997054417306e+01,-1.095665717017695e+01,-1.467235493390904e+01,-1.062215968235577e+01
4.040404040404040e-01,-1.475042634141095e+01,-2.009840729618911e+01,-1.805892250659022e+01,-1.104953919650922e+01,-1.478445665877779e+01,-1.071331149775972e+01
5.050505050505051e-01,-1.488845894036979e+01,-2.027037926253244e+01,-1.821795149050064e+01,-1.116408521809962e+01,-1.492270522100447e+01,-1.082572375045880e+01
6.060606060606061e-01,-1.505010247100162e+01,-2.047176760136770e+01,-1.840418290703533e+01,-1.129822471477912e+01,-1.508460165613396e+01,-1.095736449003492e+01
7.070707070707071e-01,-1.523302276293542e+01,-2.069966421800195e+01,-1.861492753100277e+01,-1.145002068085681e+01,-1.526780814179516e+01,-1.110633279343390e+01
8.080808080808081e-01,-1.543507728289417e+01,-2.095139977444268e+01,-1.884771692456572e+01,-1.161769514022516e+01,-1.547017879254288e+01,-1.127088380477410e+01
9.090909090909091e-01,-1.565432881441190e+01,-2.122456073267497e+01,-1.910031919780455e+01,-1.179964049844049e+01,-1.568977336097785e+01,-1.144943987595972e+01
1.010101010101010e+00,-1.588904548350251e+01,-2.151698938664174e+01,-1.937073903829053e+01,-1.199441956402409e+01,-1.592485726345575e+01,-1.164059058758521e+01
1.111111111111111e+00,-1.613769127754829e+01,-2.182677204992262e+01,-1.965720678778563e+01,-1.220075768058468e+01,-1.617389208414177e+01,-1.184308502762087e+01
1.212121212121212e+00,-1.639891088093036e+01,-2.215222016275888e+01,-1.995816097119354e+01,-1.241753014270255e+01,-1.643552038691509e+01,-1.205581944171454e+01
1.262626262626263e+00,-1.653385736062957e+01,-2.232034719680758e+01,-2.011363440073646e+01,-1.252951515561811e+01,-1.657067800139667e+01,-1.216571839233360e+01
1.287878787878788e+00,-1.660235420171587e+01,-2.240568599748777e+01,-2.019255041855537e+01,-1.258635709511014e+01,-1.663928201138183e+01,-1.222150147739728e+01
1.294191919191919e+00,-1.661958227611654e+01,-2.242715009983273e+01,-2.021239908609722e+01,-1.260065377138187e+01,-1.665653704051112e+01,-1.223553183448434e+01
1.297348484848485e+00,-1.662821172245390e+01,-2.243790134893102e+01,-2.022234117291651e+01,-1.260781489675319e+01,-1.666517998832165e+01,-1.224255956206207e+01
1.298926767676768e+00,-1.663253028450252e+01,-2.244328175626144e+01,-2.022731663914496e+01,-1.261139864512416e+01,-1.666950530711308e+01,-1.224607655219314e+01
1.299321338383838e+00,-1.663361032425209e+01,-2.244462735549571e+01,-2.022856096566821e+01,-1.261229491352312e+01,-1.667058703667300e+01,-1.224695612486054e+01
1.299419981060606e+00,-1.663388035912554e+01,-2.244496378637160e+01,-2.022887207602815e+01,-1.261251900131599e+01,-1.667085749403806e+01,-1.224682282064367e+01
1.299518623737374e+00,-1.663415040397157e+01,-2.244530022967211e+01,-2.022918319787761e+01,-1.261274309738457e+01,-1.667112796139129e+01,-1.224836227166555e+01
1.299715909090909e+00,-1.663469052357759e+01,-2.244597315354233e+01,-2.022980547604077e+01,-1.261319131434578e+01,-1.667166892605852e+01,-1.225144134454173e+01
1.300505050505051e+00,-1.663685140071857e+01,-2.244866534577636e+01,-2.023229504805982e+01,-1.261498451306486e+01,-1.667383318406817e+01,-1.226375990902133e+01
