,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,2.513413126804850e-01,2.873719733038045e-01,3.019184167450963e-01,3.803085232060328e-01,3.191003964819010e-01,2.830104699581473e-01
2.020202020202020e-01,4.842359358680711e-01,5.536528009426179e-01,5.816780287543168e-01,7.327051156440657e-01,6.147811104660403e-01,5.452499517256222e-01
3.030303030303030e-01,6.982270681176016e-01,7.983202738963963e-01,8.387303446875103e-01,1.056498420354154e+00,8.864621022134225e-01,7.862041067524936e-01
4.040404040404040e-01,8.933938150907184e-01,1.021464817415405e+00,1.073170207331150e+00,1.351808339166580e+00,1.134243874899069e+00,1.005962003652374e+00
5.050505050505051e-01,1.070318619731257e+00,1.223752453784839e+00,1.285697343820034e+00,1.619516026249299e+00,1.358865850703251e+00,1.205179446134812e+00
6.060606060606061e-01,1.229994332758819e+00,1.406318224680243e+00,1.477504378031635e+00,1.861123916536368e+00,1.561588534112017e+00,1.384974361107171e+00
7.070707070707071e-01,1.373698343086171e+00,1.570622670360526e+00,1.650125720856300e+00,2.078564657725686e+00,1.744033694228044e+00,1.546785231101074e+00
8.080808080808081e-01,1.502863164680022e+00,1.718303738322153e+00,1.805282182666983e+00,2.274006070250706e+00,1.908020064916668e+00,1.692224878681689e+00
9.090909090909091e-01,1.618965333103663e+00,1.851049549596413e+00,1.944747415177856e+00,2.449682101155918e+00,2.055422235669156e+00,1.822955970489746e+00
1.010101010101010e+00,1.723442777567885e+00,1.970504152984340e+00,2.070248748835751e+00,2.607768630954013e+00,2.188065801278529e+00,1.940597631486563e+00
1.111111111111111e+00,1.817641543045093e+00,2.078206686397976e+00,2.183403066153852e+00,2.750302220709795e+00,2.307659578645405e+00,2.046665532800632e+00
1.212121212121212e+00,1.902787160839367e+00,2.175558206856319e+00,2.285682332220814e+00,2.879137353476464e+00,2.415759563990521e+00,2.142539513167385e+00
1.224747474747475e+00,1.912849684831720e+00,2.187063204073198e+00,2.297769760870499e+00,2.894363187436385e+00,2.428534888477781e+00,2.153869960968707e+00
1.227904040404041e+00,1.915346154331456e+00,2.189917575010515e+00,2.300768618678211e+00,2.898140618483001e+00,2.431704351758921e+00,2.156680987212219e+00
1.229482323232324e+00,1.916591520541178e+00,2.191341548718913e+00,2.302264602986191e+00,2.900025001830167e+00,2.433285500687719e+00,2.158083309745922e+00
1.229580965909091e+00,1.341668524802891e+01,2.191430423684899e+00,2.302358014012177e+00,2.900142722857249e+00,2.433384237644640e+00,2.158170873662454e+00
1.229679608585859e+00,1.341722974452440e+01,2.191519330968472e+00,2.302451414280628e+00,2.900260412125059e+00,2.433482993077389e+00,2.158258421822994e+00
1.229876893939394e+00,1.341831811063443e+01,2.191697122177361e+00,2.302638217170744e+00,2.900495674210027e+00,2.433680432171403e+00,2.158433549025816e+00
1.230271464646465e+00,1.342049476589364e+01,2.192052623641182e+00,2.303011713694771e+00,2.900966156034266e+00,2.434075164684629e+00,2.158783647762276e+00
1.231060606060606e+00,1.342484522886125e+01,2.192763250596891e+00,2.303758286526671e+00,2.901906579775158e+00,2.434864233546695e+00,2.159483497342929e+00
1.237373737373737e+00,1.345953051226840e+01,2.198428595710846e+00,2.309710429868034e+00,2.909404149415870e+00,2.441155084227869e+00,2.165062835340035e+00
1.262626262626263e+00,1.359618419803847e+01,2.220749097611332e+00,2.333160760555925e+00,2.938943075821375e+00,2.465939972308016e+00,2.187044545343408e+00
1.287878787878788e+00,1.372957804820017e+01,2.242537127257866e+00,2.356051682687925e+00,2.967777424941520e+00,2.490133607242759e+00,2.208501927183829e+00
1.294191919191919e+00,1.376242919571357e+01,2.247902926731214e+00,2.361689074043043e+00,2.974878583844528e+00,2.496091830840780e+00,2.213786281844180e+00
1.295770202020202e+00,1.377061140255467e+01,2.249239386971998e+00,2.363093228010129e+00,2.976647188985015e+00,2.497575848788479e+00,2.215102466378482e+00
1.296559343434343e+00,1.377469795423169e+01,2.249906857149116e+00,2.363794459518767e+00,2.977530535812965e+00,2.498317004498847e+00,2.215759806297093e+00
1.296657986111111e+00,1.377520863273780e+01,2.249990252204146e+00,2.363882116608968e+00,2.977640890383258e+00,2.498409658999992e+00,2.215841948577334e+00
1.296756628787879e+00,1.377571900759843e+01,2.250073644699367e+00,2.363969691336803e+00,2.977751262738743e+00,2.498502224675041e+00,1.551145845290645e+01
1.296953914141414e+00,1.377674004837159e+01,2.250240408571385e+00,2.364144894580138e+00,2.977971979078096e+00,2.498687390844967e+00,1.551261819148548e+01
1.297348484848485e+00,1.377878149715992e+01,2.250573822403924e+00,2.364495211980986e+00,2.978413178855493e+00,2.499057663138380e+00,1.551491671475194e+01
1.300505050505051e+00,1.379508496429897e+01,2.253236808587032e+00,2.367292969127909e+00,2.981937399171625e+00,2.502014577295902e+00,1.553327431976677e+01
1.303661616161616e+00,1.381133978575472e+01,2.255891786407920e+00,2.370082363973323e+00,2.985451001305189e+00,2.504962759848149e+00,1.555157728048601e+01
1.304450757575758e+00,1.381539607895085e+01,2.256554301754888e+00,2.370778410014592e+00,2.986327853574172e+00,2.505698417223150e+00,1.555614460428843e+01
