r,n_opt,F_min,partial_F_r,eefactor
2.001001,0.143771,2.827286,2.500669,0.695900
2.017009,0.144553,2.867947,2.548249,0.697672
2.033017,0.145335,2.908997,2.596019,0.699426
2.049025,0.147066,2.950198,2.553431,0.696635
2.065033,0.147848,2.991559,2.599895,0.698366
2.081041,0.148629,3.033295,2.646546,0.700078
2.097049,0.150359,3.075014,2.603507,0.697348
2.113057,0.151140,3.117041,2.648918,0.699040
2.129065,0.152868,3.159337,2.606879,0.696372
2.145073,0.153649,3.201645,2.651115,0.698043
2.161081,0.154430,3.244306,2.695533,0.699696
2.177089,0.156157,3.287082,2.653153,0.697084
2.193097,0.156937,3.330005,2.696453,0.698718
2.209105,0.157717,3.373270,2.739931,0.700336
2.225113,0.159443,3.416504,2.697286,0.697778
2.241121,0.160223,3.460015,2.739699,0.699377
2.257129,0.161947,3.503779,2.698039,0.696874
2.273137,0.162726,3.547528,2.739440,0.698454
2.289145,0.163506,3.591599,2.781013,0.700019
2.305153,0.165228,3.635786,2.739160,0.697566
2.321161,0.166007,3.680079,2.779766,0.699113
2.337169,0.166787,3.724686,2.820540,0.700646
2.353177,0.168507,3.769276,2.778549,0.698241
2.369185,0.169286,3.814091,2.818399,0.699757
2.385193,0.171006,3.859166,2.777362,0.697401
2.401201,0.171784,3.904183,2.816330,0.698900
2.417209,0.172563,3.949497,2.855460,0.700386
2.433217,0.174281,3.994943,2.814334,0.698074
2.449225,0.175059,4.040445,2.852619,0.699544
2.465233,0.175837,4.086235,2.891063,0.701001
2.481241,0.177553,4.132033,2.849886,0.698732
2.497249,0.178331,4.178000,2.887519,0.700174
2.513257,0.180046,4.224240,2.847258,0.697949
2.529265,0.180823,4.270379,2.884116,0.699376
2.545273,0.181600,4.316791,2.921127,0.700790
2.561281,0.183314,4.363352,2.880847,0.698606
2.577289,0.184091,4.409924,2.917113,0.700006
2.593297,0.184867,4.456762,2.953529,0.701394
2.609305,0.186579,4.503626,2.913259,0.699248
2.625313,0.187356,4.550614,2.948958,0.700623
2.641321,0.188132,4.597861,2.984805,0.701986
2.657329,0.189842,4.645012,2.944571,0.699877
2.673337,0.190618,4.692398,2.979728,0.701227
2.689345,0.192328,4.739937,2.940361,0.699157
2.705353,0.193103,4.787457,2.974854,0.700494
2.721361,0.193879,4.835225,3.009490,0.701820
2.737369,0.195586,4.883021,2.970176,0.699785
2.753377,0.196362,4.930913,3.004173,0.701099
2.769385,0.197137,4.979047,3.038310,0.702402
2.785393,0.198843,5.027084,2.999068,0.700401
2.801401,0.199618,5.075332,3.032588,0.701692
2.817409,0.201322,5.123719,2.994166,0.699726
2.833417,0.202097,5.172079,3.027092,0.701005
2.849425,0.202871,5.220669,3.060153,0.702275
2.865433,0.204574,5.269268,3.021814,0.700340
2.881441,0.205348,5.317961,3.054302,0.701598
2.897449,0.206122,5.366879,3.086921,0.702847
