r,n_opt,F_min,partial_F_r,eefactor
8.836418,0.926657,15.683176,1.003129,0.476790
8.852426,0.927208,15.699260,1.005824,0.477370
8.868434,0.926981,15.715400,1.010368,0.478350
8.884442,0.927533,15.731580,1.013079,0.478929
8.900450,0.928085,15.747820,1.015797,0.479506
8.916458,0.927859,15.764121,1.020388,0.480486
8.932466,0.928411,15.780459,1.023122,0.481062
8.948474,0.928963,15.796858,1.025862,0.481638
8.964482,0.929515,15.813317,1.028606,0.482213
8.980490,0.929292,15.829818,1.033258,0.483190
8.996498,0.929844,15.846376,1.036020,0.483764
9.012506,0.930397,15.862995,1.038787,0.484337
9.028514,0.930175,15.879660,1.043488,0.485313
9.044522,0.930727,15.896378,1.046272,0.485885
9.060530,0.931280,15.913158,1.049063,0.486456
9.076538,0.931060,15.929990,1.053813,0.487430
9.092546,0.931613,15.946869,1.056620,0.488000
9.108554,0.932167,15.963810,1.059434,0.488569
9.124562,0.931948,15.980810,1.064234,0.489543
9.140570,0.932501,15.997852,1.067065,0.490110
9.156578,0.933055,16.014955,1.069902,0.490677
9.172586,0.933609,16.032121,1.072744,0.491243
9.188594,0.933392,16.049330,1.077608,0.492215
9.204602,0.933946,16.066597,1.080468,0.492780
9.220610,0.934500,16.083927,1.083334,0.493344
9.236618,0.934285,16.101308,1.088249,0.494315
9.252626,0.934840,16.118740,1.091133,0.494878
9.268634,0.935394,16.136235,1.094023,0.495440
9.284642,0.935180,16.153790,1.098991,0.496409
9.300650,0.935735,16.171388,1.101899,0.496970
9.316658,0.936290,16.189049,1.104813,0.497530
9.332666,0.936845,16.206773,1.107733,0.498090
9.348674,0.936634,16.224545,1.112766,0.499057
9.364682,0.937189,16.242373,1.115705,0.499615
9.380690,0.937744,16.260264,1.118649,0.500173
9.396698,0.937534,16.278214,1.123736,0.501139
9.412706,0.938090,16.296210,1.126699,0.501695
9.428714,0.938646,16.314271,1.129669,0.502251
9.444722,0.939201,16.332395,1.132644,0.502806
9.460730,0.938993,16.350566,1.137798,0.503770
9.476738,0.939550,16.368796,1.140793,0.504324
9.492746,0.940106,16.387091,1.143793,0.504877
9.508754,0.939899,16.405444,1.149003,0.505839
9.524762,0.940456,16.423845,1.152022,0.506391
9.540770,0.941012,16.442310,1.155048,0.506942
9.556778,0.941569,16.460841,1.158080,0.507492
9.572786,0.941364,16.479420,1.163359,0.508453
9.588794,0.941921,16.498058,1.166410,0.509002
9.604802,0.942478,16.516762,1.169468,0.509550
9.620810,0.942275,16.535527,1.174804,0.510510
9.636818,0.942833,16.554339,1.177881,0.511057
9.652826,0.943390,16.573216,1.180965,0.511603
9.668834,0.943947,16.592158,1.184055,0.512149
9.684842,0.943747,16.611156,1.189462,0.513106
9.700850,0.944304,16.630208,1.192572,0.513651
9.716858,0.944862,16.649326,1.195689,0.514195
9.732866,0.945420,16.668510,1.198812,0.514738
9.748874,0.945221,16.687742,1.204291,0.515693
9.764882,0.945779,16.707037,1.207434,0.516235
9.780890,0.946337,16.726397,1.210584,0.516776
9.796898,0.946140,16.745823,1.216122,0.517730
9.812906,0.946698,16.765295,1.219293,0.518270
9.828914,0.947257,16.784833,1.222469,0.518809
9.844922,0.947816,16.804438,1.225653,0.519348
9.860930,0.947620,16.824105,1.231265,0.520300
9.876938,0.948179,16.843822,1.234469,0.520837
9.892946,0.948738,16.863607,1.237680,0.521374
9.908954,0.949297,16.883458,1.240897,0.521910
9.924962,0.949104,16.903368,1.246586,0.522860
9.940970,0.949663,16.923333,1.249824,0.523395
9.956978,0.950223,16.943366,1.253069,0.523929
9.972986,0.950782,16.963466,1.256321,0.524462
9.988994,0.950591,16.983623,1.262086,0.525410
10.005003,0.951150,17.003838,1.265359,0.525942
10.021011,0.951710,17.024120,1.268639,0.526474
10.037019,0.952270,17.044471,1.271926,0.527005
10.053027,0.952081,17.064878,1.277769,0.527950
10.069035,0.952641,17.085344,1.281077,0.528480
10.085043,0.953201,17.105878,1.284393,0.529009
10.101051,0.953761,17.126481,1.287715,0.529538
10.117059,0.953574,17.147142,1.293636,0.530481
10.133067,0.954134,17.167862,1.296981,0.531008
10.149075,0.954695,17.188650,1.300332,0.531535
10.165083,0.955256,17.209507,1.303690,0.532061
10.181091,0.955070,17.230425,1.309692,0.533002
10.197099,0.955631,17.251400,1.313072,0.533527
10.213107,0.956192,17.272444,1.316460,0.534051
10.229115,0.956753,17.293557,1.319855,0.534574
10.245123,0.956570,17.314735,1.325937,0.535514
10.261131,0.957131,17.335967,1.329355,0.536036
10.277139,0.957693,17.357269,1.332780,0.536557
10.293147,0.958254,17.378641,1.336211,0.537078
10.309155,0.958815,17.400082,1.339650,0.537599
10.325163,0.958634,17.421574,1.345831,0.538535
10.341171,0.959196,17.443136,1.349293,0.539054
10.357179,0.959758,17.464767,1.352762,0.539572
10.373187,0.960320,17.486469,1.356239,0.540090
10.389195,0.960141,17.508229,1.362504,0.541025
10.405203,0.960703,17.530053,1.366004,0.541541
10.421211,0.961265,17.551947,1.369511,0.542057
10.437219,0.961827,17.573911,1.373026,0.542572
10.453227,0.961650,17.595943,1.379376,0.543505
10.469235,0.962213,17.618030,1.382914,0.544019
10.485243,0.962776,17.640188,1.386460,0.544532
10.501251,0.963338,17.662417,1.390013,0.545045
10.517259,0.963901,17.684717,1.393574,0.545557
10.533267,0.963726,17.707076,1.400027,0.546486
10.549275,0.964289,17.729501,1.403612,0.546997
10.565283,0.964852,17.751996,1.407204,0.547508
10.581291,0.965415,17.774564,1.410804,0.548018
10.597299,0.965243,17.797202,1.417345,0.548945
10.613307,0.965806,17.819895,1.420970,0.549453
10.629315,0.966369,17.842659,1.424602,0.549961
10.645323,0.966933,17.865496,1.428242,0.550469
10.661331,0.967496,17.888404,1.431889,0.550975
10.677339,0.967326,17.911380,1.438537,0.551900
10.693347,0.967890,17.934415,1.442209,0.552405
10.709355,0.968454,17.957523,1.445889,0.552910
10.725363,0.969017,17.980703,1.449577,0.553414
10.741371,0.969581,18.003955,1.453273,0.553918
10.757379,0.969413,18.027274,1.460029,0.554840
10.773387,0.969978,18.050655,1.463750,0.555342
10.789395,0.970542,18.074108,1.467479,0.555844
10.805403,0.971106,18.097635,1.471216,0.556345
10.821411,0.971670,18.121235,1.474961,0.556846
10.837419,0.971505,18.144901,1.481828,0.557765
10.853427,0.972069,18.168631,1.485598,0.558264
10.869435,0.972634,18.192434,1.489377,0.558763
10.885443,0.973198,18.216310,1.493163,0.559261
10.901451,0.973763,18.240260,1.496958,0.559759
10.917459,0.973600,18.264280,1.503937,0.560675
10.933467,0.974165,18.288361,1.507758,0.561171
10.949475,0.974730,18.312516,1.511587,0.561667
10.965483,0.975295,18.336745,1.515424,0.562162
10.981491,0.975860,18.361048,1.519270,0.562657
10.997499,0.976425,18.385426,1.523123,0.563151
11.013507,0.976265,18.409864,1.530235,0.564063
11.029515,0.976830,18.434374,1.534115,0.564556
11.045523,0.977396,18.458958,1.538004,0.565049
11.061531,0.977961,18.483618,1.541901,0.565540
11.077539,0.978526,18.508352,1.545806,0.566032
11.093547,0.978369,18.533156,1.553034,0.566941
11.109555,0.978934,18.558024,1.556966,0.567431
11.125563,0.979500,18.582967,1.560907,0.567920
11.141571,0.980066,18.607986,1.564857,0.568409
11.157579,0.980632,18.633080,1.568815,0.568897
11.173587,0.981198,18.658249,1.572781,0.569385
11.189595,0.981043,18.683485,1.580147,0.570291
11.205603,0.981609,18.708790,1.584141,0.570777
11.221611,0.982175,18.734171,1.588143,0.571263
11.237619,0.982741,18.759627,1.592155,0.571749
11.253627,0.983307,18.785160,1.596175,0.572233
11.269635,0.983874,18.810768,1.600204,0.572718
11.285643,0.983721,18.836444,1.607710,0.573620
11.301651,0.984288,18.862190,1.611766,0.574103
11.317659,0.984855,18.888013,1.615832,0.574585
11.333667,0.985421,18.913912,1.619907,0.575067
11.349675,0.985988,18.939887,1.623990,0.575548
11.365683,0.986554,18.965939,1.628082,0.576029
11.381691,0.986405,18.992063,1.635731,0.576928
11.397699,0.986972,19.018254,1.639852,0.577407
11.413707,0.987539,19.044523,1.643982,0.577886
11.429715,0.988106,19.070868,1.648121,0.578365
11.445723,0.988673,19.097290,1.652269,0.578843
11.461731,0.989240,19.123789,1.656425,0.579320
11.477739,0.989807,19.150366,1.660591,0.579797
11.493747,0.989661,19.177011,1.668407,0.580691
11.509755,0.990228,19.203729,1.672602,0.581167
11.525763,0.990796,19.230525,1.676807,0.581642
11.541771,0.991363,19.257398,1.681020,0.582116
11.557779,0.991930,19.284349,1.685243,0.582590
11.573787,0.992498,19.311378,1.689475,0.583064
11.589795,0.993065,19.338485,1.693716,0.583537
11.605803,0.992922,19.365661,1.701702,0.584427
11.621811,0.993490,19.392911,1.705973,0.584898
11.637819,0.994058,19.420240,1.710254,0.585369
11.653827,0.994625,19.447647,1.714544,0.585840
11.669835,0.995193,19.475132,1.718843,0.586310
11.685843,0.995761,19.502696,1.723152,0.586779
11.701851,0.996329,19.530338,1.727470,0.587248
11.717859,0.996189,19.558058,1.735630,0.588134
11.733867,0.996757,19.585846,1.739979,0.588602
11.749875,0.997325,19.613713,1.744337,0.589069
11.765883,0.997894,19.641659,1.748705,0.589536
11.781891,0.998462,19.669684,1.753083,0.590002
11.797899,0.999030,19.697788,1.757470,0.590468
11.813907,0.999598,19.725971,1.761867,0.590933
11.829915,1.000166,19.754233,1.766273,0.591397
11.845923,1.000734,19.782575,1.770690,0.591861
11.861931,1.000599,19.810987,1.779071,0.592742
11.877939,1.001167,19.839477,1.783519,0.593204
11.893947,1.001736,19.868047,1.787977,0.593667
11.909955,1.002305,19.896696,1.792444,0.594129
11.925963,1.002873,19.925426,1.796921,0.594590
11.941971,1.003442,19.954235,1.801408,0.595051
11.957979,1.004010,19.983125,1.805906,0.595511
11.973987,1.004579,20.012094,1.810413,0.595971
11.989995,1.005147,20.041144,1.814930,0.596430
12.006003,1.005016,20.070266,1.823539,0.597304
12.022011,1.005585,20.099466,1.828088,0.597762
12.038019,1.006154,20.128748,1.832648,0.598220
12.054027,1.006723,20.158109,1.837217,0.598677
12.070035,1.007292,20.187552,1.841797,0.599133
12.086043,1.007861,20.217075,1.846387,0.599589
12.102051,1.008430,20.246679,1.850987,0.600044
12.118059,1.008999,20.276364,1.855597,0.600499
12.134067,1.009568,20.306129,1.860218,0.600954
12.150075,1.010136,20.335976,1.864849,0.601408
12.166083,1.010009,20.365899,1.873715,0.602276
12.182091,1.010579,20.395900,1.878379,0.602729
12.198099,1.011148,20.425982,1.883054,0.603181
12.214107,1.011717,20.456146,1.887739,0.603632
12.230115,1.012287,20.486391,1.892434,0.604084
12.246123,1.012856,20.516717,1.897140,0.604534
12.262131,1.013425,20.547125,1.901856,0.604984
12.278139,1.013995,20.577615,1.906583,0.605434
12.294147,1.014564,20.608187,1.911320,0.605883
12.310155,1.015134,20.638840,1.916069,0.606332
12.326163,1.015703,20.669575,1.920827,0.606780
12.342171,1.016272,20.700393,1.925596,0.607228
12.358179,1.016150,20.731292,1.934776,0.608088
12.374187,1.016720,20.762266,1.939580,0.608535
12.390195,1.017290,20.793324,1.944394,0.608981
12.406203,1.017860,20.824463,1.949219,0.609426
12.422211,1.018429,20.855685,1.954056,0.609871
12.438219,1.018999,20.886990,1.958903,0.610315
12.454227,1.019569,20.918377,1.963760,0.610759
12.470235,1.020139,20.949847,1.968629,0.611203
12.486243,1.020708,20.981399,1.973509,0.611646
12.502251,1.021278,21.013035,1.978400,0.612088
12.518259,1.021848,21.044753,1.983301,0.612530
12.534267,1.022418,21.076554,1.988214,0.612972
12.550275,1.022988,21.108438,1.993138,0.613413
12.566283,1.023557,21.140405,1.998072,0.613853
12.582291,1.024127,21.172456,2.003018,0.614293
12.598299,1.024697,21.204589,2.007975,0.614733
12.614307,1.025267,21.236806,2.012944,0.615172
12.630315,1.025836,21.269106,2.017923,0.615611
12.646323,1.025722,21.301486,2.027576,0.616460
12.662331,1.026292,21.333949,2.032592,0.616897
12.678339,1.026862,21.366495,2.037619,0.617334
12.694347,1.027432,21.399126,2.042657,0.617770
12.710355,1.028003,21.431840,2.047707,0.618206
12.726363,1.028573,21.464637,2.052768,0.618642
12.742371,1.029143,21.497519,2.057841,0.619077
12.758379,1.029713,21.530485,2.062925,0.619511
12.774387,1.030283,21.563535,2.068021,0.619945
12.790395,1.030853,21.596669,2.073128,0.620379
12.806403,1.031424,21.629887,2.078247,0.620812
12.822411,1.031994,21.663189,2.083377,0.621245
12.838419,1.032564,21.696575,2.088519,0.621677
12.854427,1.033134,21.730046,2.093673,0.622108
12.870435,1.033704,21.763602,2.098838,0.622539
12.886443,1.034275,21.797241,2.104015,0.622970
12.902451,1.034845,21.830966,2.109204,0.623400
12.918459,1.035415,21.864775,2.114405,0.623830
12.934467,1.035985,21.898668,2.119618,0.624259
12.950475,1.036555,21.932646,2.124842,0.624688
12.966483,1.037125,21.966709,2.130078,0.625116
12.982491,1.037696,22.000857,2.135326,0.625544
12.998499,1.038266,22.035090,2.140586,0.625972
13.014507,1.038836,22.069408,2.145858,0.626399
13.030515,1.039406,22.103810,2.151143,0.626825
13.046523,1.039976,22.138298,2.156439,0.627251
13.062531,1.040546,22.172871,2.161747,0.627677
13.078539,1.041117,22.207529,2.167067,0.628102
13.094547,1.041687,22.242272,2.172400,0.628526
13.110555,1.042257,22.277101,2.177744,0.628950
13.126563,1.042827,22.312015,2.183101,0.629374
13.142571,1.043397,22.347014,2.188470,0.629797
13.158579,1.043967,22.382099,2.193852,0.630220
13.174587,1.044538,22.417269,2.199246,0.630642
13.190595,1.045108,22.452525,2.204652,0.631064
13.206603,1.045678,22.487866,2.210070,0.631485
13.222611,1.046248,22.523293,2.215501,0.631906
13.238619,1.046818,22.558806,2.220944,0.632327
13.254627,1.047388,22.594404,2.226400,0.632747
13.270635,1.047959,22.630089,2.231868,0.633166
13.286643,1.048529,22.665859,2.237349,0.633585
13.302651,1.049099,22.701715,2.242843,0.634004
13.318659,1.049669,22.737658,2.248349,0.634422
13.334667,1.050239,22.773686,2.253867,0.634839
13.350675,1.050809,22.809800,2.259399,0.635257
13.366683,1.051380,22.846001,2.264943,0.635674
13.382691,1.051950,22.882288,2.270500,0.636090
13.398699,1.052520,22.918661,2.276069,0.636506
13.414707,1.053090,22.955120,2.281652,0.636921
13.430715,1.053660,22.991666,2.287247,0.637336
13.446723,1.054230,23.028298,2.292855,0.637751
13.462731,1.054801,23.065016,2.298477,0.638165
13.478739,1.055371,23.101821,2.304111,0.638578
13.494747,1.055941,23.138713,2.309758,0.638992
13.510755,1.057174,23.175689,2.309955,0.639004
13.526763,1.057743,23.212749,2.315612,0.639416
13.542771,1.058313,23.249895,2.321283,0.639828
13.558779,1.058883,23.287129,2.326966,0.640240
13.574787,1.059453,23.324449,2.332663,0.640651
13.590795,1.060023,23.361855,2.338372,0.641062
13.606803,1.060592,23.399348,2.344096,0.641472
13.622811,1.061162,23.436928,2.349832,0.641882
13.638819,1.061732,23.474595,2.355581,0.642291
13.654827,1.062302,23.512349,2.361344,0.642700
13.670835,1.062871,23.550190,2.367120,0.643109
13.686843,1.063441,23.588117,2.372910,0.643517
13.702851,1.064011,23.626132,2.378713,0.643924
13.718859,1.064581,23.664233,2.384530,0.644332
13.734867,1.065150,23.702422,2.390360,0.644738
13.750875,1.065720,23.740698,2.396203,0.645145
13.766883,1.066946,23.779057,2.396363,0.645154
13.782891,1.067516,23.817499,2.402218,0.645559
13.798899,1.068085,23.856029,2.408085,0.645965
13.814907,1.068654,23.894645,2.413967,0.646369
13.830915,1.069224,23.933349,2.419862,0.646774
13.846923,1.069793,23.972140,2.425771,0.647178
13.862931,1.070362,24.011019,2.431694,0.647581
13.878939,1.070932,24.049985,2.437630,0.647984
13.894947,1.071501,24.089038,2.443580,0.648387
13.910955,1.072071,24.128178,2.449544,0.648789
13.926963,1.072640,24.167406,2.455523,0.649191
13.942971,1.073861,24.206718,2.455660,0.649198
13.958979,1.074430,24.246111,2.461649,0.649599
13.974987,1.074999,24.285591,2.467652,0.650000
13.990995,1.075568,24.325159,2.473670,0.650400
14.007004,1.076137,24.364814,2.479701,0.650800
14.023012,1.076706,24.404557,2.485746,0.651200
14.039020,1.077275,24.444387,2.491805,0.651599
14.055028,1.077844,24.484305,2.497879,0.651997
14.071036,1.078413,24.524310,2.503967,0.652396
14.087044,1.079630,24.564400,2.504088,0.652402
14.103052,1.080198,24.604569,2.510187,0.652799
14.119060,1.080767,24.644826,2.516301,0.653196
14.135068,1.081336,24.685170,2.522428,0.653593
14.151076,1.081904,24.725602,2.528571,0.653989
14.167084,1.082473,24.766121,2.534727,0.654385
14.183092,1.083041,24.806728,2.540898,0.654781
14.199100,1.083610,24.847423,2.547084,0.655176
14.215108,1.084823,24.888200,2.547191,0.655181
14.231116,1.085392,24.929057,2.553388,0.655575
14.247124,1.085960,24.970002,2.559600,0.655969
14.263132,1.086528,25.011034,2.565826,0.656363
14.279140,1.087096,25.052154,2.572067,0.656756
14.295148,1.087664,25.093362,2.578323,0.657149
14.311156,1.088232,25.134657,2.584593,0.657541
14.327164,1.089443,25.176034,2.584691,0.657546
14.343172,1.090010,25.217490,2.590973,0.657937
14.359180,1.090578,25.259034,2.597270,0.658329
14.375188,1.091146,25.300666,2.603582,0.658720
14.391196,1.091714,25.342385,2.609909,0.659110
14.407204,1.092282,25.384192,2.616250,0.659500
14.423212,1.093489,25.426085,2.616340,0.659504
14.439220,1.094056,25.468052,2.622694,0.659894
14.455228,1.094624,25.510107,2.629063,0.660283
14.471236,1.095191,25.552249,2.635447,0.660672
14.487244,1.095758,25.594478,2.641846,0.661060
14.503252,1.096326,25.636796,2.648260,0.661448
14.519260,1.097531,25.679196,2.648343,0.661451
14.535268,1.098098,25.721672,2.654769,0.661839
14.551276,1.098664,25.764235,2.661211,0.662226
14.567284,1.099231,25.806886,2.667667,0.662612
14.583292,1.099798,25.849625,2.674139,0.662998
14.599300,1.100365,25.892452,2.680627,0.663384
14.615308,1.101567,25.935349,2.680703,0.663387
14.631316,1.102134,25.978333,2.687203,0.663772
14.647324,1.102700,26.021404,2.693718,0.664157
14.663332,1.103267,26.064562,2.700249,0.664541
14.679340,1.103834,26.107809,2.706796,0.664925
14.695348,1.105033,26.151126,2.706868,0.664928
14.711356,1.105599,26.194528,2.713427,0.665311
14.727364,1.106165,26.238018,2.720002,0.665694
14.743372,1.106732,26.281595,2.726592,0.666077
14.759380,1.107929,26.325257,2.726664,0.666080
14.775388,1.108495,26.368989,2.733267,0.666462
14.791396,1.109061,26.412808,2.739886,0.666843
14.807404,1.109626,26.456715,2.746521,0.667225
14.823412,1.110192,26.500709,2.753171,0.667606
14.839420,1.111387,26.544778,2.753240,0.667608
14.855428,1.111953,26.588925,2.759903,0.667988
14.871436,1.112518,26.633160,2.766582,0.668368
14.887444,1.113083,26.677482,2.773277,0.668748
14.903452,1.114276,26.721884,2.773346,0.668750
14.919460,1.114841,26.766359,2.780054,0.669129
14.935468,1.115406,26.810921,2.786779,0.669508
14.951476,1.115971,26.855570,2.793519,0.669886
14.967484,1.117162,26.900300,2.793587,0.669888
14.983492,1.117727,26.945100,2.800341,0.670266
14.999500,1.118292,26.989987,2.807111,0.670644
15.015508,1.118856,27.034962,2.813897,0.671021
15.031516,1.120045,27.080015,2.813965,0.671023
15.047524,1.120609,27.125139,2.820765,0.671399
15.063532,1.121173,27.170351,2.827581,0.671775
15.079540,1.121738,27.215649,2.834413,0.672151
15.095548,1.122925,27.261020,2.834482,0.672153
15.111556,1.123489,27.306467,2.841328,0.672528
15.127564,1.124052,27.352000,2.848190,0.672903
15.143572,1.124616,27.397621,2.855069,0.673277
15.159580,1.125801,27.443304,2.855137,0.673280
15.175588,1.126364,27.489072,2.862030,0.673654
15.191596,1.126928,27.534927,2.868939,0.674027
15.207604,1.128111,27.580857,2.869011,0.674029
15.223612,1.128674,27.626858,2.875934,0.674402
15.239620,1.129237,27.672946,2.882874,0.674775
15.255628,1.130419,27.719119,2.882949,0.674777
15.271636,1.130982,27.765352,2.889903,0.675150
15.287644,1.131544,27.811672,2.896873,0.675521
15.303652,1.132107,27.858078,2.903861,0.675893
15.319660,1.133287,27.904548,2.903936,0.675895
15.335668,1.133849,27.951099,2.910938,0.676266
15.351676,1.134411,27.997735,2.917956,0.676636
15.367684,1.135589,28.044440,2.918036,0.676639
15.383692,1.136151,28.091220,2.925068,0.677009
15.399700,1.136713,28.138086,2.932118,0.677379
15.415708,1.137890,28.185021,2.932201,0.677382
15.431716,1.138451,28.232029,2.939265,0.677751
15.447724,1.139012,28.279123,2.946347,0.678119
15.463732,1.140187,28.326286,2.946433,0.678122
15.479740,1.140748,28.373521,2.953529,0.678491
15.495748,1.141309,28.420842,2.960642,0.678858
15.511756,1.142483,28.468228,2.960733,0.678862
15.527764,1.143043,28.515689,2.967860,0.679229
15.543772,1.143604,28.563235,2.975005,0.679596
15.559780,1.144776,28.610841,2.975100,0.679600
15.575788,1.145336,28.658526,2.982260,0.679966
15.591796,1.146507,28.706295,2.982360,0.679970
15.607804,1.147066,28.754118,2.989535,0.680336
15.623812,1.147626,28.802027,2.996728,0.680701
15.639820,1.148795,28.850009,2.996833,0.680705
15.655828,1.149354,28.898054,3.004040,0.681070
15.671836,1.149914,28.946184,3.011265,0.681435
15.687844,1.151081,28.994375,3.011374,0.681439
15.703852,1.151640,29.042641,3.018614,0.681804
15.719860,1.152807,29.090987,3.018730,0.681808
15.735868,1.153365,29.139388,3.025985,0.682172
15.751876,1.153924,29.187874,3.033258,0.682535
15.767884,1.155088,29.236422,3.033378,0.682540
15.783892,1.155646,29.285042,3.040667,0.682903
15.799900,1.156810,29.333740,3.040794,0.682908
15.815908,1.157368,29.382492,3.048098,0.683271
15.831916,1.157925,29.431329,3.055419,0.683633
15.847924,1.159087,29.480222,3.055551,0.683638
15.863932,1.159645,29.529191,3.062888,0.684000
15.879940,1.160805,29.578228,3.063027,0.684005
15.895948,1.161362,29.627328,3.070380,0.684366
15.911956,1.162522,29.676508,3.070526,0.684372
15.927964,1.163078,29.725738,3.077895,0.684733
15.943972,1.163635,29.775052,3.085281,0.685093
15.959980,1.164793,29.824417,3.085432,0.685100
15.975988,1.165349,29.873859,3.092835,0.685459
15.991996,1.166506,29.923361,3.092993,0.685466
16.008004,1.167061,29.972932,3.100412,0.685825
16.024012,1.168217,30.022568,3.100577,0.685832
16.040020,1.168772,30.072266,3.108012,0.686191
16.056028,1.169926,30.122035,3.108184,0.686198
16.072036,1.170481,30.171859,3.115635,0.686557
16.088044,1.171634,30.221758,3.115815,0.686564
16.104052,1.172189,30.271708,3.123282,0.686922
16.120060,1.173341,30.321734,3.123469,0.686930
16.136068,1.173895,30.371808,3.130953,0.687288
16.152076,1.175046,30.421960,3.131148,0.687296
16.168084,1.175599,30.472158,3.138648,0.687653
16.184092,1.176749,30.522432,3.138850,0.687661
16.200100,1.177302,30.572753,3.146366,0.688018
16.216108,1.178450,30.623149,3.146576,0.688027
16.232116,1.179003,30.673591,3.154109,0.688383
16.248124,1.180150,30.724105,3.154326,0.688392
16.264132,1.180703,30.774668,3.161876,0.688748
16.280140,1.181849,30.825298,3.162101,0.688757
16.296148,1.182401,30.875982,3.169668,0.689113
16.312156,1.183546,30.926726,3.169901,0.689122
16.328164,1.184097,30.977528,3.177484,0.689477
16.344172,1.185241,31.028384,3.177725,0.689487
16.360180,1.185792,31.079304,3.185325,0.689842
16.376188,1.186934,31.130269,3.185573,0.689852
16.392196,1.188076,31.181305,3.185831,0.689863
16.408204,1.188626,31.232379,3.193447,0.690217
16.424212,1.189767,31.283520,3.193712,0.690228
16.440220,1.190317,31.334710,3.201346,0.690582
16.456228,1.191456,31.385955,3.201619,0.690593
16.472236,1.192006,31.437259,3.209270,0.690946
16.488244,1.193143,31.488604,3.209551,0.690958
16.504252,1.194280,31.540015,3.209842,0.690971
16.520260,1.194829,31.591467,3.217509,0.691323
16.536268,1.195965,31.642974,3.217807,0.691336
16.552276,1.196514,31.694538,3.225492,0.691688
16.568284,1.197648,31.746140,3.225798,0.691701
16.584292,1.198782,31.797804,3.226115,0.691714
16.600300,1.199330,31.849511,3.233815,0.692066
16.616308,1.200463,31.901265,3.234140,0.692079
16.632316,1.201594,31.953077,3.234474,0.692094
16.648324,1.202141,32.004924,3.242191,0.692445
16.664332,1.203272,32.056823,3.242533,0.692459
16.680340,1.204402,32.108778,3.242885,0.692474
16.696348,1.204948,32.160763,3.250618,0.692824
16.712356,1.206077,32.212801,3.250978,0.692840
16.728364,1.207204,32.264892,3.251348,0.692855
16.744372,1.207750,32.317012,3.259099,0.693205
16.760380,1.208876,32.369182,3.259476,0.693221
16.776388,1.210002,32.421403,3.259864,0.693238
16.792396,1.210547,32.473655,3.267632,0.693587
16.808404,1.211671,32.525951,3.268027,0.693604
16.824412,1.212795,32.578295,3.268433,0.693621
16.840420,1.213339,32.630676,3.276218,0.693970
16.856428,1.214462,32.683092,3.276632,0.693988
16.872436,1.215583,32.735552,3.277055,0.694006
16.888444,1.216704,32.788057,3.277487,0.694024
16.904452,1.217247,32.840590,3.285289,0.694372
16.920460,1.218367,32.893160,3.285731,0.694391
16.936468,1.219486,32.945773,3.286181,0.694410
16.952476,1.220604,32.998425,3.286642,0.694430
16.968484,1.221145,33.051104,3.294461,0.694777
16.984492,1.222262,33.103818,3.294929,0.694797
17.000500,1.223379,33.156569,3.295408,0.694818
17.016508,1.224494,33.209356,3.295895,0.694838
17.032516,1.225034,33.262176,3.303732,0.695185
17.048524,1.226148,33.315020,3.304229,0.695206
17.064532,1.227262,33.367898,3.304734,0.695228
17.080540,1.228374,33.420809,3.305250,0.695250
17.096548,1.229486,33.473751,3.305774,0.695272
17.112556,1.230597,33.526724,3.306308,0.695295
17.128564,1.231135,33.579718,3.314162,0.695641
17.144572,1.232245,33.632739,3.314705,0.695664
17.160580,1.233354,33.685789,3.315257,0.695687
17.176588,1.234462,33.738866,3.315819,0.695711
17.192596,1.235570,33.791969,3.316390,0.695736
17.208604,1.236676,33.845097,3.316970,0.695760
17.224612,1.237782,33.898249,3.317560,0.695785
17.240620,1.238318,33.951420,3.325431,0.696131
17.256628,1.915239,33.988392,0.899893,0.450509
17.272636,1.915298,34.002810,0.901526,0.450912
17.288644,1.915926,34.017248,0.902621,0.451182
17.304652,1.915985,34.031711,0.904260,0.451586
17.320660,1.916044,34.046200,0.905901,0.451990
17.336668,1.916104,34.060715,0.907546,0.452394
17.352676,1.916163,34.075256,0.909194,0.452798
17.368684,1.916222,34.089822,0.910846,0.453201
17.384692,1.916847,34.104413,0.911954,0.453471
17.400700,1.916906,34.119027,0.913610,0.453875
17.416708,1.916965,34.133666,0.915271,0.454278
17.432716,1.917024,34.148331,0.916934,0.454682
17.448724,1.917083,34.163022,0.918601,0.455085
17.464732,1.917141,34.177740,0.920271,0.455489
17.480740,1.917200,34.192484,0.921945,0.455892
17.496748,1.917822,34.207249,0.923067,0.456162
17.512756,1.917881,34.222040,0.924746,0.456565
17.528764,1.917939,34.236857,0.926429,0.456969
17.544772,1.917997,34.251701,0.928115,0.457372
17.560780,1.918056,34.266571,0.929804,0.457776
17.576788,1.918114,34.281468,0.931497,0.458179
17.592796,1.918733,34.296388,0.932631,0.458448
17.608804,1.918791,34.311332,0.934330,0.458851
17.624812,1.918849,34.326303,0.936032,0.459255
17.640820,1.918907,34.341301,0.937737,0.459658
17.656828,1.918965,34.356325,0.939446,0.460061
17.672836,1.919024,34.371377,0.941158,0.460464
17.688844,1.919640,34.386452,0.942305,0.460733
17.704852,1.919697,34.401552,0.944023,0.461137
17.720860,1.919755,34.416678,0.945744,0.461540
17.736868,1.919813,34.431831,0.947470,0.461943
17.752876,1.919870,34.447012,0.949198,0.462346
17.768884,1.919928,34.462219,0.950930,0.462749
