R,n_u,r,F,dF_dR
2.28011,0.00500501,0.00500501,14.5632,0.0577028
2.30012,0.00500501,0.00500501,14.5644,0.0582122
2.32012,0.00500501,0.00500501,14.5656,0.0587217
2.34012,0.00500501,0.00500501,14.5667,0.0592312
2.36012,0.00500501,0.00500501,14.5679,0.0597408
2.38012,0.00500501,0.00500501,14.5691,0.0602504
2.40012,0.00500501,0.00500501,14.5703,0.0607601
2.42012,0.00500501,0.00500501,14.5716,0.0612698
2.44012,0.00500501,0.00500501,14.5728,0.0617796
2.46012,0.00500501,0.00500501,14.574,0.0622895
2.48012,0.00500501,0.00500501,14.5753,0.0627994
2.50013,0.00500501,0.00500501,14.5766,0.0633094
2.52013,0.00500501,0.00500501,14.5778,0.0638195
2.54013,0.00500501,0.00500501,14.5791,0.0643296
2.56013,0.00500501,0.00500501,14.5804,0.0648398
2.58013,0.00500501,0.00500501,14.5817,0.06535
2.60013,0.00500501,0.00500501,14.583,0.0658603
2.62013,0.00500501,0.00500501,14.5844,0.0663707
2.64013,0.00500501,0.00500501,14.5857,0.0668811
2.66013,0.00500501,0.00500501,14.587,0.0673916
2.68013,0.00500501,0.00500501,14.5884,0.0679021
2.70014,0.00500501,0.00500501,14.5898,0.0684127
2.72014,0.00500501,0.00500501,14.5911,0.0689234
2.74014,0.00500501,0.00500501,14.5925,0.0694342
2.76014,0.00500501,0.00500501,14.5939,0.069945
2.78014,0.00500501,0.00500501,14.5953,0.0704559
2.80014,0.00500501,0.00500501,14.5968,0.0709668
2.82014,0.00500501,0.00500501,14.5982,0.0714779
2.84014,0.00500501,0.00500501,14.5996,0.071989
2.86014,0.00500501,0.00500501,14.6011,0.0725001
2.88014,0.00500501,0.00500501,14.6025,0.0730113
2.90015,0.00500501,0.00500501,14.604,0.0735226
2.92015,0.00500501,0.00500501,14.6055,0.074034
2.94015,0.00500501,0.00500501,14.607,0.0745455
2.96015,0.00500501,0.00500501,14.6085,0.075057
2.98015,0.00500501,0.00500501,14.61,0.0755686
3.00015,0.00500501,0.00500501,14.6115,0.0760802
3.02015,0.00500501,0.00500501,14.613,0.076592
3.04015,0.00500501,0.00500501,14.6146,0.0771038
3.06015,0.00500501,0.00500501,14.6161,0.0776156
3.08015,0.00500501,0.00500501,14.6177,0.0781276
3.10016,0.00500501,0.00500501,14.6193,0.0786396
3.12016,0.00500501,0.00500501,14.6209,0.0791517
3.14016,0.00500501,0.00500501,14.6225,0.0796639
3.16016,0.00500501,0.00500501,14.6241,0.0801762
3.18016,0.00500501,0.00500501,14.6257,0.0806885
3.20016,0.00500501,0.00500501,14.6273,0.081201
3.22016,0.00500501,0.00500501,14.6289,0.0817135
3.24016,0.00500501,0.00500501,14.6306,0.082226
3.26016,0.00500501,0.00500501,14.6322,0.0827387
3.28016,0.00500501,0.00500501,14.6339,0.0832514
3.30017,0.00500501,0.00500501,14.6356,0.0837642
3.32017,0.00500501,0.00500501,14.6373,0.0842771
3.34017,0.00500501,0.00500501,14.639,0.0847901
3.36017,0.00500501,0.00500501,14.6407,0.0853032
3.38017,0.00500501,0.00500501,14.6424,0.0858163
3.40017,0.00500501,0.00500501,14.6441,0.0863295
3.42017,0.00500501,0.00500501,14.6459,0.0868428
3.44017,0.00500501,0.00500501,14.6476,0.0873562
3.46017,0.00500501,0.00500501,14.6494,0.0878697
3.48017,0.00500501,0.00500501,14.6512,0.0883833
3.50018,0.00500501,0.00500501,14.6529,0.0888969
3.52018,0.00500501,0.00500501,14.6547,0.0894107
3.54018,0.00500501,0.00500501,14.6565,0.0899245
3.56018,0.00500501,0.00500501,14.6583,0.0904384
3.58018,0.00500501,0.00500501,14.6602,0.0909524
3.60018,0.00500501,0.00500501,14.662,0.0914665
3.62018,0.00500501,0.00500501,14.6638,0.0919806
3.64018,0.00500501,0.00500501,14.6657,0.0924949
3.66018,0.00500501,0.00500501,14.6676,0.0930093
3.68018,0.00500501,0.00500501,14.6694,0.0935237
3.70019,0.00500501,0.00500501,14.6713,0.0940382
3.72019,0.00500501,0.00500501,14.6732,0.0945528
3.74019,0.00500501,0.00500501,14.6751,0.0950676
3.76019,0.00500501,0.00500501,14.677,0.0955824
3.78019,0.00500501,0.00500501,14.679,0.0960973
3.80019,0.00500501,0.00500501,14.6809,0.0966123
3.82019,0.00500501,0.00500501,14.6829,0.0971273
3.84019,0.00500501,0.00500501,14.6848,0.0976425
3.86019,0.00500501,0.00500501,14.6868,0.0981578
3.88019,0.00500501,0.00500501,14.6888,0.0986732
3.9002,0.00500501,0.00500501,14.6908,0.0991886
3.9202,0.00500501,0.00500501,14.6928,0.0997042
3.9402,0.00500501,0.00500501,14.6948,0.10022
3.9602,0.00500501,0.00500501,14.6968,0.100736
3.9802,0.00500501,0.00500501,14.6988,0.101251
4.0002,0.00500501,0.00500501,14.7009,0.101767
4.0202,0.00500501,0.00500501,14.7029,0.102283
4.0402,0.00500501,0.00500501,14.705,0.1028
4.0602,0.00500501,0.00500501,14.7071,0.103316
4.0802,0.00500501,0.00500501,14.7091,0.103832
4.10021,0.00500501,0.00500501,14.7112,0.104349
4.12021,0.00500501,0.00500501,14.7133,0.104865
4.14021,0.00500501,0.00500501,14.7155,0.105382
4.16021,0.00500501,0.00500501,14.7176,0.105899
4.18021,0.00500501,0.00500501,14.7197,0.106416
4.20021,0.00500501,0.00500501,14.7219,0.106932
4.22021,0.00500501,0.00500501,14.724,0.10745
4.24021,0.00500501,0.00500501,14.7262,0.107967
4.26021,0.00500501,0.00500501,14.7284,0.108484
4.28021,0.00500501,0.00500501,14.7306,0.109001
4.30022,0.00500501,0.00500501,14.7328,0.109519
4.32022,0.00500501,0.00500501,14.735,0.110036
4.34022,0.00500501,0.00500501,14.7372,0.110554
4.36022,0.00500501,0.00500501,14.7394,0.111072
4.38022,0.00500501,0.00500501,14.7417,0.11159
4.40022,0.00500501,0.00500501,14.7439,0.112108
4.42022,0.00500501,0.00500501,14.7462,0.112626
4.44022,0.00500501,0.00500501,14.7485,0.113144
4.46022,0.00500501,0.00500501,14.7508,0.113663
4.48022,0.00500501,0.00500501,14.7531,0.114181
4.50023,0.00500501,0.00500501,14.7554,0.1147
4.52023,0.00500501,0.00500501,14.7577,0.115218
4.54023,0.00500501,0.00500501,14.76,0.115737
4.56023,0.00500501,0.00500501,14.7624,0.116256
4.58023,0.00500501,0.00500501,14.7647,0.116775
4.60023,0.00500501,0.00500501,14.7671,0.117294
4.62023,0.00500501,0.00500501,14.7694,0.117814
4.64023,0.00500501,0.00500501,14.7718,0.118333
4.66023,0.00500501,0.00500501,14.7742,0.118852
4.68023,0.00500501,0.00500501,14.7766,0.119372
4.70024,0.00500501,0.00500501,14.779,0.119892
4.72024,0.00500501,0.00500501,14.7815,0.120412
4.74024,0.00500501,0.00500501,14.7839,0.120932
4.76024,0.00500501,0.00500501,14.7863,0.121452
4.78024,0.00500501,0.00500501,14.7888,0.121972
4.80024,0.00500501,0.00500501,14.7913,0.122492
4.82024,0.00500501,0.00500501,14.7937,0.123013
4.84024,0.00500501,0.00500501,14.7962,0.123533
4.86024,0.00500501,0.00500501,14.7987,0.124054
4.88024,0.00500501,0.00500501,14.8012,0.124575
4.90025,0.00500501,0.00500501,14.8038,0.125096
4.92025,0.00500501,0.00500501,14.8063,0.125617
4.94025,0.00500501,0.00500501,14.8088,0.126138
4.96025,0.00500501,0.00500501,14.8114,0.126659
4.98025,0.00500501,0.00500501,14.814,0.12718
5.00025,0.00500501,0.00500501,14.8165,0.127702
5.02025,0.00500501,0.00500501,14.8191,0.128224
5.04025,0.00500501,0.00500501,14.8217,0.128745
5.06025,0.00500501,0.00500501,14.8243,0.129267
5.08025,0.00500501,0.00500501,14.8269,0.129789
5.10026,0.00500501,0.00500501,14.8296,0.130312
5.12026,0.00500501,0.00500501,14.8322,0.130834
5.14026,0.00500501,0.00500501,14.8349,0.131356
5.16026,0.00500501,0.00500501,14.8375,0.131879
5.18026,0.00500501,0.00500501,14.8402,0.132402
5.20026,0.00500501,0.00500501,14.8429,0.132924
5.22026,0.00500501,0.00500501,14.8456,0.133447
5.24026,0.00500501,0.00500501,14.8483,0.13397
5.26026,0.00500501,0.00500501,14.851,0.134494
5.28026,0.00500501,0.00500501,14.8537,0.135017
5.30027,0.00500501,0.00500501,14.8564,0.13554
5.32027,0.00500501,0.00500501,14.8592,0.136064
5.34027,0.00500501,0.00500501,14.8619,0.136588
5.36027,0.00500501,0.00500501,14.8647,0.137112
5.38027,0.00500501,0.00500501,14.8675,0.137636
5.40027,0.00500501,0.00500501,14.8703,0.13816
5.42027,0.00500501,0.00500501,14.8731,0.138684
5.44027,0.00500501,0.00500501,14.8759,0.139208
5.46027,0.00500501,0.00500501,14.8787,0.139733
5.48027,0.00500501,0.00500501,14.8816,0.140258
5.50028,0.00500501,0.00500501,14.8844,0.140782
5.52028,0.00500501,0.00500501,14.8873,0.141307
5.54028,0.00500501,0.00500501,14.8901,0.141833
5.56028,0.00500501,0.00500501,14.893,0.142358
5.58028,0.00500501,0.00500501,14.8959,0.142883
5.60028,0.00500501,0.00500501,14.8988,0.143409
5.62028,0.00500501,0.00500501,14.9017,0.143934
5.64028,0.00500501,0.00500501,14.9046,0.14446
5.66028,0.00500501,0.00500501,14.9075,0.144986
5.68028,0.00500501,0.00500501,14.9105,0.145512
5.70029,0.00500501,0.00500501,14.9134,0.146038
5.72029,0.00500501,0.00500501,14.9164,0.146565
5.74029,0.00500501,0.00500501,14.9194,0.147091
5.76029,0.00500501,0.00500501,14.9224,0.147618
5.78029,0.00500501,0.00500501,14.9254,0.148145
5.80029,0.00500501,0.00500501,14.9284,0.148672
5.82029,0.00500501,0.00500501,14.9314,0.149199
5.84029,0.00500501,0.00500501,14.9344,0.149726
5.86029,0.00500501,0.00500501,14.9375,0.150254
5.88029,0.00500501,0.00500501,14.9405,0.150781
5.9003,0.00500501,0.00500501,14.9436,0.151309
5.9203,0.00500501,0.00500501,14.9467,0.151837
5.9403,0.00500501,0.00500501,14.9497,0.152365
5.9603,0.00500501,0.00500501,14.9528,0.152893
5.9803,0.00500501,0.00500501,14.9559,0.153421
6.0003,0.00500501,0.00500501,14.9591,0.15395
6.0203,0.00500501,0.00500501,14.9622,0.154478
6.0403,0.00500501,0.00500501,14.9653,0.155007
6.0603,0.00500501,0.00500501,14.9685,0.155536
6.0803,0.00500501,0.00500501,14.9716,0.156065
6.10031,0.00500501,0.00500501,14.9748,0.156594
6.12031,0.00500501,0.00500501,14.978,0.157124
6.14031,0.00500501,0.00500501,14.9812,0.157653
6.16031,0.00500501,0.00500501,14.9844,0.158183
6.18031,0.00500501,0.00500501,14.9876,0.158713
6.20031,0.00500501,0.00500501,14.9909,0.159243
6.22031,0.00500501,0.00500501,14.9941,0.159773
6.24031,0.00500501,0.00500501,14.9973,0.160303
