,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10101010101010101,0.7410516349357585,0.6604812944226246,0.5167423532430597,0.4976446138298694,0.46650937228148937,0.8590929811129744,0.8393895063823983,0.4368770158001493,0.5347897985577307,0.6677252846298564
0.20202020202020202,1.427715456006016,1.2724880573116455,0.9955592760399298,0.9587656663523786,0.8987801336487244,1.655134815920779,1.6171740836742374,0.8416902171721338,1.03032975570451,1.28644415019071
0.30303030303030304,2.058644458051096,1.834819741085724,1.4355119708843322,1.3824586356009636,1.2959645639015358,2.386563854342316,2.331827691426706,1.2136458153036467,1.4856479983872892,1.8549431837137882
0.40404040404040403,2.6340719285708576,2.3476841746480477,1.8367628745868636,1.7688801830577556,1.6582095132894017,3.0536504414909236,2.983614594529635,1.5528811783446277,1.900912812699663,2.373432446736627
0.5050505050505051,3.155715143400819,2.8126118326505227,2.200509334554725,2.119183461825848,1.9865958397787573,3.658385443958287,3.574479945463753,1.8604086784625014,2.2773632721975696,2.843459156937063
0.6060606060606061,3.626501099777538,3.232211950135435,2.528792701030295,2.4353342446047517,2.2829666198545477,4.204162307508292,4.107739522566323,2.137954123131612,2.617112257193136,3.2676611651316074
0.7070707070707071,4.050196363538325,3.6098412013239742,2.824239435256042,2.719861825522012,2.54969255855439,4.69534739644803,4.587659349581159,2.387737821538837,2.9228775597282364,3.649432205280963
0.8080808080808081,4.4310244156189365,3.94926395262474,3.0897943630171696,2.9756024336235587,2.789432721594673,5.136837289583318,5.019023394749199,2.6122498581428664,3.1977071402301047,3.9925774494783832
0.9090909090909091,4.773338694748358,4.254360317760818,3.328493280203487,3.2054795102174243,3.0049275060302776,5.533678423563671,5.406762952401932,2.814056564630315,3.444742749132742,4.301020177388179
1.0101010101010102,5.081378771874842,4.528908943892406,3.54329243780421,3.412340288094993,3.198845884739807,5.890785822456561,5.75568012114755,2.995657395750172,3.667043907392988,4.578579834913388
1.1111111111111112,5.359113280996293,4.776447007091,3.736959422990069,3.5988497159314146,3.3736862717288547,6.212760498129427,6.070270398914964,3.1593920498900903,3.8674747170814188,4.828832955096005
1.2121212121212122,5.610155625176126,5.0001947953046475,3.9120134850261725,3.7674341651154637,3.53172316503794,6.503790977587042,6.354625962738476,3.3073905441363567,4.048642698609804,5.055034497624975
1.3131313131313131,5.837731330909852,5.203027636432479,4.070704184935726,3.9202599811137033,3.6749874285882713,6.767616953589383,6.6124011784678505,3.441554725254041,4.212875716458432,5.26009194376732
1.4141414141414141,6.0446832228617025,5.387478766451835,4.215013655882131,4.0592360917246575,3.8052684523007754,7.007533985473974,6.846815564861057,3.563560366258183,4.362225275500778,5.4465659814345395
1.5151515151515151,6.23349365519324,5.555760913913333,4.346672857371076,4.186029528367984,3.9241289835282895,7.226419790964625,7.060681264849177,3.674870957779942,4.498482853760566,5.616693724153924
1.6161616161616161,6.4063192200189,5.709795834295979,4.467185621606201,4.3020883739717375,4.032926584287425,7.426774401306542,7.256440657469952,3.7767578537737725,4.6232046567467,5.772418317620209
1.7171717171717171,6.5650271544481695,5.851248480642469,4.577854175257753,4.408666863955647,4.132836927745339,7.610762743337635,7.43620928380543,3.870321895178735,4.737738200716697,5.915422077791055
1.8181818181818181,6.711232942885866,5.981558337585258,4.679804969465188,4.506849787458151,4.224876923143628,7.780257721705456,7.601816750126583,3.9565156577562024,4.843249704071358,6.0471611425013
1.9191919191919191,6.846334854568105,6.101971207128918,4.774012685094955,4.597575795392323,4.309926706566976,7.936879902553559,7.754846789876485,4.036163069658464,4.940747799625761,6.168894653167244
2.0202020202020203,6.971543117760795,6.213566303521316,4.8613215912963375,4.681657926891664,4.388748196002048,8.082032434892195,7.896670342678244,4.109977934499607,5.031105907083776,6.281713750620171
2.121212121212121,7.087908504580362,6.3172799441936665,4.942464290233651,4.7598018037630005,4.462002926604034,8.216933478073434,8.028477438359602,4.178579564257509,5.115082563917957,6.386564808947351
2.2222222222222223,7.196344727348138,6.413926477633121,5.018077827445855,4.832620828811231,4.530266045834066,8.342642397943612,8.151303099384991,4.242506646386171,5.193336928728776,6.484271341684946
2.323232323232323,7.2976485069026635,6.5042161435149755,5.088717952802644,4.900650192837113,4.594039182158698,8.460082664221051,8.26604987196586,4.302228911508854,5.2664441850761365,6.5755511582172606
2.4242424242424243,7.392516605616567,6.5887696673723575,5.154870295011532,4.964357750938414,4.653760796702461,8.570062204783545,8.373507079311734,4.358157091609987,5.334906991422602,6.661032146856826
2.525252525252525,7.481560208213591,6.6681321032492775,5.216961223781239,5.0241539766210686,4.7098158299491235,8.673289495326056,8.47436681971994,4.41065152313468,5.399166480224482,6.741264988402184
2.6262626262626263,7.565316974543537,6.742782428794026,5.275365592657789,5.080399786561701,4.762542639946083,8.770387803945658,8.569238092747298,4.460029151774132,5.459610568923314,6.816734064094314
