,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008016032064128256,0.005329714165656566,0.005329714165656566,0.0053297079595959595,0.005329714165656566,0.005329711062626262,0.005329726060606061,0.0053297079595959595,0.0053297002020202015,0.0053297110626262635,0.005329708993939393
0.01603206412825651,0.010630719178532803,0.010630716065054585,0.01063071295157637,0.010630716065054587,0.01063071840016325,0.010630722292011018,0.010630718400163249,0.010630720735271909,0.010630717621793694,0.010630718400163247
0.024048096192384766,0.015902887819610242,0.015902873030588714,0.015902868360371393,0.01590286524689317,0.015902874587327826,0.015902887819610245,0.015902871473849604,0.015902884986345067,0.01590287770080604,0.015902865246893175
0.03206412825651302,0.02114602794653607,0.02114603106001428,0.021146024054688302,0.021146029503275172,0.021146031060014284,0.021146021719579636,0.021146029503275175,0.021146024054688295,0.021146031060014288,0.021146027946536063
0.04008016032064128,0.026360049268441994,0.026360049268441998,0.026360049268441998,0.026360049268441994,0.026360049268441994,0.026360048490072438,0.026360049268441994,0.026360051167663708,0.026360049268442,0.026360049268441998
0.04809619238476953,0.0315448051070707,0.031544798901010106,0.031544807175757576,0.03154479683232324,0.03154479683232323,0.03154480096969697,0.031544809244444444,0.0315447926949495,0.03154479683232324,0.0315448051070707
0.05611222444889779,0.03670016,0.03670016,0.036700159999999996,0.03670016,0.03670016103434343,0.03670016000000001,0.03670016,0.03670016000000001,0.036700165171717175,0.03670016
0.06412825651302605,0.041825987490909086,0.04182599783434344,0.041825989559595954,0.04182598335353536,0.04182599783434344,0.04182600817777778,0.04182599162828283,0.04182598749090911,0.04182598955959597,0.04182598542222221
0.0721442885771543,0.04692218828282829,0.046922192420202034,0.046922198626262616,0.04692219655757576,0.046922188282828285,0.04692218207676768,0.046922188282828285,0.0469221882828283,0.04692219035151515,0.046922188282828285
0.08016032064128256,0.051988635151515146,0.0519886341171717,0.051988635151515146,0.05198863515151515,0.05198863515151515,0.05198863515151515,0.05198863188298991,0.051988640323232325,0.051988635151515146,0.05198863515151514
0.08817635270541081,0.05702520397575756,0.057025212250505046,0.05702521535353536,0.05702521535353536,0.057025210181818185,0.05702521535353536,0.057025215353535365,0.057025206044444436,0.05702521481567678,0.057025212912484836
0.09619238476953906,0.06203181097373736,0.062031821317171734,0.06203181304242424,0.06203181097373738,0.06203181511111113,0.06203182131717171,0.062031815111111104,0.062031808905050514,0.06203182131717172,0.062031819248484846
0.10420841683366733,0.06700835374545454,0.06700835995151516,0.06700835788282829,0.06700835581414143,0.06700835995151515,0.06700835581414143,0.0670083640888889,0.06700835788282829,0.06700835581414143,0.0670083558141414
0.11222444889779558,0.07195474230303033,0.07195474747474748,0.07195474747474746,0.07195474644040405,0.07195474850909091,0.07195474644040403,0.07195474747474746,0.07195473609696969,0.07195474747474748,0.07195474747474746
0.12024048096192384,0.07687086804040405,0.07687088252121212,0.07687087217777779,0.07687087631515153,0.07687088252121212,0.07687086804040405,0.0768708783838384,0.07687087424646465,0.07687087010909091,0.0768708763151515
0.1282565130260521,0.08175667717171718,0.08175667671660607,0.08175667717171715,0.08175667406868689,0.08175667717171717,0.08175667717171717,0.08175667717171717,0.08175667717171717,0.08175667820606061,0.08175667406868684
