,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008016032064128256,0.04659767871565957,0.032166965900042956,0.05715314322644365,0.06925222314299048,0.043075350533828986,0.07387387252887367,0.04463428378301396,0.06724317249178617,0.05591567213856697,0.0665787410488486
0.01603206412825651,0.09294435337446429,0.06416064173969149,0.11399849007237423,0.1381313703182883,0.08591871419157432,0.1473495287674457,0.08902823672278015,0.1341245025082158,0.1115301963189342,0.13279896676020045
0.024048096192384766,0.13903891170082772,0.09598022681665568,0.1705344683051805,0.20663561655657467,0.12852889946478946,0.22042557052046194,0.13318052015413076,0.20064176177273554,0.16684208301900458,0.19865864129010163
0.03206412825651302,0.1848796737946003,0.12762479166552726,0.22675946799138377,0.2747632440000978,0.17090470564093022,0.2930992128378516,0.1770899810812001,0.26679281931953497,0.22184965111430954,0.2641562457659672
0.04008016032064128,0.23046585024292782,0.15909348598940684,0.2826720868603817,0.3425121793137449,0.21304501294440326,0.3653694092092051,0.22075542009079682,0.3325765803651861,0.27655155319515157,0.32928981606203767
0.04809619238476953,0.2757961586381433,0.19038553270098377,0.3382708576593933,0.4098807630827674,0.2549487514621814,0.43723384265627613,0.2641758194579039,0.3979908542698338,0.33094636775389086,0.39405780185152445
0.05611222444889779,0.32086941463260044,0.22150020780724008,0.3935543029401577,0.47686753749023214,0.29661501019969483,0.5086908615563952,0.30734992775217645,0.4630345227337044,0.38503295564427725,0.45845851093743545
0.06412825651302605,0.3656845126189768,0.2524366981520583,0.44852115538213194,0.5434704830962003,0.33804262500746657,0.5797388386159245,0.3502768245456114,0.5277054965351372,0.4388095886633418,0.5224903377849818
0.0721442885771543,0.4102405844440944,0.28319427958477716,0.5031703723574614,0.6096886859905734,0.3792306345217132,0.6503755086282182,0.3929555396679822,0.5920026794749781,0.49227543123621165,0.586152119502243
0.08016032064128256,0.4545365177866935,0.31377229038151616,0.5575003233736509,0.6755200092365033,0.42017825293203803,0.720600226439485,0.4353850842386367,0.6559245316544149,0.5454290943553061,0.6494421892774649
0.08817635270541081,0.49857122745530175,0.3441700625757174,0.6115101099960597,0.740963364205785,0.4608844436374922,0.790410884547339,0.477564561543094,0.7194693174247871,0.5982694329575009,0.7123591340677538
0.09619238476953906,0.542343980945675,0.374386959414213,0.6651983790268342,0.8060171112361827,0.501348412467994,0.8598060779501896,0.519492936617616,0.7826360710868402,0.6507953136994228,0.7749016757256783
0.10420841683366733,0.5858538829748485,0.4044223691145475,0.7185643762245482,0.8706803901770156,0.5415694321309418,0.9287844589934505,0.5611696478029398,0.8454236442414595,0.7030056996001002,0.8370685857205284
0.11222444889779558,0.6291001467790045,0.43427580474782806,0.7716070035024184,0.9349518570428447,0.5815467251756243,0.9973450241045565,0.6025937335910725,0.9078305622397832,0.7548998475404769,0.8988589254693145
0.12024048096192384,0.672081822815604,0.46394665453159945,0.824325085131163,0.998830127528668,0.6212794974319596,1.0654860385366465,0.6437644663543448,0.9698559507324861,0.8064764336227028,0.9602712219756027
0.1282565130260521,0.7147984408350093,0.4934343850914435,0.87671803324614,1.0623142742845326,0.6607670634057718,1.1332069001461809,0.6846811791007256,1.031498609120494,0.8577349803754222,1.0213046224519842
