r,f
0.0,0.0
0.09001800360072014,0.0026599844261636298
0.18003600720144028,0.005323345281751357
0.2700540108021604,0.007996958984726462
0.36007201440288056,0.010677472510710495
0.4500900180036007,0.01336645830853131
0.5401080216043208,0.01606459508025228
0.630126025205041,0.01876988705647943
0.7201440288057611,0.021485757773997076
0.8101620324064812,0.024209260172105302
0.9001800360072014,0.02694228331991644
0.9901980396079215,0.029685324475184113
1.0802160432086416,0.03243631523597346
1.1702340468093617,0.03519914351205216
1.260252050410082,0.03796999489443172
1.3502700540108021,0.040752086516393594
1.4402880576115222,0.043544132021420476
1.5303060612122423,0.04634637432266926
1.6203240648129624,0.04916039150293406
1.7103420684136827,0.051983561385889686
1.8003600720144028,0.05482023476586175
1.890378075615123,0.05766695894899216
1.980396079215843,0.06052573544657675
2.0704140828165634,0.06339769160311944
2.1604320864172832,0.06628031256515145
2.2504500900180036,0.06917727570047794
2.3404680936187234,0.07208537207892153
2.4304860972194438,0.07500802961795115
2.520504100820164,0.07794381688127593
2.610522104420884,0.08089275282281484
2.7005401080216043,0.0838579885730348
2.790558111622324,0.08683565589325581
2.8805761152230445,0.08983031305115192
2.970594118823765,0.0928392859329214
3.0606121224244847,0.09586381989948049
3.150630126025205,0.09890635147040287
3.240648129625925,0.10196336624286526
3.330666133226645,0.10503957507468885
3.4206841368273655,0.10813196726518075
3.5107021404280854,0.11124324355468196
3.6007201440288057,0.11437342078574865
3.6907381476295256,0.1175205509596193
3.780756151230246,0.12069237126239105
3.870774154830966,0.12388116902769596
3.960792158431686,0.12709230091984422
4.050810162032406,0.1303251975318506
4.140828165633127,0.13357958493947739
4.230846169233846,0.13685922035079187
4.3208641728345665,0.14015941274157856
4.410882176435287,0.14348795589284832
4.500900180036007,0.14684090688805224
4.590918183636727,0.15021874185340087
4.680936187237447,0.15362814542966785
4.770954190838167,0.15706125797466708
4.8609721944388875,0.1605287731903994
4.950990198039608,0.16402348607635706
5.041008201640328,0.16755051520651684
5.131026205241048,0.1711131052518463
5.221044208841768,0.1747051270428664
5.311062212442488,0.1783389908425697
5.4010802160432085,0.1820024122861049
5.491098219643929,0.1857115059581663
5.581116223244648,0.18945986053320665
5.671134226845369,0.19324445479995
5.761152230446089,0.19708329026953894
5.851170234046809,0.2009579835578172
5.94118823764753,0.20488833910480875
6.031206241248249,0.20886339297000595
6.121224244848969,0.2128923756519522
6.21124224844969,0.2169812580947513
6.30126025205041,0.2211136403673366
6.39127825565113,0.2253276350130789
