r,r1,r2,r3,n1,n2,n3
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03138138138138138,0.00950006482141419,0.01044257164214593,0.011438744917821259,0.0,0.0,0.0
0.06276276276276276,0.01901205340620498,0.020919849911084944,0.02283085944547283,0.0,0.0,0.0
0.09414414414414413,0.02851787959812272,0.03137974698498592,0.03424651756103549,0.0,0.0,0.0
0.1255255255255255,0.038024008578607146,0.04183987451799202,0.04566164242892634,0.0,0.0,0.0
0.1569069069069069,0.04753002574649547,0.05230006178565513,0.05707681937475628,0.0,0.0,0.0
0.18828828828828825,0.05703614629639908,0.06275999489311372,0.06849214709877545,0.0,0.0,0.0
0.21966966966966964,0.06654240555338688,0.07321996235193823,0.07990730176434452,0.0,0.0,0.0
0.251051051051051,0.07604847546739815,0.08368000433140015,0.09132257125225272,0.0,0.0,0.0
0.2824324324324324,0.08555459753674546,0.09414047271392532,0.10273736218176159,0.0,0.0,0.0
0.3138138138138138,0.09506084702567308,0.10460046957714042,0.11415249721100029,0.0,0.0,0.0
0.34519519519519515,0.10456715524054201,0.11506057404575747,0.12556746590889567,0.0,0.0,0.0
0.3765765765765765,0.1141114438074296,0.12552759582553802,0.13693753694360888,0.0,0.0,0.0
0.4079579579579579,0.1236208835258083,0.1359880175346337,0.14834905689751593,0.0,0.0,0.0
0.4393393393393393,0.13313006171515643,0.1464485769961055,0.15976070062807732,0.0,0.0,0.0
0.4707207207207207,0.14263945998366595,0.15690928491578945,0.17117197582126528,0.0,0.0,0.0
0.502102102102102,0.15214875989623794,0.16736972890614832,0.18258361329971579,0.0,0.0,0.0
0.5334834834834834,0.16165799927553734,0.17783046530920862,0.1939950188987374,0.0,0.0,0.0
0.5648648648648648,0.17116746030079188,0.18829126183042286,0.20540614273365002,0.0,0.0,0.0
0.5962462462462462,0.18067672708989133,0.19875175562747313,0.21681776352888174,0.0,0.0,0.0
0.6276276276276276,0.19018617216545008,0.20921243290702696,0.22822902255515054,0.0,0.0,0.0
0.6590090090090089,0.19969541527904,0.2196727612257116,0.23964083250425733,0.0,0.0,0.0
