f,avg_r,avg_n
4.709710,25.296474,1.000000
4.714715,25.299312,1.000000
4.719720,25.310296,1.000000
4.724725,25.327361,1.000000
4.729730,25.327604,1.000000
4.734735,25.328032,1.000000
4.739740,25.329066,1.000000
4.744745,25.330340,1.000000
4.749750,25.330797,1.000000
4.754755,25.336603,1.000000
4.759760,25.361391,1.000000
4.764765,25.361589,1.000000
4.769770,25.361690,1.000000
4.774775,25.362451,1.000000
4.779780,25.363447,1.000000
4.784785,25.364426,1.000000
4.789790,25.365255,1.000000
4.794795,25.373503,1.000000
4.799800,25.395477,1.000000
4.804805,25.395675,1.000000
4.809810,25.395776,1.000000
4.814815,25.396881,1.000000
4.819820,25.397914,1.000000
4.824825,25.398731,1.000000
4.829830,25.401284,1.000000
4.834835,25.411568,1.000000
4.839840,25.429563,1.000000
4.844845,25.429760,1.000000
4.849850,25.430022,1.000000
4.854855,25.431142,1.000000
4.859860,25.432000,1.000000
4.864865,25.432817,1.000000
4.869870,25.436237,1.000000
4.874875,25.449610,1.000000
4.879880,25.463648,1.000000
4.884885,25.463790,1.000000
4.889890,25.464107,1.000000
4.894895,25.465228,1.000000
4.899900,25.466085,1.000000
4.904905,25.466903,1.000000
4.909910,25.470618,1.000000
4.914915,25.486025,1.000000
4.919920,25.497734,1.000000
4.924925,25.497876,1.000000
4.929930,25.498193,1.000000
4.934935,25.499313,1.000000
4.939940,25.500171,1.000000
4.944945,25.500988,1.000000
4.949950,25.504114,1.000000
4.954955,25.517781,1.000000
4.959960,25.531820,1.000000
4.964965,25.531962,1.000000
4.969970,25.532063,1.000000
4.974975,25.533224,1.000000
4.979980,25.534257,1.000000
4.984985,25.535001,1.000000
4.989990,25.537344,1.000000
4.994995,25.547493,1.000000
5.000000,25.565906,1.000000
