r,r1,r2,r3,n1,n2,n3
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0523023023023023,0.009499307154057312,0.019018060038943675,0.023784935109301315,0.0,0.0,0.0
0.1046046046046046,0.018997917372500346,0.03803588203761474,0.04757080519448953,0.0,0.0,0.0
0.1569069069069069,0.028495892316726088,0.05705393046052984,0.07135708412965097,0.0,0.0,0.0
0.2092092092092092,0.03799318587763457,0.07607167808848354,0.09514434524309111,0.0,0.0,0.0
0.26151151151151153,0.04754670984161391,0.095095906563733,0.11886889510616462,0.0,0.0,0.0
0.3138138138138138,0.05705613775771962,0.11411519035094118,0.14264248570515298,0.0,0.0,0.0
0.3661161161161161,0.06656545651961474,0.1331346805635054,0.16641597903299601,0.0,0.0,0.0
0.4184184184184184,0.07607491973070951,0.1521540221619391,0.1901894765257698,0.0,0.0,0.0
0.47072072072072074,0.0855840612864625,0.17117303812753557,0.21396362130672267,0.0,0.0,0.0
0.5230230230230231,0.09509335457260493,0.19019239231392365,0.23773727613649448,0.0,0.0,0.0
0.5753253253253253,0.10460253159686186,0.20921187261230448,0.26151092111615903,0.0,0.0,0.0
0.6276276276276276,0.11411172314662872,0.22823149620860142,0.2852844082723974,0.0,0.0,0.0
0.67992992992993,0.12362090642328187,0.24725083728780992,0.3090581862188382,0.0,0.0,0.0
0.7322322322322322,0.1331301471527885,0.2662701916340708,0.33283189344537295,0.0,0.0,0.0
0.7845345345345346,0.14263919170936767,0.28528991163231093,0.356605431192856,0.0,0.0,0.0
0.8368368368368369,0.15214810534515105,0.30430955021943906,0.3803791812722468,0.0,0.0,0.0
0.8891391391391391,0.1616568137373581,0.3233292093287268,0.40415311607305426,0.0,0.0,0.0
0.9414414414414415,0.17116579662838835,0.34234938466261927,0.42792626015043383,0.0,0.0,0.0
0.9937437437437437,0.18067459094704283,0.36136888076133544,0.45170027203536545,0.0,0.0,0.0
1.0460460460460461,0.19018354210496807,0.38038850220959525,0.47547400173148285,0.0,0.0,0.0
1.0983483483483483,0.1996922445593658,0.3994090401156733,0.4992470636733091,0.0,0.0,0.0
1.1506506506506506,0.20920086026356044,0.4184290131645494,0.5230207772225408,0.0,0.0,0.0
1.202952952952953,0.21870935191896537,0.43744908890024997,0.5467945121337376,0.0,0.0,0.0
1.2552552552552552,0.22821786310883055,0.4564689614564973,0.5705684306899274,0.0,0.0,0.0
1.3075575575575575,0.23772606329000187,0.47548918325188916,0.5943423110156666,0.0,0.0,0.0
1.35985985985986,0.2472343558673116,0.49450998211829994,0.6181155218742485,0.0,0.0,0.0
1.4121621621621623,0.25674238062103794,0.5135305210580549,0.6418892604830696,0.0,0.0,0.0
1.4644644644644644,0.26625040643092046,0.5325511510735175,0.6656629069600264,0.0,0.0,0.0
1.5167667667667668,0.27575827290163585,0.5515719307591977,0.6894365631059332,0.0,0.0,0.0
1.5690690690690692,0.2852662626034627,0.5705927383229065,0.7132100681426999,0.0,0.0,0.0
1.6213713713713713,0.294773773966921,0.5896133834726452,0.7369842139318051,0.0,0.0,0.0
