r,chain_1,chain_2,chain_3,chain_4,chain_5,chain_6,chain_7,chain_8,chain_9,chain_10,chain_11,chain_12,chain_13,chain_14,chain_15,chain_16,chain_17,chain_18,chain_19,chain_20,chain_21,chain_22,chain_23,chain_24,chain_25,chain_26,chain_27,chain_28,chain_29,chain_30,chain_31,chain_32,chain_33,chain_34,chain_35,chain_36,chain_37,chain_38,chain_39,chain_40,chain_41,chain_42,chain_43,chain_44,chain_45,chain_46,chain_47,chain_48,chain_49,chain_50,chain_51,chain_52,chain_53,chain_54,chain_55,chain_56,chain_57,chain_58,chain_59,chain_60,chain_61,chain_62,chain_63,chain_64,chain_65,chain_66,chain_67,chain_68,chain_69,chain_70,chain_71,chain_72,chain_73,chain_74,chain_75,chain_76,chain_77,chain_78,chain_79,chain_80,chain_81,chain_82,chain_83,chain_84,chain_85,chain_86,chain_87,chain_88,chain_89,chain_90,chain_91,chain_92,chain_93,chain_94,chain_95,chain_96,chain_97,chain_98,chain_99,chain_100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01046046046046046,0.005230291445555158,0.005230246686119924,0.005230291445555158,0.00523024100091428,0.005230246686119924,0.0052301995928785055,0.005230241109553077,0.005230291445555158,0.005230272177416893,0.005230272177416893,0.005230230230230229,0.0052301995928785055,0.005230260267854903,0.005230238183415764,0.0052301995928785055,0.005230272177416893,0.005230260267854903,0.0052302194619411775,0.00523024099971662,0.005230168416375401,0.005230233641140413,0.005230241109553077,0.005230216537974995,0.005230260267854903,0.00523024100091428,0.0052301995928785055,0.005230230227834895,0.005230233641140413,0.005230241109553077,0.005230245765717386,0.00523024100091428,0.00523024100091428,0.0052302529092786276,0.005230233641140413,0.005230272177416893,0.005230245010353836,0.005230291445555158,0.005230241972357576,0.00523021385157677,0.005230245765717386,0.00523024100091428,0.005230241109553077,0.00523024100091428,0.00523024100091428,0.005230260269052545,0.005230246686119924,0.005230241109553077,0.0052302257970891055,0.005230272177416893,0.005230260267854903,0.005230241109553077,0.00523024100091428,0.005230291445555158,0.005230245010353836,0.00523024099971662,0.005230230230230229,0.00523024100091428,0.005230245765717386,0.005230291445555158,0.005230224439271789,0.005230200192604663,0.00523021862411609,0.005230219020303648,0.005230226048369187,0.005230246686119924,0.00523023706250813,0.00523024100091428,0.005230200192604663,0.00523024100091428,0.005230233641140413,0.005230233641140413,0.00523024100091428,0.005230260267854903,0.00523024100091428,0.00523024100091428,0.0052302165374874384,0.005230272177416893,0.005230226048369187,0.005230245010353836,0.00523024100091428,0.005230230227834895,0.005230215462833672,0.005230272177416893,0.005230243006232911,0.005230241109553077,0.005230263021974722,0.005230230230230229,0.00523024100091428,0.005230272177416893,0.005230230230230229,0.005230230230230229,0.005230200192604663,0.005230230230230229,0.005230243006232911,0.00523024100091428,0.005230246686119924,0.005230230230230229,0.005230230229032562,0.005230241972357576,0.00523021862411609
0.02092092092092092,0.010460520694001704,0.010460473046152862,0.010460471731555655,0.010460463948947493,0.010460473046152862,0.010460463949545697,0.010460520693403513,0.010460520693403513,0.010460520693403513,0.010460520693403513,0.010460454514494746,0.010460463949545697,0.010460463948947493,0.010460468693386822,0.010460470723201417,0.010460463948947493,0.01046048564550973,0.010460500365097741,0.010460482157022373,0.010460470723201417,0.010460471319795609,0.010460520693403513,0.010460467967495897,0.01046048564550973,0.010460473046152862,0.010460467437434581,0.01046048215360643,0.010460471319795609,0.010460520693403513,0.010460524181891442,0.01046044787506678,0.010460463948947493,0.010460463949545697,0.010460463948947493,0.010460520693403513,0.010460463948947493,0.010460473046751064,0.010460463948947493,0.010460473047349267,0.010460524181891442,0.010460473046152862,0.010460520693403513,0.010460473046152862,0.010460463948947493,0.010460473046152862,0.010460463948947493,0.010460520693403513,0.010460471731555655,0.010460463948947493,0.010460463948947493,0.010460520693403513,0.010460463948947493,0.010460471731555655,0.010460463948947493,0.010460482157022373,0.010460463948947493,0.010460463948947493,0.010460524181891442,0.010460520694001704,0.01046048564550973,0.010460468937766884,0.010460473046152862,0.010460520694001704,0.010460535399326424,0.010460473046152862,0.010460468937766884,0.010460463948947493,0.010460468937766884,0.010460463948947493,0.010460471319795609,0.010460471319795609,0.01046044787506678,0.01046048564550973,0.010460463948947493,0.010460473046152862,0.010460468729134476,0.010460463948947493,0.010460535399326424,0.010460463948947493,0.010460463948947493,0.01046047760158771,0.010460450197121298,0.010460463948947493,0.010460463948947493,0.010460520693403513,0.010460498879088157,0.010460471731555655,0.010460520693403513,0.010460463948947493,0.010460400226919315,0.010460520693403513,0.010460500351433482,0.010460400226919315,0.010460463948947493,0.010460460460460458,0.010460463948947493,0.010460400226919315,0.010460456971375218,0.010460463948947493,0.010460471731555655
0.03138138138138138,0.015690702690335335,0.01569073354804068,0.015690755627442238,0.015690702690335335,0.01569073354804068,0.015690694257152953,0.015690760494958208,0.015690702690335335,0.015690661996354816,0.015690661996354816,0.015690706601072454,0.015690694257152953,0.015690694256356188,0.015690702690335335,0.015690703016875595,0.01569073354804068,0.015690694256356188,0.01569076049575496,0.015690694256356188,0.01569070547105437,0.01569072511445974,0.015690760494958208,0.015690702690534526,0.015690694256356188,0.015690786485148725,0.015690703016875595,0.015690642965026227,0.01569069782281851,0.015690760494958208,0.015690702690335335,0.01569069425655538,0.015690702690335335,0.01569069425675457,0.01569069782281851,0.015690702690335335,0.0156907384151586,0.015690702690335335,0.01569073354804068,0.015690690690690685,0.015690702690335335,0.01569072511445974,0.015690760494958208,0.01569072511445974,0.015690702690335335,0.015690702690335335,0.01569073354804068,0.015690760494958208,0.015690755627442238,0.01569073354804068,0.015690694256356188,0.015690760494958208,0.015690702690335335,0.015690755627442238,0.0156907384151586,0.015690698397141076,0.01569066147921121,0.015690702690335335,0.015690702690335335,0.015690702690335335,0.015690698749098318,0.015690675313828326,0.015690690690690685,0.015690690690690685,0.015690690690690685,0.01569073354804068,0.015690706601321443,0.015690702690335335,0.015690675313828326,0.015690702690335335,0.01569069782281851,0.01569072511445974,0.01569069425655538,0.015690694256356188,0.01569072511445974,0.01569069425675457,0.01569069782281851,0.01569073354804068,0.015690690690690685,0.0156907384151586,0.015690702690335335,0.015690769272466102,0.01569076927286448,0.01569073354804068,0.015690674780060403,0.015690760494958208,0.01569068355836378,0.015690690690690685,0.01569073354804068,0.01569073354804068,0.015690690690690685,0.015690703123416475,0.015690694257152953,0.015690690690690685,0.015690674780060403,0.01569072511445974,0.015690702690335335,0.015690690690690685,0.015690760494559836,0.01569073354804068,0.015690755627442238
0.04184184184184184,0.020920914400158957,0.020920953352294134,0.020920957647417766,0.020920920920920915,0.020920953352294134,0.020920913633341025,0.020920916798106228,0.020920910370106433,0.02092089568994221,0.02092089568994221,0.020920929901217532,0.020920913633341025,0.020920968892197415,0.020920915583500278,0.020920906683685004,0.020920935157858464,0.020920968892197415,0.020920920920920915,0.020920935157858464,0.020920935157858464,0.020920935157858464,0.020920916798106228,0.020920953352294134,0.020920968892197415,0.020920957647417766,0.020920906683685004,0.020920982791509456,0.020920935157858464,0.020920916798106228,0.020920935157858464,0.02092092456456165,0.020920920920920915,0.020920884194125702,0.02092092456456165,0.02092091727728018,0.020920935157858464,0.020920897953810302,0.020920920920920915,0.02092093515726152,0.020920935157858464,0.020920928899558437,0.020920916798106228,0.020920928899558437,0.020920920920920915,0.020920953352294134,0.02092090869707361,0.020920916798106228,0.02092092456456165,0.020920935157858464,0.020920968892197415,0.020920916798106228,0.020920920920920915,0.020920957647417766,0.020920935157858464,0.020920935157858464,0.02092092456456165,0.020920920920920915,0.020920935157858464,0.020920897953810302,0.020920932383065576,0.020920953352294134,0.020920957647417766,0.020920884194125702,0.020920935157858464,0.020920953352294134,0.020920920920920915,0.020920920920920915,0.020920953352294134,0.020920920920920915,0.02092092456456165,0.020920935157858464,0.02092092456456165,0.020920968892197415,0.020920953352294134,0.020920968892197415,0.020920939452982092,0.020920935157858464,0.020920935157858464,0.020920935157858464,0.020920920920920915,0.020920928208202443,0.020920957647417766,0.020920935157858464,0.020920920920920915,0.020920916798106228,0.020920939452982092,0.020921034720284084,0.02092092456456165,0.020920935157858464,0.020920957647716235,0.020920928208500913,0.020920953352294134,0.020920957647716235,0.020920920920920915,0.020920953352294134,0.02092092456456165,0.020920957647716235,0.02092092456486012,0.020920920920920915,0.020920957647417766
0.052302302302302296,0.02615115115138967,0.026151175996006516,0.02615116355944092,0.02615116355944092,0.026151175996006516,0.026151154872368732,0.0261511594626919,0.02615116355944092,0.026151209448593823,0.026151209448593823,0.026151151151151145,0.026151154872368732,0.026151176370782642,0.026151162314804074,0.02615116355944092,0.02615121316981228,0.026151176370782642,0.02615122310199689,0.026151186302491313,0.02615116355944092,0.026151162314804074,0.0261511594626919,0.026151127993773737,0.026151176370782642,0.026151223101519853,0.02615116355944092,0.02615116355944092,0.026151154872368732,0.0261511594626919,0.026151141177666915,0.02615120035846946,0.02615116355944092,0.026151154872368732,0.026151151151151145,0.02615115933108201,0.02615115115091262,0.026151161124635374,0.0261511594265631,0.026151154872368732,0.026151141177666915,0.02615120035846946,0.0261511594626919,0.02615120035846946,0.02615116355944092,0.026151186705543093,0.0261511594265631,0.0261511594626919,0.026151157580221004,0.02615121316981228,0.026151176370782642,0.0261511594626919,0.02615116355944092,0.02615116355944092,0.02615115115091262,0.026151186302491313,0.026151151151151145,0.02615116355944092,0.026151141177666915,0.02615115115138967,0.026151151151151145,0.026151186705543093,0.026151154872368732,0.026151154872368732,0.026151154872368732,0.026151175996006516,0.026151175172521315,0.02615116355944092,0.026151186705543093,0.02615116355944092,0.026151154872368732,0.026151162314804074,0.02615120035846946,0.026151176370782642,0.026151167280658746,0.026151176370782642,0.026151151151151145,0.02615121316981228,0.026151154872368732,0.02615115115091262,0.02615116355944092,0.026151141000863545,0.02615116355944092,0.02615121316981228,0.0261511594265631,0.0261511594626919,0.026151165621456293,0.026151154872368732,0.026151204079687834,0.02615121316981228,0.02615116355944092,0.02615115115091262,0.026151186705543093,0.02615116355944092,0.0261511594265631,0.026151172649564736,0.02615116686899869,0.02615116355944092,0.02615114724972082,0.0261511594265631,0.026151154872368732
0.06276276276276276,0.031381409827947744,0.03138142271332444,0.03138139542165865,0.03138137135177592,0.03138142271332444,0.031381355921432055,0.03138137115380877,0.03138139542165865,0.03138139542165865,0.03138139542165865,0.031381392777764854,0.031381355921432055,0.031381392505184805,0.03138138138138137,0.03138145000499022,0.03138139542165865,0.03138137378359399,0.03138139542165865,0.031381439580501505,0.03138139542165865,0.03138138518012617,0.03138137115380877,0.03138136734120348,0.03138137378359399,0.03138146687216729,0.031381439580501505,0.03138138518017581,0.03138139542165865,0.03138137115380877,0.03138139542165865,0.031381409827947744,0.03138137135177592,0.03138144356230188,0.03138138138138137,0.03138137428882365,0.03138139542165865,0.03138142271332444,0.03138133968371292,0.03138144356230188,0.03138139542165865,0.03138138518017581,0.03138137115380877,0.03138138518017581,0.03138137135177592,0.031381422713523,0.03138133968371292,0.03138137115380877,0.031381377582388376,0.03138139542165865,0.031381392505184805,0.03138137115380877,0.03138137135177592,0.03138139542165865,0.03138139542165865,0.031381439580501505,0.031381409827947744,0.03138137135177592,0.03138139542165865,0.03138143313781316,0.03138139542165865,0.03138140981280918,0.03138144356230188,0.03138144356230188,0.03138138518017581,0.03138142271332444,0.03138135225862599,0.03138137135177592,0.03138140981280918,0.03138137135177592,0.03138138518017581,0.03138138518012617,0.031381409827947744,0.03138137378359399,0.03138139542160901,0.031381340049239856,0.03138139542165865,0.03138139542165865,0.03138138518017581,0.03138139542165865,0.03138137135177592,0.03138138518017581,0.03138144356230188,0.03138139542165865,0.03138135225862599,0.03138137115380877,0.03138139542165865,0.03138138518017581,0.03138137135177592,0.03138139542165865,0.03138144356230188,0.031381385180374366,0.03138138897916886,0.03138144356230188,0.03138135225862599,0.031381392777764854,0.03138133968371292,0.03138144356230188,0.03138138518017581,0.03138133968371292,0.03138138518017581
0.07322322322322322,0.0366116077350703,0.03661169056138664,0.03661162858135722,0.0366116350274768,0.03661169056138664,0.03661164368816439,0.036611670883010865,0.0366116077350703,0.03661165872110579,0.03661165872110579,0.0366116154879829,0.03661164368816439,0.03661163152625932,0.036611611611611604,0.03661159412622567,0.036611619364354246,0.03661164368816439,0.036611596342058364,0.03661162688082495,0.03661160385869907,0.0366116154879829,0.036611670883010865,0.03661160773515531,0.03661164368816439,0.03661168304491594,0.03661159412622567,0.036611619480865894,0.036611600643334234,0.036611670883010865,0.0366116587212758,0.03661162688082494,0.0366116350274768,0.03661162858135722,0.036611611611611604,0.03661158871950175,0.03661163152625932,0.036611564501947524,0.036611643013694586,0.03661169520682101,0.0366116587212758,0.03661162688082494,0.036611670883010865,0.03661162688082494,0.0366116350274768,0.03661160385869907,0.03661161967632056,0.036611670883010865,0.03661162858135722,0.036611619364354246,0.03661163152625932,0.036611670883010865,0.0366116350274768,0.03661162858135722,0.03661163152625932,0.03661162688082495,0.0366116154879829,0.0366116350274768,0.0366116587212758,0.0366116077350703,0.03661164368816439,0.03661161967632056,0.03661167839948157,0.03661162470498573,0.03661162688082494,0.03661169056138664,0.03661161967632056,0.0366116350274768,0.03661161967632056,0.0366116350274768,0.036611599655786545,0.0366116154879829,0.03661162688082494,0.03661164368816439,0.0366116154879829,0.03661161548815291,0.03661163904273002,0.036611619364354246,0.03661162688082494,0.03661163152625932,0.0366116350274768,0.03661162882386696,0.036611623409663875,0.036611619364354246,0.03661161967632056,0.036611670883010865,0.0366116154880679,0.036611619364354246,0.036611670883010865,0.036611619364354246,0.03661162688082494,0.03661168304491594,0.03661162688082494,0.03661162688082494,0.03661161967632056,0.03661162657274057,0.03661163450372146,0.03661162688082494,0.03661168304491594,0.036611643013694586,0.03661162858135722
0.08368368368368367,0.04184184579578997,0.04184188150232969,0.041841917218461616,0.04184183239579707,0.04184188150232969,0.041841854386191445,0.04184184184184183,0.04184184579578997,0.04184184579578997,0.04184184579578997,0.041841849749738175,0.041841854386191445,0.04184188150225539,0.04184184579578997,0.041841854386191445,0.04184189077493821,0.04184180218120655,0.04184194038080095,0.04184182929749185,0.041841854386191445,0.04184184579578997,0.04184184184184183,0.04184180613537706,0.04184180218120655,0.04184185438604285,0.041841854386191445,0.04184184184184183,0.04184185438604285,0.04184184184184183,0.04184187754838102,0.04184184975020374,0.04184183239579707,0.041841854386191445,0.04184184579578997,0.04184183102023257,0.04184187754838102,0.041841859012754876,0.04184183102023257,0.04184184579608717,0.04184187754838102,0.04184184579578997,0.04184184184184183,0.04184184579578997,0.04184183239579707,0.04184188150232969,0.04184183102023257,0.04184184184184183,0.04184184184184183,0.04184189077493821,0.04184188150225539,0.04184184184184183,0.04184183239579707,0.041841917218461616,0.04184187754838102,0.04184182929749185,0.04184184579578997,0.04184183239579707,0.04184187754838102,0.041841849749738175,0.041841849749738175,0.04184188150232969,0.04184183788789369,0.04184184579608717,0.04184179904397316,0.04184188150232969,0.04184183102023257,0.04184183239579707,0.04184188150232969,0.04184183239579707,0.04184185043655206,0.04184188150232969,0.04184184975020374,0.04184180218120655,0.04184184579578997,0.04184180218120655,0.04184185438604285,0.04184189077493821,0.04184179904397316,0.04184187754838102,0.04184183239579707,0.04184184184184183,0.04184183788774509,0.04184189077493821,0.04184184184184183,0.04184184184184183,0.041841820204165416,0.04184184184184183,0.04184183239579707,0.04184189077493821,0.04184183788759649,0.041841841841693234,0.041841881502478286,0.04184183788759649,0.04184184184184183,0.04184188150232969,0.04184183102023257,0.04184183788759649,0.041841841841693234,0.04184183102023257,0.04184184184184183
0.09414414414414413,0.04707208576763227,0.04707208576763227,0.04707206460355398,0.04707208576763227,0.04707208576763227,0.04707207207194011,0.04707215200591544,0.04707208576763227,0.04707208576763227,0.04707208576763227,0.04707207610359705,0.04707207207194011,0.04707211140859765,0.04707208610782446,0.04707208576750032,0.04707208576763227,0.04707215200591544,0.04707208576763227,0.04707210140436981,0.04707208576750032,0.04707208996925366,0.04707215200591544,0.04707209496662004,0.04707215200591544,0.047072072072072056,0.047072042739641495,0.04707215200591544,0.04707208219015559,0.04707215200591544,0.0470720583763795,0.04707211140859765,0.04707208576763227,0.04707206015441265,0.04707209980338522,0.047072058376577415,0.047072126705142624,0.04707208576776421,0.04707208576763227,0.047072042739509545,0.0470720583763795,0.04707211140859765,0.04707215200591544,0.04707211140859765,0.04707208576763227,0.04707208576763227,0.04707208576763227,0.04707215200591544,0.04707211544012323,0.04707208576763227,0.04707211140859765,0.04707215200591544,0.04707208576763227,0.04707206460355398,0.047072126705142624,0.04707210140436981,0.04707208610782446,0.04707208576763227,0.0470720583763795,0.04707205837664339,0.04707208576763227,0.04707208576763227,0.04707206296467202,0.04707207207194011,0.04707211544012323,0.04707208576763227,0.04707208576763227,0.04707208576763227,0.04707208576763227,0.04707208576763227,0.04707209980338522,0.04707211544012323,0.04707211140859765,0.04707215200591544,0.04707208610782446,0.04707208576763227,0.04707208576763227,0.04707208576763227,0.04707211544012323,0.047072126705142624,0.04707208576763227,0.04707208576763227,0.047072072072072056,0.04707208576763227,0.04707208576763227,0.04707215200591544,0.04707207610359705,0.0470721776468818,0.04707208576763227,0.04707208576763227,0.047072072072204,0.04707210140450174,0.0470720801351221,0.047072072072204,0.04707208576763227,0.04707207610359705,0.047072085767566295,0.047072072072204,0.047072072072072056,0.04707208576763227,0.04707206296454008
