# lambda,sigma
1.796797e+00,5.689176e+01
1.800801e+00,5.714153e+01
1.804805e+00,5.703825e+01
1.808809e+00,5.728906e+01
1.812813e+00,5.758674e+01
1.816817e+00,5.649908e+01
1.820821e+00,5.649403e+01
1.824825e+00,5.658128e+01
1.828829e+00,5.698023e+01
1.832833e+00,5.701006e+01
1.836837e+00,5.703600e+01
1.840841e+00,5.753075e+01
1.844845e+00,5.781167e+01
1.848849e+00,5.801508e+01
1.852853e+00,5.811154e+01
1.856857e+00,5.812186e+01
1.860861e+00,5.840674e+01
1.864865e+00,5.806951e+01
1.868869e+00,5.751573e+01
1.872873e+00,5.740528e+01
1.876877e+00,5.795481e+01
1.880881e+00,5.850237e+01
1.884885e+00,5.905052e+01
1.888889e+00,5.926158e+01
1.892893e+00,5.943681e+01
1.896897e+00,5.982146e+01
1.900901e+00,6.033948e+01
1.904905e+00,6.088642e+01
1.908909e+00,6.116609e+01
1.912913e+00,6.135649e+01
1.916917e+00,6.170560e+01
1.920921e+00,6.203119e+01
1.924925e+00,6.202391e+01
1.928929e+00,6.239177e+01
1.932933e+00,6.233841e+01
1.936937e+00,6.176107e+01
1.940941e+00,6.184878e+01
1.944945e+00,6.207743e+01
1.948949e+00,6.231831e+01
1.952953e+00,6.228970e+01
1.956957e+00,6.214444e+01
1.960961e+00,6.172001e+01
1.964965e+00,6.150071e+01
1.968969e+00,6.173943e+01
1.972973e+00,6.155195e+01
1.976977e+00,6.072147e+01
1.980981e+00,5.966340e+01
1.984985e+00,5.953280e+01
1.988989e+00,5.995248e+01
1.992993e+00,5.958562e+01
1.996997e+00,5.914402e+01
2.001001e+00,5.931888e+01
2.005005e+00,5.940897e+01
2.009009e+00,5.935117e+01
2.013013e+00,5.954640e+01
2.017017e+00,5.925039e+01
2.021021e+00,5.952021e+01
2.025025e+00,5.964373e+01
2.029029e+00,5.929141e+01
2.033033e+00,5.927097e+01
2.037037e+00,5.957847e+01
2.041041e+00,5.982006e+01
2.045045e+00,5.989683e+01
2.049049e+00,6.036316e+01
2.053053e+00,6.075287e+01
2.057057e+00,6.099859e+01
2.061061e+00,6.145919e+01
2.065065e+00,6.157720e+01
2.069069e+00,6.194157e+01
2.073073e+00,6.209594e+01
2.077077e+00,6.209839e+01
2.081081e+00,6.237174e+01
2.085085e+00,6.239234e+01
2.089089e+00,6.277937e+01
2.093093e+00,6.276417e+01
2.097097e+00,6.291664e+01
2.101101e+00,6.240382e+01
2.105105e+00,6.250248e+01
2.109109e+00,6.270261e+01
2.113113e+00,6.247636e+01
2.117117e+00,6.229474e+01
2.121121e+00,6.225721e+01
2.125125e+00,6.217528e+01
2.129129e+00,6.147952e+01
2.133133e+00,6.089565e+01
2.137137e+00,6.071897e+01
2.141141e+00,6.062387e+01
2.145145e+00,6.097161e+01
2.149149e+00,6.136038e+01
2.153153e+00,6.169460e+01
2.157157e+00,6.200281e+01
2.161161e+00,6.146537e+01
2.165165e+00,6.124773e+01
2.169169e+00,6.119933e+01
2.173173e+00,6.159028e+01
2.177177e+00,6.173582e+01
2.181181e+00,6.177172e+01
2.185185e+00,6.188500e+01
2.189189e+00,6.219884e+01
2.193193e+00,6.186347e+01
2.197197e+00,6.197463e+01
2.201201e+00,6.180109e+01
2.205205e+00,6.193430e+01
2.209209e+00,6.158918e+01
2.213213e+00,6.138826e+01
2.217217e+00,6.162355e+01
2.221221e+00,6.189012e+01
2.225225e+00,6.133405e+01
2.229229e+00,6.153226e+01
2.233233e+00,6.186530e+01
2.237237e+00,6.144113e+01
