# lambda,sigma
4.487487e+00,1.034833e+02
4.491491e+00,1.038013e+02
4.495495e+00,1.040710e+02
4.499499e+00,1.041797e+02
4.503504e+00,1.044935e+02
4.507508e+00,1.048137e+02
4.511512e+00,1.051041e+02
4.515516e+00,1.052718e+02
4.519520e+00,1.055821e+02
4.523524e+00,1.059058e+02
4.527528e+00,1.062337e+02
4.531532e+00,1.065253e+02
4.535536e+00,1.067558e+02
4.539540e+00,1.070873e+02
4.543544e+00,1.074197e+02
4.547548e+00,1.076875e+02
4.551552e+00,1.079104e+02
4.555556e+00,1.082485e+02
4.559560e+00,1.085843e+02
4.563564e+00,1.089190e+02
4.567568e+00,1.092234e+02
4.571572e+00,1.093825e+02
4.575576e+00,1.097134e+02
4.579580e+00,1.099049e+02
4.583584e+00,1.098846e+02
4.587588e+00,1.101878e+02
4.591592e+00,1.105349e+02
4.595596e+00,1.108850e+02
4.599600e+00,1.111108e+02
4.603604e+00,1.113923e+02
4.607608e+00,1.116072e+02
4.611612e+00,1.118300e+02
4.615616e+00,1.120720e+02
4.619620e+00,1.124269e+02
4.623624e+00,1.127330e+02
4.627628e+00,1.129880e+02
4.631632e+00,1.133487e+02
4.635636e+00,1.137097e+02
4.639640e+00,1.140493e+02
4.643644e+00,1.142744e+02
4.647648e+00,1.146354e+02
4.651652e+00,1.150042e+02
4.655656e+00,1.153737e+02
4.659660e+00,1.157460e+02
4.663664e+00,1.161146e+02
4.667668e+00,1.163183e+02
4.671672e+00,1.166467e+02
4.675676e+00,1.170257e+02
4.679680e+00,1.174065e+02
4.683684e+00,1.177881e+02
4.687688e+00,1.181723e+02
4.691692e+00,1.185588e+02
4.695696e+00,1.189473e+02
4.699700e+00,1.193367e+02
4.703704e+00,1.197277e+02
4.707708e+00,1.201202e+02
4.711712e+00,1.205168e+02
4.715716e+00,1.209152e+02
4.719720e+00,1.213137e+02
4.723724e+00,1.217135e+02
4.727728e+00,1.221154e+02
4.731732e+00,1.225214e+02
4.735736e+00,1.229303e+02
4.739740e+00,1.233393e+02
4.743744e+00,1.237496e+02
4.747748e+00,1.241630e+02
4.751752e+00,1.245787e+02
4.755756e+00,1.249962e+02
4.759760e+00,1.254159e+02
4.763764e+00,1.258412e+02
4.767768e+00,1.262652e+02
4.771772e+00,1.266902e+02
4.775776e+00,1.271183e+02
4.779780e+00,1.275500e+02
4.783784e+00,1.279838e+02
4.787788e+00,1.284188e+02
4.791792e+00,1.288548e+02
4.795796e+00,1.292953e+02
4.799800e+00,1.297403e+02
4.803804e+00,1.301852e+02
4.807808e+00,1.306172e+02
4.811812e+00,1.309510e+02
4.815816e+00,1.313799e+02
4.819820e+00,1.318342e+02
4.823824e+00,1.322897e+02
4.827828e+00,1.327479e+02
4.831832e+00,1.332107e+02
4.835836e+00,1.336757e+02
4.839840e+00,1.341025e+02
4.843844e+00,1.343717e+02
4.847848e+00,1.348263e+02
4.851852e+00,1.353004e+02
4.855856e+00,1.357746e+02
4.859860e+00,1.362527e+02
4.863864e+00,1.367342e+02
4.867868e+00,1.372197e+02
4.871872e+00,1.377080e+02
4.875876e+00,1.381964e+02
4.879880e+00,1.386879e+02
4.883884e+00,1.391832e+02
4.887888e+00,1.396801e+02
4.891892e+00,1.401814e+02
4.895896e+00,1.406854e+02
4.899900e+00,1.411910e+02
4.903904e+00,1.416994e+02
4.907908e+00,1.422094e+02
4.911912e+00,1.427216e+02
4.915916e+00,1.432367e+02
4.919920e+00,1.437562e+02
4.923924e+00,1.442788e+02
4.927928e+00,1.448043e+02
4.931932e+00,1.453323e+02
4.935936e+00,1.458642e+02
4.939940e+00,1.463962e+02
4.943944e+00,1.469295e+02
4.947948e+00,1.474651e+02
4.951952e+00,1.480004e+02
4.955956e+00,1.483125e+02
4.959960e+00,1.487297e+02
4.963964e+00,1.492776e+02
4.967968e+00,1.498290e+02
4.971972e+00,1.503855e+02
4.975976e+00,1.509451e+02
4.979980e+00,1.515095e+02
4.983984e+00,1.520781e+02
4.987988e+00,1.526504e+02
4.991992e+00,1.532253e+02
4.995996e+00,1.538038e+02
5.000000e+00,1.543861e+02
