f,R_opt,n_opt,F_min,tension
1.59,28.5,0,-8.09834,1.59014
1.6,28.56,0,-8.38363,1.59998
1.61,28.62,0,-8.66954,1.6099
1.62,28.68,0,-8.95604,1.6199
1.63,28.74,0,-9.24315,1.62999
1.64,28.8,0,-9.53084,1.64016
1.65,28.86,0,-9.81912,1.65042
1.66,28.92,0,-10.108,1.66076
1.67,28.98,0,-10.3974,1.67119
1.68,29.04,0,-10.6874,1.6817
1.69,29.08,0,-10.978,1.68876
1.7,29.14,0,-11.2692,1.69942
1.71,29.2,0,-11.5609,1.71018
1.72,29.26,0,-11.8532,1.72102
1.73,29.3,0,-12.146,1.7283
1.74,29.36,0,-12.4394,1.7393
1.75,29.42,0,-12.7333,1.7504
1.76,29.48,0,-13.0277,1.76159
1.77,29.52,0,-13.3227,1.7691
1.78,29.58,0,-13.6182,1.78045
1.79,29.64,0,-13.9142,1.7919
1.8,29.68,0,-14.2108,1.79959
1.81,29.74,0,-14.5079,1.8112
1.82,29.78,0,-14.8055,1.819
1.83,29.84,0,-15.1036,1.83079
1.84,29.88,0,-15.4022,1.8387
1.85,29.94,0,-15.7013,1.85066
1.86,29.98,0,-16.0009,1.85869
1.87,30.04,0,-16.301,1.87083
1.88,30.08,0,-16.6016,1.87898
1.89,30.14,0,-16.9027,1.8913
1.9,30.18,0,-17.2043,1.89957
1.91,30.24,0,-17.5064,1.91207
1.92,30.28,0,-17.8089,1.92047
1.93,30.32,0,-18.1119,1.92891
1.94,30.38,0,-18.4154,1.94168
1.95,30.42,0,-18.7194,1.95025
1.96,30.46,0,-19.0238,1.95888
1.97,30.52,0,-19.3287,1.97192
1.98,30.56,0,-19.634,1.98068
1.99,30.6,0,-19.9398,1.98949
2,30.64,0,-20.2461,1.99835
2.01,30.7,0,-20.5528,2.01175
2.02,30.74,0,-20.8599,2.02075
2.03,30.78,0,-21.1675,2.02981
2.04,30.82,0,-21.4755,2.03892
2.05,30.86,0,-21.784,2.04809
2.06,30.92,0,-22.0929,2.06195
2.07,30.96,0,-22.4022,2.07126
2.08,31,0,-22.712,2.08063
2.09,31.04,0,-23.0222,2.09005
2.1,31.08,0,-23.3328,2.09954
2.11,31.12,0,-23.6438,2.10909
2.12,31.16,0,-23.9553,2.11869
2.13,31.2,0,-24.2671,2.12836
2.14,31.24,0,-24.5794,2.13808
2.15,31.28,0,-24.8921,2.14787
2.16,31.32,0,-25.2052,2.15772
2.17,31.36,0,-25.5186,2.16764
2.18,31.4,0,-25.8325,2.17761
2.19,31.44,0,-26.1468,2.18765
2.2,31.48,0,-26.4615,2.19776
2.21,31.52,0,-26.7766,2.20793
2.22,31.56,0,-27.0921,2.21816
2.23,31.6,0,-27.408,2.22846
2.24,31.64,0,-27.7242,2.23883
2.25,31.68,0,-28.0409,2.24926
2.26,31.72,0,-28.3579,2.25976
2.27,31.76,0,-28.6753,2.27033
2.28,31.8,0,-28.993,2.28097
2.29,31.84,0,-29.3112,2.29168
2.3,31.88,0,-29.6297,2.30246
2.31,31.9,0,-29.9486,2.30787
2.32,31.94,0,-30.2679,2.31876
2.33,31.98,0,-30.5875,2.32971
2.34,32.02,0,-30.9075,2.34074
2.35,32.06,0,-31.2278,2.35184
2.36,32.08,0,-31.5486,2.35742
2.37,32.12,0,-31.8696,2.36863
2.38,32.16,0,-32.1911,2.37992
2.39,32.2,0,-32.5128,2.39128
2.4,32.24,0,-32.835,2.40272
2.41,32.26,0,-33.1574,2.40847
2.42,32.3,0,-33.4803,2.42002
2.43,32.34,0,-33.8034,2.43165
2.44,32.36,0,-34.1269,2.4375
2.45,32.4,0,-34.4508,2.44924
2.46,32.44,0,-34.775,2.46107
2.47,32.48,0,-35.0995,2.47298
2.48,32.5,0,-35.4244,2.47896
2.49,32.54,0,-35.7496,2.49099
2.5,32.56,0,-36.0751,2.49704
2.51,32.6,0,-36.401,2.50919
2.52,32.64,0,-36.7272,2.52143
2.53,32.66,0,-37.0537,2.52758
2.54,32.7,0,-37.3806,2.53994
2.55,32.74,0,-37.7077,2.55239
2.56,32.76,0,-38.0352,2.55864
2.57,32.8,0,-38.363,2.57122
2.58,32.82,0,-38.6911,2.57754
2.59,32.86,0,-39.0196,2.59025
2.6,32.9,0,-39.3483,2.60304
2.61,32.92,0,-39.6774,2.60948
2.62,32.96,0,-40.0067,2.62241
2.63,32.98,0,-40.3364,2.6289
2.64,33.02,0,-40.6664,2.64197
2.65,33.04,0,-40.9967,2.64854
2.66,33.08,0,-41.3273,2.66174
2.67,33.1,0,-41.6582,2.66838
2.68,33.14,0,-41.9894,2.68172
2.69,33.16,0,-42.3209,2.68843
2.7,33.2,0,-42.6527,2.70192
2.71,33.22,0,-42.9848,2.70869
2.72,33.26,0,-43.3171,2.72232
2.73,33.28,0,-43.6498,2.72918
2.74,33.32,0,-43.9828,2.74295
2.75,33.34,0,-44.3161,2.74988
2.76,33.36,0,-44.6496,2.75683
2.77,33.4,0,-44.9834,2.7708
2.78,33.42,0,-45.3176,2.77782
2.79,33.46,0,-45.652,2.79195
2.8,33.48,0,-45.9867,2.79905
2.81,33.52,0,-46.3216,2.81333
2.82,33.54,0,-46.6569,2.82051
2.83,33.56,0,-46.9924,2.82771
2.84,33.6,0,-47.3282,2.8422
2.85,33.62,0,-47.6643,2.84948
2.86,33.64,0,-48.0006,2.85679
2.87,33.68,0,-48.3372,2.87148
2.88,33.7,0,-48.6741,2.87887
2.89,33.72,0,-49.0113,2.88629
2.9,33.76,0,-49.3487,2.9012
2.91,33.78,0,-49.6864,2.9087
2.92,33.8,0,-50.0244,2.91623
2.93,33.84,0,-50.3626,2.93136
2.94,33.86,0,-50.7011,2.93897
2.95,33.88,0,-51.0399,2.94661
2.96,33.92,0,-51.3789,2.96197
2.97,33.94,0,-51.7182,2.96969
2.98,33.96,0,-52.0577,2.97744
2.99,34,0,-52.3975,2.99303
3,34.02,0,-52.7376,3.00087
3.01,34.04,0,-53.0779,3.00874
3.02,34.06,0,-53.4184,3.01663
3.03,34.1,0,-53.7592,3.03251
3.04,34.12,0,-54.1003,3.0405
3.05,34.14,0,-54.4416,3.04852
3.06,34.16,0,-54.7832,3.05656
3.07,34.2,0,-55.125,3.07274
3.08,34.22,0,-55.467,3.08088
3.09,34.24,0,-55.8093,3.08905
3.1,34.26,0,-56.1519,3.09725
3.11,34.3,0,-56.4947,3.11374
3.12,34.32,0,-56.8377,3.12203
3.13,34.34,0,-57.181,3.13036
3.14,34.36,0,-57.5245,3.13871
3.15,34.38,0,-57.8682,3.1471
3.16,34.42,0,-58.2122,3.16397
3.17,34.44,0,-58.5565,3.17246
3.18,34.46,0,-58.9009,3.18097
3.19,34.48,0,-59.2456,3.18952
3.2,34.5,0,-59.5905,3.1981
3.21,34.52,0,-59.9357,3.20672
3.22,34.56,0,-60.2811,3.22405
3.23,34.58,0,-60.6267,3.23277
3.24,34.6,0,-60.9726,3.24152
3.25,34.62,0,-61.3186,3.2503
3.26,34.64,0,-61.665,3.25912
3.27,34.66,0,-62.0115,3.26797
3.28,34.68,0,-62.3582,3.27686
3.29,34.7,0,-62.7052,3.28578
3.3,34.74,0,-63.0524,3.30372
3.31,34.76,0,-63.3999,3.31275
3.32,34.78,0,-63.7475,3.32181
3.33,34.8,0,-64.0954,3.33091
3.34,34.82,0,-64.4435,3.34004
3.35,34.84,0,-64.7918,3.34921
3.36,34.86,0,-65.1403,3.35841
3.37,34.88,0,-65.489,3.36765
3.38,34.9,0,-65.838,3.37693
3.39,34.92,0,-66.1872,3.38624
3.4,34.94,0,-66.5365,3.39559
3.41,34.98,0,-66.8861,3.41441
3.42,35,0,-67.236,3.42387
3.43,35.02,0,-67.586,3.43337
3.44,35.04,0,-67.9362,3.44291
3.45,35.06,0,-68.2867,3.45249
3.46,35.08,0,-68.6373,3.4621
3.47,35.1,0,-68.9882,3.47175
3.48,35.12,0,-69.3393,3.48145
3.49,35.14,0,-69.6905,3.49118
3.5,35.16,0,-70.042,3.50095
3.51,35.18,0,-70.3937,3.51076
3.52,35.2,0,-70.7456,3.52061
3.53,35.22,0,-71.0977,3.5305
3.54,35.24,0,-71.45,3.54042
3.55,35.26,0,-71.8025,3.55039
3.56,35.28,0,-72.1551,3.5604
3.57,35.3,0,-72.508,3.57045
3.58,35.32,0,-72.8611,3.58054
3.59,35.34,0,-73.2144,3.59067
3.6,35.36,0,-73.5679,3.60085
3.61,35.38,0,-73.9216,3.61106
3.62,35.4,0,-74.2755,3.62132
3.63,35.42,0,-74.6295,3.63162
3.64,35.44,0,-74.9838,3.64196
3.65,35.46,0,-75.3382,3.65234
3.66,35.48,0,-75.6929,3.66277
3.67,35.5,0,-76.0477,3.67324
3.68,35.52,0,-76.4028,3.68375
3.69,35.54,0,-76.758,3.6943
3.7,35.56,0,-77.1134,3.7049
3.71,35.56,0,-77.469,3.7049
3.72,35.58,0,-77.8248,3.71555
3.73,35.6,0,-78.1808,3.72623
3.74,35.62,0,-78.5369,3.73697
3.75,35.64,0,-78.8933,3.74774
3.76,35.66,0,-79.2498,3.75856
3.77,35.68,0,-79.6065,3.76943
3.78,35.7,0,-79.9635,3.78034
3.79,35.72,0,-80.3205,3.7913
3.8,35.74,0,-80.6778,3.8023
3.81,35.76,0,-81.0352,3.81335
3.82,35.78,0,-81.3929,3.82445
3.83,35.78,0,-81.7507,3.82445
3.84,35.8,0,-82.1087,3.83559
3.85,35.82,0,-82.4668,3.84678
3.86,35.84,0,-82.8252,3.85801
3.87,35.86,0,-83.1837,3.8693
3.88,35.88,0,-83.5424,3.88063
3.89,35.9,0,-83.9013,3.89201
3.9,35.92,0,-84.2603,3.90344
3.91,35.94,0,-84.6196,3.91491
3.92,35.94,0,-84.979,3.91491
3.93,35.96,0,-85.3385,3.92644
3.94,35.98,0,-85.6983,3.93801
3.95,36,0,-86.0582,3.94964
3.96,36.02,0,-86.4183,3.96131
3.97,36.04,0,-86.7786,3.97303
3.98,36.06,0,-87.139,3.98481
3.99,36.06,0,-87.4996,3.98481
4,36.08,0,-87.8604,3.99663
4.01,36.1,0,-88.2213,4.00851
4.02,36.12,0,-88.5824,4.02043
4.03,36.14,0,-88.9437,4.03241
4.04,36.16,0,-89.3051,4.04444
4.05,36.16,0,-89.6667,4.04444
4.06,36.18,0,-90.0285,4.05652
4.07,36.2,0,-90.3905,4.06866
4.08,36.22,0,-90.7526,4.08084
4.09,36.24,0,-91.1148,4.09308
4.1,36.26,0,-91.4773,4.10537
4.11,36.26,0,-91.8399,4.10537
4.12,36.28,0,-92.2026,4.11772
4.13,36.3,0,-92.5656,4.13012
4.14,36.32,0,-92.9286,4.14257
4.15,36.34,0,-93.2918,4.15508
4.16,36.34,0,-93.6552,4.15508
4.17,36.36,0,-94.0188,4.16765
4.18,36.38,0,-94.3825,4.18027
4.19,36.4,0,-94.7464,4.19294
4.2,36.52,0.005,-95.1109,4.1998
4.21,36.54,0.005,-95.4761,4.21253
4.22,36.56,0.005,-95.8416,4.2253
4.23,36.56,0.005,-96.2072,4.2253
4.24,36.58,0.005,-96.5729,4.23814
4.25,36.6,0.005,-96.9388,4.25103
4.26,36.62,0.005,-97.3049,4.26398
4.27,36.62,0.005,-97.6711,4.26398
4.28,36.64,0.005,-98.0375,4.27698
4.29,36.66,0.005,-98.404,4.29004
4.3,36.78,0.01,-98.7717,4.29682
4.31,36.8,0.01,-99.1396,4.30993
4.32,36.82,0.01,-99.5077,4.3231
4.33,36.84,0.01,-99.8759,4.33633
4.34,36.84,0.01,-100.244,4.33633
4.35,36.86,0.01,-100.613,4.34962
4.36,36.88,0.01,-100.982,4.36296
4.37,36.9,0.01,-101.35,4.37637
4.38,36.9,0.01,-101.719,4.37637
4.39,37.04,0.015,-102.089,4.39652
4.4,37.04,0.015,-102.459,4.39652
4.41,37.06,0.015,-102.83,4.41004
4.42,37.08,0.015,-103.201,4.42361
4.43,37.08,0.015,-103.571,4.42361
4.44,37.1,0.015,-103.942,4.43725
4.45,37.12,0.015,-104.313,4.45095
4.46,37.14,0.015,-104.685,4.46471
4.47,37.14,0.015,-105.056,4.46471
4.48,37.28,0.02,-105.428,4.48512
4.49,37.28,0.02,-105.801,4.48512
4.5,37.3,0.02,-106.174,4.49899
4.51,37.32,0.02,-106.547,4.51293
4.52,37.34,0.02,-106.92,4.52692
4.53,37.34,0.02,-107.293,4.52692
4.54,37.36,0.02,-107.667,4.54098
4.55,37.38,0.02,-108.04,4.55511
4.56,37.38,0.02,-108.414,4.55511
4.57,37.4,0.02,-108.788,4.5693
4.58,37.52,0.025,-109.163,4.57579
4.59,37.54,0.025,-109.538,4.59003
4.6,37.56,0.025,-109.914,4.60434
4.61,58.66,0.975,-110.425,4.60931
4.62,58.68,0.975,-111.012,4.61852
4.63,58.7,0.975,-111.599,4.62775
4.64,58.84,0.98,-112.186,4.64111
4.65,58.86,0.98,-112.775,4.65039
4.66,58.88,0.98,-113.363,4.6597
4.67,58.9,0.98,-113.952,4.66903
4.68,58.92,0.98,-114.542,4.67839
4.69,58.94,0.98,-115.131,4.68778
4.7,58.96,0.98,-115.72,4.6972
4.71,58.98,0.98,-116.31,4.70664
4.72,59,0.98,-116.9,4.71611
4.73,59.14,0.985,-117.491,4.72965
4.74,59.16,0.985,-118.082,4.73917
4.75,59.18,0.985,-118.674,4.74872
4.76,59.2,0.985,-119.266,4.7583
4.77,59.22,0.985,-119.858,4.7679
4.78,59.24,0.985,-120.45,4.77754
4.79,59.26,0.985,-121.043,4.7872
4.8,59.28,0.985,-121.636,4.79689
4.81,59.3,0.985,-122.229,4.80661
4.82,59.32,0.985,-122.822,4.81635
4.83,59.46,0.99,-123.416,4.8301
4.84,59.48,0.99,-124.011,4.8399
4.85,59.5,0.99,-124.606,4.84972
4.86,59.52,0.99,-125.201,4.85958
4.87,59.54,0.99,-125.796,4.86947
4.88,59.56,0.99,-126.392,4.87938
4.89,59.58,0.99,-126.987,4.88933
4.9,59.6,0.99,-127.583,4.8993
4.91,59.62,0.99,-128.179,4.9093
4.92,59.76,0.995,-128.777,4.92323
4.93,59.78,0.995,-129.374,4.93329
4.94,59.8,0.995,-129.972,4.94338
4.95,59.82,0.995,-130.57,4.95349
4.96,59.84,0.995,-131.168,4.96364
4.97,59.86,0.995,-131.767,4.97382
4.98,59.88,0.995,-132.365,4.98402
4.99,59.9,0.995,-132.964,4.99426
5,59.92,0.995,-133.563,5.00453
5.01,60.04,1,-134.163,5.00836
5.02,60.06,1,-134.764,5.01865
5.03,60.08,1,-135.364,5.02897
5.04,60.1,1,-135.965,5.03932
5.05,60.12,1,-136.566,5.04971
5.06,60.14,1,-137.168,5.06013
5.07,60.16,1,-137.769,5.07057
5.08,60.18,1,-138.371,5.08105
5.09,60.2,1,-138.973,5.09156
5.1,60.32,1.005,-139.575,5.09531
5.11,60.34,1.005,-140.178,5.10585
5.12,60.36,1.005,-140.782,5.11641
5.13,60.38,1.005,-141.386,5.12701
5.14,60.4,1.005,-141.99,5.13764
5.15,60.42,1.005,-142.594,5.14831
5.16,60.44,1.005,-143.198,5.159
5.17,60.46,1.005,-143.803,5.16973
5.18,60.48,1.005,-144.407,5.18049
5.19,60.62,1.01,-145.012,5.19494
5.2,60.62,1.01,-145.619,5.19494
5.21,60.64,1.01,-146.225,5.20576
5.22,60.66,1.01,-146.832,5.21661
5.23,60.68,1.01,-147.438,5.22749
5.24,60.7,1.01,-148.045,5.23841
5.25,60.72,1.01,-148.652,5.24936
5.26,60.74,1.01,-149.26,5.26034
5.27,60.76,1.01,-149.867,5.27135
5.28,60.88,1.015,-150.475,5.27494
5.29,60.9,1.015,-151.084,5.28598
5.3,60.92,1.015,-151.693,5.29706
5.31,60.94,1.015,-152.302,5.30816
5.32,60.96,1.015,-152.912,5.31931
5.33,60.98,1.015,-153.522,5.33048
5.34,61,1.015,-154.132,5.34169
5.35,61.02,1.015,-154.742,5.35294
5.36,61.04,1.015,-155.352,5.36422
5.37,61.06,1.015,-155.962,5.37553
5.38,61.18,1.02,-156.574,5.37902
5.39,61.2,1.02,-157.186,5.39036
5.4,61.22,1.02,-157.798,5.40174
5.41,61.24,1.02,-158.41,5.41315
5.42,61.26,1.02,-159.023,5.42459
5.43,61.26,1.02,-159.635,5.42459
5.44,61.28,1.02,-160.248,5.43607
5.45,61.3,1.02,-160.861,5.44759
5.46,61.32,1.02,-161.474,5.45914
5.47,61.46,1.025,-162.088,5.47412
5.48,61.48,1.025,-162.703,5.48573
5.49,61.48,1.025,-163.318,5.48573
5.5,83.22,1.975,-164.117,5.504
5.51,83.24,1.975,-164.95,5.51264
5.52,83.26,1.975,-165.782,5.52131
5.53,83.4,1.98,-166.616,5.53246
5.54,83.42,1.98,-167.45,5.54116
5.55,83.44,1.98,-168.284,5.54988
5.56,83.46,1.98,-169.119,5.55862
5.57,83.48,1.98,-169.953,5.56738
5.58,83.5,1.98,-170.788,5.57616
5.59,83.54,1.98,-171.624,5.59379
5.6,83.56,1.98,-172.459,5.60263
5.61,83.58,1.98,-173.295,5.6115
5.62,83.72,1.985,-174.131,5.62277
5.63,83.74,1.985,-174.969,5.63167
5.64,83.76,1.985,-175.806,5.64059
5.65,83.78,1.985,-176.644,5.64953
5.66,83.8,1.985,-177.482,5.65849
5.67,83.82,1.985,-178.32,5.66747
5.68,83.84,1.985,-179.158,5.67647
5.69,83.86,1.985,-179.997,5.68549
5.7,83.9,1.985,-180.836,5.7036
5.71,84.02,1.99,-181.676,5.70592
5.72,84.06,1.99,-182.516,5.7241
5.73,84.08,1.99,-183.357,5.73322
5.74,84.1,1.99,-184.198,5.74237
5.75,84.12,1.99,-185.039,5.75153
5.76,84.14,1.99,-185.88,5.76072
5.77,84.16,1.99,-186.721,5.76993
5.78,84.18,1.99,-187.563,5.77915
5.79,84.2,1.99,-188.405,5.7884
5.8,84.34,1.995,-189.248,5.79992
