r,r1,r2,r3,r4,n1,n2,n3,n4
0.0,,,,,,,,
0.054693366708385475,0.011865050022472899,0.013098791529011349,0.014242735357908501,0.015486789798992727,0.0,0.0,0.0,0.0
0.10938673341677095,0.02375919371607019,0.026198209737375664,0.028517640276817552,0.03091168968650755,0.0,0.0,0.0,0.0
0.16408010012515642,0.03563914393638127,0.03929711345953874,0.042776960020138914,0.04636688270909751,0.0,0.0,0.0,0.0
0.2187734668335419,0.047544483707559225,0.05236803339922217,0.05705459454891487,0.061806355177845634,0.0,0.0,0.0,0.0
0.27346683354192736,0.0594536326952554,0.06540519794485596,0.07133937577510681,0.07726862712670922,0.0,0.0,0.0,0.0
0.32816020025031284,0.07134383255340454,0.07848586075173365,0.08560738594448615,0.09272312100068851,0.0,0.0,0.0,0.0
0.3828535669586983,0.08323447790037218,0.09156635509538188,0.09987558290677873,0.10817715105616552,0.0,0.0,0.0,0.0
0.4375469336670838,0.09512490293120136,0.10464703277985353,0.11414402810313719,0.12363096985289172,0.0,0.0,0.0,0.0
0.4922403003754693,0.10701586498929203,0.11772699774045618,0.12841254434874527,0.13908489329697576,0.0,0.0,0.0,0.0
0.5469336670838547,0.1189058687300043,0.13080753345363746,0.1426808605610193,0.1545394043391936,0.0,0.0,0.0,0.0
0.6016270337922403,0.1307965280504243,0.14388697856997265,0.1569499912439398,0.16999353592790348,0.0,0.0,0.0,0.0
0.6563204005006257,0.14268670409682754,0.15696718576122953,0.17121778886512218,0.18544872177744648,0.0,0.0,0.0,0.0
0.7110137672090112,0.1545771432029962,0.17004667572755003,0.18548662918822748,0.20090331909023748,0.0,0.0,0.0,0.0
0.7657071339173966,0.1664673204984712,0.18312607766335784,0.19975547793203163,0.2163582578235359,0.0,0.0,0.0,0.0
0.8204005006257822,0.1783578304392857,0.196204671119496,0.21402412870237103,0.23181387036462947,0.0,0.0,0.0,0.0
0.8750938673341676,0.1902479737634796,0.20928362962312066,0.22829279532958927,0.24726946861797813,0.0,0.0,0.0,0.0
0.929787234042553,0.20213838791274058,0.22236165309685552,0.24256144168027244,0.26272575135268456,0.0,0.0,0.0,0.0
0.9844806007509386,0.21402792236820015,0.23543993768478028,0.2568305668268388,0.2781821738711193,0.0,0.0,0.0,0.0
1.039173967459324,0.2259188128758182,0.24851774709399607,0.27109873932781026,0.2936386681616996,0.0,0.0,0.0,0.0
1.0938673341677094,0.2378083677397723,0.261595320776876,0.2853674948708988,0.30909615078016234,0.0,0.0,0.0,0.0
1.148560700876095,0.24969750270980035,0.27467309695580844,0.2996364365111404,0.3245536646993458,0.0,0.0,0.0,0.0
1.2032540675844805,0.2615876919761508,0.2877507922699383,0.3139045950316629,0.3400109883067285,0.0,0.0,0.0,0.0
1.257947434292866,0.2734768186889563,0.30082858437407956,0.328173214207571,0.35546881702225924,0.0,0.0,0.0,0.0
1.3126408010012514,0.28536708094716295,0.3139057195856515,0.3424412345803904,0.3709267658880466,0.0,0.0,0.0,0.0
1.367334167709637,0.29725640850815555,0.3269836701134254,0.3567095950143462,0.3863844940737098,0.0,0.0,0.0,0.0
1.4220275344180224,0.30914602228989063,0.3400607885452502,0.37097764007848033,0.4018430835044011,0.0,0.0,0.0,0.0
1.4767209011264077,0.3210357176697188,0.35313791771086006,0.38524591890920173,0.4173013468366273,0.0,0.0,0.0,0.0
1.5314142678347933,0.3329251805606587,0.36621517728694386,0.3995139676159911,0.4327599423711995,0.0,0.0,0.0,0.0
1.5861076345431788,0.3448148587049222,0.3792928899597826,0.413781000487624,0.44821888539085,0.0,0.0,0.0,0.0
1.6408010012515644,0.3567045140694786,0.3923700066516705,0.4280481362025322,0.4636783443278831,0.0,0.0,0.0,0.0
1.6954943679599497,0.3685936029777507,0.4054474658647443,0.442315127381786,0.47913817173566886,0.0,0.0,0.0,0.0
1.7501877346683352,0.38048260509100734,0.4185248363143724,0.456581690286607,0.4945986029763486,0.0,0.0,0.0,0.0
1.8048811013767208,0.3923712721805441,0.43160219789747784,0.47084798564259295,0.510059645656106,0.0,0.0,0.0,0.0
1.859574468085106,0.4042601317246334,0.4446799648087206,0.48511358377163766,0.5255207877801147,0.0,0.0,0.0,0.0
1.9142678347934916,0.4161485577710676,0.4577583699980682,0.4993793682673554,0.5409815387570004,0.0,0.0,0.0,0.0
1.9689612015018771,0.42803720259449296,0.4708372217791769,0.5136454183294631,0.5564413587987441,0.0,0.0,0.0,0.0
2.0236545682102625,0.4399326859379801,0.48394212361522454,0.5279252619409767,0.5718544967160812,0.0,0.0,0.0,0.0
2.078347934918648,0.45182091120984064,0.49701079711713664,0.5421887504310133,0.5873274761606576,0.0,0.0,0.0,0.0
2.1330413016270335,0.4637084660077885,0.5100827060165444,0.5564523713456934,0.6027977582570073,0.0,0.0,0.0,0.0
2.187734668335419,0.4755967510014595,0.5231576272357489,0.5707169393406016,0.6182633507576086,0.0,0.0,0.0,0.0
2.2424280350438046,0.4874882866879052,0.5362594739488334,0.5849911594979013,0.6336891149091647,0.0,0.0,0.0,0.0
2.29712140175219,0.4993774586570917,0.5493241488336318,0.5992551788474505,0.6491646154140158,0.0,0.0,0.0,0.0
2.3518147684605752,0.5112658770196721,0.5623946633379535,0.613520768593924,0.6646334595090256,0.0,0.0,0.0,0.0
2.406508135168961,0.5231548358429632,0.575470826288375,0.6277861798701238,0.6800962931674991,0.0,0.0,0.0,0.0
2.4612015018773463,0.535043762545162,0.588549320653013,0.6420523388328767,0.6955560798462945,0.0,0.0,0.0,0.0
2.515894868585732,0.5469338146524297,0.6016268175888032,0.6563206262480331,0.711013610096466,0.0,0.0,0.0,0.0
2.5705882352941174,0.5588224046755834,0.614705254182307,0.6705890285601191,0.7264715478761078,0.0,0.0,0.0,0.0
2.6252816020025027,0.570712562033562,0.6277842294118181,0.6848555626159711,0.7419292479411517,0.0,0.0,0.0,0.0
2.6799749687108885,0.5826024841404274,0.6408630128621073,0.6991247870800553,0.7573846846282984,0.0,0.0,0.0,0.0
2.734668335419274,0.5944913567056417,0.6539426601629744,0.7133923041740207,0.7728420143766372,0.0,0.0,0.0,0.0
2.789361702127659,0.6063813866452967,0.6670209043477852,0.7276602553402838,0.7882991557942938,0.0,0.0,0.0,0.0
2.844055068836045,0.6182715488263978,0.6801003488829316,0.7419274034683732,0.8037557676583424,0.0,0.0,0.0,0.0
