sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002754597834182572,0.004523542474491219,0.004176792224221976,0.006103340047864438,0.0037310196077020115,0.01828570889698586,0.007293774194809291,0.0026768788159248673,0.012152261440907973,0.004954137564451873,0.0037768789499892223,0.019531915994218274,0.005620503601239819,0.00328917437903894,0.013562083784665193,0.006428647772795076,0.0030740654939906157,0.002621538412412516,0.0026017618759766837,0.00379032522155969,0.0027773440489320287,0.0040695888933306446,0.005181381017708195,0.0022472755163548954,0.004508347545552895,0.0028672004784633916,0.0030282774951736727,0.004511583378457217,0.006173911035282461,0.003926013367143653,0.004655907336560536,0.009731970187361117,0.004249342731922735,0.005785124089585128,0.004198963158634316,0.004918299150208503,0.0023431132517539675,0.00410329207207767,0.00481377976322162,0.00222322729479956,0.0032097419890332875,0.0027146787707184967,0.002923104563203561,0.0025752800195201347,0.003969082407946335,0.012912501267440308,0.00270181805986576,0.007819615880804171,0.0119931099142187,0.0021102656163112634,0.003801135852913816,0.003806893343253051,0.002963070200480962,0.0036045284985316713,0.006091189726006104,0.005439556812802952,0.0043694294115157115,0.004385730481595535,0.004330669117195303,0.0050551381384725735,0.003787336789721533,0.008965441121816452,0.0020814892782540033,0.0031106472483455787,0.0019922545377806617,0.003769110485766495,0.006248712208715829,0.0031669647447002992,0.0025864710570987458,0.003629571598881655,0.00249679602194122,0.0020960250659909714,0.005679282592402292,0.0028194403410822973,0.01723300102347383,0.0032862132824042567,0.0046241681743282425,0.006834655304711724,0.007840147301626663,0.003031741633828411,0.005439820235513317,0.004336666044902215,0.005232707754880949
0.005514282171840726,0.009060850686044793,0.008365312505028012,0.012231819383739942,0.0074713891256178635,0.03680266975787405,0.01462353656350009,0.005358560412692096,0.024405403855887128,0.009924800572023,0.007563339949570561,0.039328343091892204,0.01126230563912153,0.00658560884371311,0.027250170337802686,0.012885204303925068,0.006154469787996613,0.00524768256749728,0.005208060086864632,0.007590301101310743,0.005559859187786764,0.008150309143036827,0.010380846510749414,0.004497933038890399,0.009030368086709909,0.0057399130558248804,0.0060627058005615015,0.009036859475751157,0.012373549716591851,0.007862383534716352,0.009326401673914337,0.019528325156368622,0.008510826254628958,0.011592819969346763,0.008409779738933896,0.009852884346846509,0.004689903825445391,0.00821790140178882,0.009643157465649043,0.00444976444161836,0.006426396540885614,0.005434297293105813,0.005851938909841006,0.0051550042626822,0.00794875100803695,0.0259390748240103,0.005408529052390615,0.015680639778323714,0.024084444286400716,0.004223512609451053,0.007611977703294379,0.007623522221438766,0.005932028405692372,0.007217781470838599,0.012207418136519358,0.010899055533757203,0.008751698598584365,0.008784397143016522,0.008673950242610997,0.0101274858852428,0.0075843089680708705,0.017985439962588255,0.004165879010376755,0.006227785534946831,0.003987165696988223,0.007547763495500222,0.012523783211095298,0.006340658451595933,0.005177425147520891,0.007267989766178243,0.004997768855252156,0.00419499132271152,0.011380313990716743,0.0056442101661093105,0.03467095840666506,0.006579673541480606,0.009262724233751598,0.013700881604362504,0.01572192206549839,0.006069648200891842,0.010899584321222736,0.00868597920336579,0.01048386194741726
0.008279090583241305,0.013612092202445145,0.012565692570380978,0.018385852214315296,0.011221202278503513,0.05556258539401179,0.021989997426168306,0.0080450792586447,0.03676277764252855,0.014912209523671815,0.011359480240077335,0.059403616322496126,0.016925728960151883,0.009889367494608572,0.041068943339814,0.01937015425897997,0.009241265165644864,0.007878464832559516,0.00781892627044774,0.011400025928178322,0.008347583928766077,0.012242282539763949,0.01559864896656095,0.006751992926538551,0.013566227498171572,0.008618180119803746,0.009103334888950227,0.01357599452616671,0.01859934490724714,0.011809219789380147,0.014011665821475786,0.029390768922607315,0.012784589320753718,0.017423439925903728,0.012632583589623846,0.014803971308981461,0.00704039480622756,0.012343952847718703,0.014488335278745896,0.006679631150870646,0.009650023204383905,0.008158891521845069,0.008786547965765537,0.007739203407741966,0.01193911874275177,0.03908375242918276,0.008120168421843363,0.023583948843356514,0.03627722151951013,0.0063397578278261485,0.011432624687780588,0.011449986224661087,0.008906921417023605,0.01083984338575943,0.018349096949243856,0.016378788608243773,0.013146958485692703,0.01319615261422341,0.013029990296913105,0.015217277599382273,0.011391014590495775,0.027061324654596836,0.006253185363013278,0.009351469040229293,0.005984747647839351,0.011336055668720845,0.01882565778193834,0.009521138310406085,0.007772893352600441,0.010915340752247787,0.007502946449157964,0.0062969152788318545,0.017103427355486395,0.008474349771956931,0.052323625945378496,0.009880444704090354,0.013915847251647637,0.020599262268066965,0.023646208443006335,0.009113769846366637,0.016379584745308158,0.013048087010805943,0.015753722696733394
0.01104906098617266,0.01817743714897259,0.01677806600288896,0.024565861312381105,0.014980553968451975,0.07457790838770822,0.02939388471479363,0.010736470131894677,0.04922787345131962,0.01991658861037588,0.015165398299520178,0.07977305513628413,0.02261110255132564,0.013200515141320182,0.05502330613360605,0.02588399287033284,0.01233450445073293,0.0105139178597355,0.010434392340805992,0.015219599245583604,0.011140557143270013,0.01634563254439836,0.020835045294406773,0.009009475691657495,0.01811609417768602,0.011502044466352768,0.012150215241669636,0.01812915729434281,0.0248517344440447,0.01576663286312268,0.01871188546144711,0.03932106225029124,0.01707077267080132,0.02327734314562927,0.016867510454049835,0.019771779339214826,0.009394609460690907,0.01648157299510488,0.019349518660158237,0.008912847279910732,0.012880682170973932,0.0108884977393424,0.011726977098011009,0.010327908398125585,0.015940300064805873,0.052350745551783186,0.010836771934021716,0.031530443576283054,0.04857479292138089,0.008459018239029104,0.015263177211972607,0.015286386219740633,0.011887796501796827,0.01447079973687832,0.024516646379281432,0.021879053862203582,0.017555362221403997,0.017621151782876,0.017398938346412533,0.020324751642940866,0.015207552962963304,0.03619446399189225,0.00834342461560359,0.012481752511102413,0.007985014655155536,0.015134084871418622,0.025154790117112316,0.012708462119715339,0.010372907023501785,0.014571711861147713,0.01001235698705393,0.00840181355901229,0.022848962251198663,0.011309899837084261,0.07020134463893633,0.013188591403539927,0.018583719096048827,0.02753039420182341,0.03161391418459193,0.012164157226314642,0.02188011937756141,0.017423139160279565,0.021042554723198423
0.013824231649809404,0.022757058255386948,0.021002568271228123,0.030772278230296664,0.0187495402926846,0.09386189948284032,0.036835944499858234,0.013432768123669569,0.06180432929053425,0.024938165787481904,0.018981193861508573,0.10045304565569733,0.028318761680809244,0.01651911731188344,0.06911839420404292,0.032427226214804844,0.01543424101393924,0.013154074589005303,0.013054490491215938,0.019049121870706356,0.013938818065924119,0.020460484315629468,0.026090296918631725,0.011270402001421206,0.02268013909224221,0.014391549304385397,0.015203397854815294,0.022696519121632838,0.031131165363516494,0.019734734956255266,0.023427249203163233,0.049321024935333524,0.021369519067419355,0.02915489587745125,0.021114698002451138,0.02475653139535604,0.011752571238576636,0.0206308901845696,0.024226916418021466,0.011149432834349233,0.016118434283060198,0.013623152559317807,0.01467327212000114,0.012921150445185508,0.019952410961447516,0.06574445506870089,0.013558375679758664,0.03952104857693037,0.06098064934553953,0.010581310930851767,0.019103736969973244,0.019132824369905058,0.014874701398844262,0.018110737057479474,0.030710495350456203,0.02740015462136965,0.02197706521780429,0.02205955183452766,0.02178094564077796,0.025450150463275163,0.019034024661145916,0.04538626893336117,0.010436613161328281,0.015618691268082139,0.009987981079121985,0.018941950214779534,0.031511644074034645,0.015902688294769225,0.01297749778403527,0.018237191466119414,0.012526028888864133,0.010509702904882633,0.028617264794570114,0.014150901425877745,0.08831508562803636,0.016504178988970206,0.02326652448214309,0.034494888227213534,0.039625971399665214,0.01522086151394253,0.027401491588647475,0.02181128754046152,0.02635062744644284
0.016604641198627146,0.027351130903921512,0.025239336762189084,0.037005543519688544,0.022528258561657747,0.11342869135037603,0.0443169415354297,0.016134008641701558,0.0744959380545993,0.02997717285081004,0.022806967934510168,0.12146113105761717,0.0340490480423999,0.019845240262352876,0.08335958849244272,0.03900037149988099,0.01854052877963165,0.015798968251243314,0.015679253197087104,0.022888695914094485,0.016742406298660348,0.024586964738044503,0.03136466987421829,0.013534792679223803,0.02725853582525217,0.01728673826056691,0.018262934245560282,0.02727825397345936,0.03743809413487189,0.023713639760839553,0.028157948638639692,0.05939253819629771,0.025680973330363573,0.03505647160015224,0.02537428586487704,0.02975845416377406,0.014114303774509724,0.024792034541411788,0.029120740776740685,0.013389407969383548,0.019363341042472167,0.016362892930442463,0.017625479296830577,0.015518961030988295,0.023975568979213813,0.07926948157980515,0.016285016078473408,0.04755671332268268,0.07349842822239949,0.01270665311230802,0.022954406964281755,0.02298940415483585,0.017867684324163323,0.021759742935757144,0.03693108171279568,0.03294239983359233,0.02641222519076732,0.02651151229365661,0.02617616565152316,0.03059372067735967,0.02287053154995307,0.05463819417101721,0.012532767508063364,0.018762341212517797,0.011993661376053401,0.022759752074246475,0.037896693419348974,0.01910387587538611,0.0155866975335077,0.021911869025340036,0.015043990813427097,0.01262060017603077,0.03440868780685158,0.016997395993053215,0.10667649684077171,0.019827273534890937,0.0279644510259285,0.04149336947251947,0.0476833373452268,0.018283934405949664,0.03294401037245982,0.026212686274403298,0.031678215085819424
0.019390328616368403,0.03195983317831166,0.029488510813359636,0.04326610695759024,0.026316807317489768,0.1332933583017884,0.05183765982344971,0.018840227413659254,0.08730665550503133,0.035033845514559,0.026642822821456417,0.14281611101819397,0.03980230990387601,0.023178950986529383,0.09775252961059427,0.0456039573587767,0.02165342223277477,0.018448632371306537,0.01830871321893418,0.026738424799625623,0.019551361814850985,0.02872520245076693,0.03665843490471084,0.01580266870609858,0.03185146062474779,0.020187655384170264,0.02132887645855803,0.031874538487686496,0.04377298689985038,0.027703462484550898,0.03290417839935386,0.06953754717909774,0.030005282372170653,0.04098245119431135,0.029646415664761425,0.03477777813447264,0.01647983088975092,0.0289651380054711,0.03403120744428194,0.015632792991141845,0.02261546461905927,0.019107756140022233,0.020583645350619212,0.018121371911137593,0.028009893249153508,0.0929306363842192,0.019016729881768044,0.05563841297606071,0.08613192100727579,0.014835062114667504,0.026815291526045854,0.026856230391076846,0.020866793976652094,0.02541790603028509,0.04317885246637472,0.038506104194351604,0.03086100220105657,0.03097719506555409,0.030584754111289525,0.03575571315813475,0.02671717680341285,0.06395173976676874,0.014631904279344719,0.021912758833925784,0.014002070099167745,0.026587592108920092,0.04431042208403853,0.022312084533987947,0.018200538449607482,0.025595835097945094,0.017566271660910418,0.014734522351002,0.040223590970280595,0.019849425388116577,0.1252979537173694,0.023157941850864283,0.03267768929905146,0.04852647777672681,0.05578699524443741,0.021353428128967844,0.03850799047166355,0.03062749175909208,0.03702559676337848
0.022181333250059977,0.03658334591388465,0.03375023174645955,0.04955442777923911,0.030115286352715563,0.15347199259297767,0.05939890319800707,0.0215514604906231,0.10024060873530664,0.0401084234910616,0.030488862139700524,0.16453815127383747,0.045578902259358386,0.026520317225840046,0.11230313302442288,0.05223852415467136,0.024772976425937974,0.02110310077116042,0.02094290360538572,0.03059841328483003,0.022365724963496945,0.03287532787665093,0.04197186756257543,0.018074051222152214,0.03645909245261612,0.023094345151998465,0.024401277072436032,0.03648555202403659,0.05013631971971976,0.03170431987498855,0.037666136214291594,0.07975806358167202,0.03434259523455425,0.04693322311903593,0.03393123105316949,0.03981473767793467,0.0188491765939678,0.03315033436157615,0.03895853568101558,0.017879608358041636,0.02587486785941689,0.02185777981772926,0.023547817465940243,0.020728415117631405,0.032055504512527255,0.10673295316686156,0.021753554177070034,0.06376714922305213,0.0988850810737003,0.01696655539249945,0.030686496335681736,0.030733409252813326,0.02387207954392383,0.029085316085752388,0.04945426399173578,0.044091588275549126,0.03532355869628667,0.035456764479091046,0.03500686905394022,0.04093638312294811,0.030574064924913765,0.07332845286110341,0.016734040215341982,0.025070001217431283,0.016013221899366235,0.03042557328130929,0.050753324426236895,0.025527374583751344,0.020819052991324666,0.029289181360327633,0.020092900575252964,0.01685148652830715,0.04606234098880905,0.02270703185988429,0.14419261442638878,0.02649625149133928,0.037406432884858384,0.055594868106899516,0.06393795513644349,0.024429395446093294,0.04409375250652016,0.03505586270582982,0.04239305660943046
0.024977694814083212,0.041221852748735605,0.038024642901341596,0.05587097491775614,0.033923796729375094,0.17398178804049116,0.06700149593040733,0.024267744250604656,0.11330210515349241,0.04520115057243955,0.0343451908413355,0.18664890449178287,0.051379186985807145,0.029869407479371987,0.12701760528364486,0.05890462429443481,0.02789924698640616,0.023762407573045048,0.023581857696230047,0.03446876748158072,0.025185536473471944,0.03703747325204382,0.04730524831206377,0.020348961528014402,0.04108161303489974,0.026006852473373455,0.02748018920638373,0.04111147671457574,0.0565285788296642,0.035716330244441805,0.042444022969291686,0.09005616840524516,0.03869306312554234,0.05290918359363505,0.038228877743734076,0.044869571123784424,0.021222365087026372,0.03734775927059086,0.04390294837015174,0.02012987468216231,0.02914161429574585,0.02461300193938071,0.02651804329532414,0.02334012296175332,0.036112525146994964,0.12068170044827127,0.02449552639132109,0.07194395114353958,0.11176203208272638,0.01910115052472635,0.03456812844386745,0.034621048293028464,0.026883590708204928,0.03276206394896872,0.05575778228710787,0.04969917865768178,0.03980005955376234,0.03995038733038352,0.0394426708554865,0.04613599022414765,0.03444130176781145,0.08276992945732248,0.018839192173841494,0.028234126051319836,0.018027131526021478,0.034273799877436326,0.057225905502000005,0.028749806986882318,0.02344227390190748,0.0329920006227202,0.022623906946637025,0.018971509927441326,0.05192531175324124,0.02557025806106393,0.1633744800327115,0.02984227076564007,0.042150878435691014,0.06269921098943737,0.07213725475882854,0.027511889663512756,0.04970162310709305,0.039497960181450985,0.04778088387076921
