r,f
0.0,0.0
0.047348405488598234,0.0013991203555456797
0.09469681097719647,0.0027982407110913594
0.1420452164657947,0.0041973610666370415
0.18939362195439294,0.005600689509100104
0.23674202744299117,0.007007274319443598
0.2840904329315894,0.008413975035291617
0.3314388384201876,0.009822789648088812
0.3787872439087859,0.011236110712019262
0.42613564939738413,0.012650429065035315
0.47348405488598233,0.014065738460998444
0.5208324603745805,0.015485788345464333
0.5681808658631788,0.016907566712985343
0.615529271351777,0.018329930616127855
0.6628776768403752,0.019757044900885673
0.7102260823289736,0.021186161560562536
0.7575744878175718,0.022616437780518688
0.80492289330617,0.024050274110854836
0.8522712987947683,0.02548710110685403
0.8996197042833665,0.02692523187611451
0.9469681097719647,0.02836609028365607
0.994316515260563,0.02981100670318119
1.041664920749161,0.03125723235684593
1.0890133262377595,0.03270537940689026
1.1363617317263577,0.03415852706851946
1.1837101372149559,0.035613152452280486
1.231058542703554,0.037069026031079255
1.2784069481921523,0.03853029062125644
1.3257553536807505,0.03999380825771691
1.373103759169349,0.041458368949123754
1.420452164657947,0.042927224353267575
1.4678005701465453,0.04439978696938436
1.5151489756351435,0.04587360180887651
1.5624973811237417,0.04735047047027307
1.60984578661234,0.04883213999848965
1.657194192100938,0.05031541664347823
1.7045425975895365,0.051800946790039895
1.7518910030781347,0.05329186039140374
1.799239408566733,0.054784864444455586
1.8465878140553311,0.056279272354058676
1.8939362195439293,0.057779714352978656
1.9412846250325275,0.05928296137694484
1.988633030521126,0.06078746617760626
2.035981436009724,0.06229684157088728
2.083329841498322,0.06381062277976929
2.1306782469869208,0.06532579459014569
2.178026652475519,0.06684475499969232
2.225375057964117,0.0683689389840717
2.2727234634527154,0.06989529614036463
2.3200718689413136,0.07142416881657325
2.3674202744299118,0.07295910582924132
2.41476867991851,0.07449699027709127
2.462117085407108,0.07603648607772909
2.5094654908957064,0.07758251727076951
2.5568138963843046,0.07913225592248395
2.6041623018729028,0.08068358794718972
2.651510707361501,0.08224080977449542
2.698859112850099,0.08380246616837277
