,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638545454542e-02,6.502638545454545e-02,6.502639450505050e-02,6.502638545454545e-02
2.020202020202020e-01,1.252802839272727e-01,1.252802907332526e-01,1.252802857373737e-01,1.252802947878788e-01
3.030303030303030e-01,1.806435284040404e-01,1.806435244218182e-01,1.806435363684849e-01,1.806435284040404e-01
4.040404040404040e-01,2.311365766464646e-01,2.311365766464647e-01,2.311365766464646e-01,2.311365784565657e-01
5.050505050505051e-01,2.769101123232323e-01,2.769101051552323e-01,2.769101123232324e-01,2.769101039967676e-01
6.060606060606061e-01,3.182210043345454e-01,3.182210021624242e-01,3.182209978181819e-01,3.182210068686868e-01
7.070707070707071e-01,3.553997401987879e-01,3.553997304242425e-01,3.553997304242424e-01,3.553997304242424e-01
8.080808080808081e-01,3.888169283232323e-01,3.888169283232323e-01,3.888169319434344e-01,3.888169283232323e-01
9.090909090909091e-01,4.188545898020200e-01,4.188545952323233e-01,4.188545952323233e-01,4.188545898020202e-01
1.010101010101010e+00,4.458847405769697e-01,4.458847318884849e-01,4.458847376808081e-01,4.458847250101010e-01
1.111111111111111e+00,4.702555991919193e-01,4.702556038981819e-01,4.702556010020202e-01,4.702555973818182e-01
1.212121212121212e+00,4.922842479191920e-01,4.922842435749497e-01,4.922842479191919e-01,4.922842406787878e-01
1.237373737373737e+00,4.974593567547475e-01,4.974593629090909e-01,4.974593629090909e-01,4.974593574787879e-01
1.243686868686869e+00,4.987335346424242e-01,4.987335274020201e-01,4.987335310222224e-01,4.987335331943433e-01
1.246843434343434e+00,4.993677270626262e-01,4.993677252525252e-01,4.993677252525252e-01,4.993677252525252e-01
1.248421717171717e+00,4.996841001373737e-01,4.996841073777778e-01,4.996841019474746e-01,4.996841128080808e-01
1.249210858585859e+00,4.998421074747475e-01,4.998421074747476e-01,4.998421074747475e-01,4.998421074747473e-01
1.249605429292929e+00,4.999210677010102e-01,4.999210710315959e-01,4.999210731313131e-01,4.999210698641320e-01
1.249704071969697e+00,4.999408032323233e-01,4.999408032323233e-01,4.999408032323233e-01,4.999408026235225e-01
1.249802714646465e+00,4.999605423838384e-01,4.999605369535353e-01,4.999605394876769e-01,4.999605391670304e-01
1.250000000000000e+00,5.000000062060606e-01,5.000000025858584e-01,5.000000025858585e-01,4.999999983967676e-01
1.262626262626263e+00,5.025100320064647e-01,5.025100298343436e-01,5.025100352646465e-01,5.025100289137776e-01
1.275252525252525e+00,5.049899442424243e-01,5.049899402602019e-01,5.049899359159594e-01,5.049899421220202e-01
1.281565656565657e+00,5.062187477488485e-01,5.062187584646464e-01,5.062187403636362e-01,5.062187502416162e-01
1.284722222222222e+00,5.068304096969697e-01,5.068304096969696e-01,5.068304006464648e-01,5.068303976985857e-01
1.285116792929293e+00,5.069067217454546e-01,5.069067235555557e-01,5.069067235555557e-01,5.069067249002018e-01
1.285215435606061e+00,5.069258110707070e-01,5.069257987620202e-01,5.069258045106897e-01,5.069257991033536e-01
1.285314078282828e+00,5.069448786747474e-01,5.069448804848485e-01,5.069448791919192e-01,5.069448758820201e-01
1.285511363636364e+00,5.069830193131314e-01,5.069830193131314e-01,5.069830257777778e-01,5.069830250020202e-01
1.286300505050505e+00,5.071355474747475e-01,5.071355348040404e-01,5.071355342868687e-01,5.071355367692928e-01
1.287878787878788e+00,5.074402091959597e-01,5.074402164363636e-01,5.074402190222222e-01,5.074402133333332e-01
1.313131313131313e+00,5.122537427523233e-01,5.122537438383838e-01,5.122537469414141e-01,5.122537466828282e-01
1.325757575757576e+00,5.146179258181818e-01,5.146179294383839e-01,5.146179263353535e-01,5.146179218359596e-01
1.332070707070707e+00,5.157895695204848e-01,5.157895680000001e-01,5.157895714650504e-01,5.157895676172928e-01
1.335227272727273e+00,5.163728078868687e-01,5.163728006464647e-01,5.163728006464647e-01,5.163728021462626e-01
1.336805555555556e+00,5.166637707636363e-01,5.166637722117172e-01,5.166637754905858e-01,5.166637747458587e-01
1.336904198232324e+00,5.166819477979798e-01,5.166819477979798e-01,5.166819441777777e-01,5.166819487288890e-01
1.337002840909091e+00,5.167001194020202e-01,5.167001186448580e-01,5.167001181090909e-01,5.167001212121212e-01
1.337200126262627e+00,5.167364535595960e-01,5.167364521528570e-01,5.167364529907070e-01,5.167364535078788e-01
1.337594696969697e+00,5.168091037737375e-01,5.168091006707071e-01,5.168091024808081e-01,5.168091025842423e-01
1.338383838383838e+00,5.169543191272726e-01,5.169543204719192e-01,5.169543203167676e-01,5.169543219200000e-01
1.341540404040404e+00,5.175341252525252e-01,5.175341309931314e-01,5.175341304345860e-01,5.175341283038383e-01
1.343118686868687e+00,5.178233956848485e-01,5.178233942884849e-01,5.178233984258586e-01,5.178233951676767e-01
1.343907828282828e+00,5.179678688969698e-01,5.179678691555557e-01,5.179678699313132e-01,5.179678707070706e-01
1.344105113636364e+00,5.180039704927677e-01,5.180039744646465e-01,5.180039744646465e-01,5.180039719822221e-01
1.344203756313131e+00,5.180220196311031e-01,5.180220218440404e-01,5.180220232404041e-01,5.180220250505050e-01
1.344302398989899e+00,5.180400693760664e-01,5.180400704646465e-01,5.180400681373738e-01,5.180400678787878e-01
1.344696969696970e+00,5.181122404848485e-01,5.181122395746264e-01,5.181122404848485e-01,5.181122392953535e-01
1.351010101010101e+00,5.192633738602020e-01,5.192633716363637e-01,5.192633729292929e-01,5.192633729292929e-01
1.363636363636364e+00,5.215455213381817e-01,5.215455236137373e-01,5.215455224242425e-01,5.215455228896969e-01
1.414141414141414e+00,5.304135201616161e-01,5.304135152484848e-01,5.304135201616161e-01,5.304135157656565e-01
1.515151515151515e+00,5.469813967903029e-01,5.469813979797979e-01,5.469813979073936e-01,5.469813974212525e-01
1.616161616161616e+00,5.621466155959596e-01,5.621466159579799e-01,5.621466181818182e-01,5.621466145616161e-01
1.717171717171717e+00,5.760730386618182e-01,5.760730401616161e-01,5.760730417131315e-01,5.760730401616161e-01
1.818181818181818e+00,5.889024356641614e-01,5.889024337506263e-01,5.889024393050504e-01,5.889024338230303e-01
1.919191919191919e+00,6.007574531620201e-01,6.007574531620201e-01,6.007574533171717e-01,6.007574556134141e-01
2.020202020202020e+00,6.117443292625456e-01,6.117443294383840e-01,6.117443268525253e-01,6.117443308864645e-01
2.121212121212121e+00,6.219552515827070e-01,6.219552504242427e-01,6.219552487175757e-01,6.219552516654546e-01
2.222222222222222e+00,6.314703910891316e-01,6.314703928888890e-01,6.314703919683233e-01,6.314703923200000e-01
2.323232323232323e+00,6.403596730078385e-01,6.403596735353536e-01,6.403596696565657e-01,6.403596735353535e-01
2.424242424242424e+00,6.486842285252524e-01,6.486842336969697e-01,6.486842280080808e-01,6.486842362828285e-01
2.525252525252525e+00,6.564976970989898e-01,6.564977002020204e-01,6.564976989090908e-01,6.564976989090908e-01
2.626262626262626e+00,6.638472468686869e-01,6.638472498682828e-01,6.638472491959595e-01,6.638472455757577e-01
2.727272727272727e+00,6.707745166222224e-01,6.707745145535354e-01,6.707745202424243e-01,6.707745176565656e-01
