Force_f,Average_r,Average_n,Std_r,Std_n
0.0,0.0,0.0,0.0,0.0
0.01001001001001001,0.13039191546532294,0.0,0.011444217022188617,0.0
0.02002002002002002,0.2607838309306459,0.0,0.022888434044377234,0.0
0.03003003003003003,0.3911757463959688,0.0,0.03433265106656584,0.0
0.04004004004004004,0.5215676618612918,0.0,0.04577686808875447,0.0
0.050050050050050046,0.6519595773266146,0.0,0.057221085110943065,0.0
0.06006006006006006,0.7823514927919376,0.0,0.06866530213313168,0.0
0.07007007007007007,0.9127434082572609,0.0,0.08010951915532032,0.0
0.08008008008008008,1.0431353237225836,0.0,0.09155373617750893,0.0
0.09009009009009009,1.1735272391879068,0.0,0.10299795319969754,0.0
0.10010010010010009,1.3039191546532292,0.0,0.11444217022188613,0.0
0.11011011011011011,1.4256112010420188,0.0,0.12512282021781646,0.0
0.12012012012012012,1.546433260523157,0.0,0.1357271135111216,0.0
0.13013013013013014,1.6672553200042928,0.0,0.1463314068044274,0.0
0.14014014014014015,1.7880773794854294,0.0,0.1569357000977336,0.0
0.15015015015015015,1.908899438966566,0.0,0.16753999339104017,0.0
0.16016016016016016,2.0297214984477026,0.0,0.17814428668434706,0.0
0.17017017017017017,2.1505435579288394,0.0,0.18874857997765424,0.0
0.18018018018018017,2.2713656174099763,0.0,0.19935287327096163,0.0
0.19019019019019018,2.3921876768911137,0.0,0.20995716656426913,0.0
0.20020020020020018,2.5130097363722497,0.0,0.22056145985757686,0.0
0.21021021021021022,2.625808032453238,0.0,0.2304615226909095,0.0
0.22022022022022023,2.7368232700008566,0.0,0.24020508986647046,0.0
0.23023023023023023,2.8478385075484782,0.0,0.24994865704203179,0.0
0.24024024024024024,2.9588537450960986,0.0,0.2596922242175935,0.0
0.2502502502502503,3.0698689826437193,0.0,0.2694357913931556,0.0
0.2602602602602603,3.180884220191339,0.0,0.27917935856871795,0.0
0.2702702702702703,3.2918994577389604,0.0,0.28892292574428075,0.0
0.2802802802802803,3.4029146952865825,0.0,0.2986664929198437,0.0
0.2902902902902903,3.5139299328342033,0.0,0.3084100600954069,0.0
0.3003003003003003,3.6249451703818214,0.0,0.3181536272709703,0.0
0.3103103103103103,3.7288580061078562,0.0,0.32727383239504554,0.0
