,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,4.170413626214847e-01,3.718245889801145e-01,2.345473927549065e-01,3.824508414928274e-01
2.020202020202020e-01,8.034749011063329e-01,7.163599739853895e-01,4.518806676628797e-01,7.368323885753766e-01
3.030303030303030e-01,1.158542354737846e+00,1.032930164882700e+00,6.515735229956591e-01,1.062449863817967e+00
4.040404040404040e-01,1.482375336318162e+00,1.321652341133720e+00,8.336997751428015e-01,1.359423111586530e+00
5.050505050505051e-01,1.775940178124674e+00,1.583388071007839e+00,9.988029663161399e-01,1.628638841960550e+00
6.060606060606061e-01,2.040884215698288e+00,1.819606056751382e+00,1.147809601238195e+00,1.871607677184336e+00
7.070707070707071e-01,2.279326896692023e+00,2.032196256293724e+00,1.281911717318847e+00,2.090273310450971e+00
8.080808080808081e-01,2.493645375476135e+00,2.223277782375613e+00,1.402446112005941e+00,2.286815607079883e+00
9.090909090909091e-01,2.686289417978838e+00,2.395034747386190e+00,1.510790662945722e+00,2.463481225751513e+00
1.010101010101010e+00,2.859644961889560e+00,2.549594699530125e+00,1.608287207940956e+00,2.622458154726707e+00
1.111111111111111e+00,3.015945577644079e+00,2.688948770552566e+00,1.696191904506235e+00,2.765794759230021e+00
1.161616161616162e+00,3.088344053620603e+00,2.753497696064799e+00,1.736909407060288e+00,2.832188416164783e+00
1.174242424242424e+00,3.105885152307520e+00,2.769136911625665e+00,1.746774678291740e+00,2.848274542140281e+00
1.180555555555556e+00,3.114574399645324e+00,2.776884031342799e+00,1.751661553099686e+00,2.856243115732482e+00
1.183712121212121e+00,3.118898783138475e+00,2.780739607620302e+00,1.754093654928252e+00,2.860208825159287e+00
1.185290404040404e+00,3.121055996974316e+00,2.782662945146186e+00,1.755306899696752e+00,2.862187075453079e+00
1.185487689393939e+00,3.121325440323438e+00,2.782903174738414e+00,1.755458402841665e+00,2.862434193855132e+00
1.185586332070707e+00,3.121460161997999e+00,2.783023237783215e+00,1.228873853612266e+01,2.862557717924171e+00
1.185684974747475e+00,3.121594906890428e+00,2.783143404330642e+00,1.228926938369137e+01,2.862681210055040e+00
1.186079545454545e+00,3.122133433711730e+00,2.783623501255911e+00,1.229138972128699e+01,2.863175135994284e+00
1.186868686868687e+00,3.123209883689786e+00,2.784583281095949e+00,1.229562786977180e+01,2.864162344850937e+00
1.212121212121212e+00,3.157224428335454e+00,2.814909860678704e+00,1.242953798228054e+01,2.895355610959633e+00
1.313131313131313e+00,3.285297167897380e+00,2.929096589496769e+00,1.293374181440858e+01,3.012805610558072e+00
1.414141414141414e+00,3.401763378290176e+00,3.032935210756588e+00,1.339225256885203e+01,3.119611782537418e+00
1.417297979797980e+00,3.405231663295936e+00,3.036027487468797e+00,1.340590678456414e+01,3.122792434694475e+00
1.418087121212121e+00,3.406097167341338e+00,3.036799098294865e+00,1.340931409191242e+01,3.123586172759022e+00
1.418481691919192e+00,3.406529716207701e+00,3.037184790476028e+00,1.341101699410358e+01,3.123982823547129e+00
1.418678977272727e+00,3.406745909378348e+00,3.037377533063984e+00,1.341186810373471e+01,3.124181053126671e+00
1.418777619949495e+00,3.406854011768138e+00,2.126177551496528e+01,1.341229367839830e+01,3.124280210500669e+00
1.418876262626263e+00,3.406962102548994e+00,2.126250206199053e+01,1.341271918463842e+01,3.124379335936497e+00
1.420454545454545e+00,3.408690045881326e+00,2.127377624272401e+01,1.341952194536036e+01,3.125963948276284e+00
1.426767676767677e+00,3.415577229167476e+00,2.131675948760009e+01,1.344663568067074e+01,3.132279934455370e+00
1.428345959595960e+00,3.417292908822340e+00,2.132746680929801e+01,1.345339006077556e+01,3.133853240682727e+00
1.429135101010101e+00,3.418149782786495e+00,2.133281501555865e+01,1.345676346429397e+01,3.134639100665165e+00
1.429332386363637e+00,3.418363897958025e+00,2.133415132966761e+01,1.345760648715877e+01,3.134835458667904e+00
1.429431029040404e+00,3.418470950900216e+00,2.133481947016166e+01,1.345802801230198e+01,3.134933645121513e+00
1.429529671717172e+00,3.418578024738488e+00,2.133548753613383e+01,1.345844938466759e+01,2.194472337617071e+01
1.429924242424243e+00,3.419006057729677e+00,2.133815916037629e+01,1.346013469131923e+01,2.194768533276843e+01
1.433080808080808e+00,3.422425190510526e+00,2.135949806676144e+01,1.347359523988115e+01,2.196991918612286e+01
1.439393939393939e+00,3.429234294430992e+00,2.140199382255478e+01,1.350040170679847e+01,2.201362963156488e+01
1.452020202020202e+00,3.442737051427158e+00,2.148626537236722e+01,1.355356023566169e+01,2.210030937420209e+01
1.458333333333333e+00,3.449431380142793e+00,2.152804472190848e+01,1.357991470679278e+01,2.214328289830773e+01
1.459911616161616e+00,3.451099047570027e+00,2.153845297691207e+01,1.358648007332690e+01,2.215398817496727e+01
1.460306186868687e+00,3.451515610934808e+00,2.154105247224533e+01,1.358812001417267e+01,2.215666225579869e+01
1.460404829545454e+00,3.451619696633568e+00,2.154170244181857e+01,1.358852984595362e+01,2.215733077494194e+01
1.460503472222222e+00,2.416168497194102e+01,2.154235186903806e+01,1.358893976391680e+01,2.215799903645061e+01
1.460700757575757e+00,2.416325721625576e+01,2.154365133621258e+01,1.358975931909801e+01,2.215933526989521e+01
1.461489898989899e+00,2.416935080355308e+01,2.154884605222070e+01,1.359303626066957e+01,2.216467859824822e+01
1.464646464646465e+00,2.419261609326980e+01,2.156958892632047e+01,1.360612091314170e+01,2.218601436727598e+01
1.515151515151515e+00,2.455614068522049e+01,2.189369936002850e+01,1.381056999623824e+01,2.251938738212449e+01
1.616161616161616e+00,2.523696689624591e+01,2.250070840308177e+01,1.419347210754361e+01,2.314374385800444e+01
1.717171717171717e+00,2.586217867891589e+01,2.305813312263546e+01,1.454509619584025e+01,2.371709876305426e+01
1.818181818181818e+00,2.643814046623607e+01,2.357164773337778e+01,1.486902175666339e+01,2.424528897043738e+01
1.919191919191919e+00,2.697035877476568e+01,2.404616163805130e+01,1.516834567469848e+01,2.473336365156691e+01
