,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638726464645e-02,6.502637640404041e-02,6.502638545454545e-02,6.502639030561616e-02
2.020202020202020e-01,1.252802803070707e-01,1.252802875474748e-01,1.252802832032323e-01,1.252802911676768e-01
3.030303030303030e-01,1.806435360064647e-01,1.806435302141414e-01,1.806435265939394e-01,1.806435410747475e-01
4.040404040404040e-01,2.311365947474747e-01,2.311365726642424e-01,2.311365766464646e-01,2.311365748363636e-01
5.050505050505051e-01,2.769101123232323e-01,2.769101123232324e-01,2.769101213737374e-01,2.769101123232323e-01
6.060606060606061e-01,3.182210068686868e-01,3.182210068686868e-01,3.182210068686869e-01,3.182210068686869e-01
7.070707070707071e-01,3.553997358545455e-01,3.553997300622222e-01,3.553997394747475e-01,3.553997358545454e-01
8.080808080808081e-01,3.888169283232323e-01,3.888169319434344e-01,3.888169373737373e-01,3.888169373737374e-01
9.090909090909091e-01,4.188545905260607e-01,4.188545952323231e-01,4.188545861818181e-01,4.188545952323233e-01
1.010101010101010e+00,4.458847268202021e-01,4.458847304404040e-01,4.458847250101010e-01,4.458847311644445e-01
1.111111111111111e+00,4.702556002779797e-01,4.702555991919193e-01,4.702556046222223e-01,4.702555973818182e-01
1.161616161616162e+00,4.815442036363637e-01,4.815442036363637e-01,4.815442036363636e-01,4.815442036363636e-01
1.174242424242424e+00,4.842792731410100e-01,4.842792662626263e-01,4.842792651765656e-01,4.842792662626262e-01
1.177398989898990e+00,4.849577445417373e-01,4.849577373737375e-01,4.849577373737372e-01,4.849577373737375e-01
1.178188131313131e+00,4.851270304736970e-01,4.851270361212121e-01,4.851270270707070e-01,4.851270270707073e-01
1.178286773989899e+00,4.851481878755556e-01,4.851481871515153e-01,4.851481820832324e-01,4.851481781010102e-01
1.178385416666667e+00,4.851693327515151e-01,4.851693381818182e-01,4.851693381818181e-01,4.851693355359478e-01
1.178582702020202e+00,4.852116311919193e-01,4.852116253995960e-01,4.852116221414141e-01,4.852116286577777e-01
1.178977272727273e+00,4.852961900606060e-01,4.852961900606061e-01,4.852961882505050e-01,4.852961939393940e-01
1.180555555555556e+00,4.856341198454949e-01,4.856341214383839e-01,4.856341163701009e-01,4.856341139393938e-01
1.186868686868687e+00,4.869805976565658e-01,4.869806038109091e-01,4.869806030868687e-01,4.869806092929293e-01
1.212121212121212e+00,4.922842479191920e-01,4.922842569696970e-01,4.922842569696970e-01,4.922842505050505e-01
1.224747474747475e+00,4.948876057858585e-01,4.948876075959597e-01,4.948876075959595e-01,4.948876109575758e-01
1.227904040404041e+00,4.955334890692525e-01,4.955334922550304e-01,4.955334878383839e-01,4.955334917688888e-01
1.229482323232324e+00,4.958556911760809e-01,4.958556905244444e-01,4.958556912484849e-01,4.958556925000405e-01
1.230271464646465e+00,4.960166114004040e-01,4.960166037979798e-01,4.960166128484847e-01,4.960166132622222e-01
1.230666035353535e+00,4.960970265858586e-01,4.960970265858587e-01,4.960970265858586e-01,4.960970214141414e-01
1.230863320707071e+00,4.961372198787878e-01,4.961372166206061e-01,4.961372216888889e-01,4.961372190616566e-01
1.230961963383839e+00,4.961573120000000e-01,4.961573122585859e-01,4.961573210505051e-01,4.961573171717172e-01
1.231060606060606e+00,4.961774131717170e-01,4.961774077414141e-01,4.961774084654545e-01,4.961774017939395e-01
1.237373737373737e+00,4.974593629090909e-01,4.974593603749494e-01,4.974593578408081e-01,4.974593577373738e-01
1.262626262626263e+00,5.025100291103030e-01,5.025100269898990e-01,5.025100244040402e-01,5.025100289034344e-01
1.313131313131313e+00,5.122537420282828e-01,5.122537440969697e-01,5.122537391321211e-01,5.122537459070708e-01
1.338383838383838e+00,5.169543136969699e-01,5.169543182997979e-01,5.169543227474748e-01,5.169543240404041e-01
1.351010101010101e+00,5.192633781010101e-01,5.192633745221817e-01,5.192633762909090e-01,5.192633742222224e-01
1.352588383838384e+00,5.195501071515152e-01,5.195501084444444e-01,5.195500981010100e-01,5.195501058585859e-01
1.352982954545455e+00,5.196217328484850e-01,5.196217250909090e-01,5.196217147474748e-01,5.196217229187879e-01
1.353081597222222e+00,5.196396256969696e-01,5.196396215595959e-01,5.196396256969696e-01,5.196396210424242e-01
1.353180239898990e+00,5.196575094949494e-01,5.196575220105050e-01,5.196575220852550e-01,5.196575198383838e-01
1.353377525252526e+00,5.196933118448483e-01,5.196933135515152e-01,5.196933124217518e-01,5.196933109656565e-01
1.354166666666667e+00,5.198364162585860e-01,5.198364153276767e-01,5.198364165171716e-01,5.198364160103435e-01
1.357323232323232e+00,5.204077858650507e-01,5.204077886060606e-01,5.204077861236363e-01,5.204077860202021e-01
1.363636363636364e+00,5.215455263030303e-01,5.215455224242425e-01,5.215455224242425e-01,5.215455213381817e-01
1.369949494949495e+00,5.226766493737375e-01,5.226766419885253e-01,5.226766439951516e-01,5.226766454949495e-01
1.371527777777778e+00,5.229583897858587e-01,5.229583920614141e-01,5.229583958264243e-01,5.229583906650505e-01
1.372316919191919e+00,5.230991178989900e-01,5.230991159337373e-01,5.230991132961617e-01,5.230991122101010e-01
1.372711489898990e+00,5.231694390923638e-01,5.231694404266666e-01,5.231694356686869e-01,5.231694404266666e-01
1.372810132575757e+00,5.231870164574682e-01,5.231870129907070e-01,5.231870146456565e-01,5.231870157420606e-01
1.372908775252525e+00,5.232045877328115e-01,5.232045901368889e-01,5.232045905195960e-01,5.232045895886868e-01
1.373106060606061e+00,5.232397334462735e-01,5.232397366820201e-01,5.232397343030304e-01,5.232397337858585e-01
1.376262626262626e+00,5.238011936064647e-01,5.238011953131313e-01,5.238011911447273e-01,5.238011953131313e-01
1.388888888888889e+00,5.260308066262627e-01,5.260308056953535e-01,5.260308069986265e-01,5.260308105050505e-01
