,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502637640404041e-02,6.502638726464648e-02,6.502638545454545e-02,6.502638668541415e-02
2.020202020202020e-01,1.252803038383838e-01,1.252802897195960e-01,1.252802857373737e-01,1.252802850857374e-01
3.030303030303030e-01,1.806435329654949e-01,1.806435465050505e-01,1.806435284040404e-01,1.806435284040404e-01
4.040404040404040e-01,2.311365766464646e-01,2.311365766464646e-01,2.311365766464646e-01,2.311365675959596e-01
5.050505050505051e-01,2.769101141333334e-01,2.769101123232323e-01,2.769101123232323e-01,2.769101123232323e-01
6.060606060606061e-01,3.182209887676768e-01,3.182210014383838e-01,3.182210068686869e-01,3.182210068686869e-01
7.070707070707071e-01,3.553997312206868e-01,3.553997430949495e-01,3.553997304242425e-01,3.553997340444445e-01
8.080808080808081e-01,3.888169373737373e-01,3.888169373737373e-01,3.888169373737374e-01,3.888169373737374e-01
9.090909090909091e-01,4.188545952323231e-01,4.188545952323230e-01,4.188545952323233e-01,4.188545952323233e-01
1.010101010101010e+00,4.458847326125251e-01,4.458847304404039e-01,4.458847250101011e-01,4.458847250101010e-01
1.111111111111111e+00,4.702555991919192e-01,4.702555991919193e-01,4.702556075183840e-01,4.702556010020203e-01
1.212121212121212e+00,4.922842406787878e-01,4.922842479191920e-01,4.922842456746668e-01,4.922842479191920e-01
1.262626262626263e+00,5.025100247660605e-01,5.025100244040402e-01,5.025100280242424e-01,5.025100225939394e-01
1.287878787878788e+00,5.074402146262625e-01,5.074402146262625e-01,5.074402146262628e-01,5.074402091959596e-01
1.300505050505051e+00,5.098613242828282e-01,5.098613242828283e-01,5.098613213866667e-01,5.098613333333334e-01
1.306818181818182e+00,5.110611044848483e-01,5.110610863838384e-01,5.110610845737373e-01,5.110610925381819e-01
1.308396464646465e+00,5.113599159595960e-01,5.113599141494949e-01,5.113599159595961e-01,5.113599159595960e-01
1.308791035353535e+00,5.114345590949494e-01,5.114345645252524e-01,5.114345554747475e-01,5.114345645252526e-01
1.308988320707070e+00,5.114718652767676e-01,5.114718707070706e-01,5.114718652767678e-01,5.114718656387880e-01
1.309086963383838e+00,5.114905147474746e-01,5.114905165575756e-01,5.114905151094949e-01,5.114905167023839e-01
1.309185606060606e+00,5.115091660282828e-01,5.115091678383838e-01,5.115091666665288e-01,5.115091714585858e-01
1.309974747474747e+00,5.116583064048484e-01,5.116583111111112e-01,5.116583036121212e-01,5.116583093010102e-01
1.313131313131313e+00,5.122537438383837e-01,5.122537438383838e-01,5.122537459070706e-01,5.122537442004041e-01
1.363636363636364e+00,5.215455263030302e-01,5.215455263030302e-01,5.215455242757170e-01,5.215455263030303e-01
1.388888888888889e+00,5.260308009373738e-01,5.260308027474747e-01,5.260308056953535e-01,5.260308044127676e-01
1.390467171717172e+00,5.263076938989898e-01,5.263076949850504e-01,5.263076973640404e-01,5.263077000533334e-01
1.390565814393939e+00,5.263249894141413e-01,5.263249898353451e-01,5.263249918965659e-01,5.263249918034747e-01
1.390664457070707e+00,5.263422769648485e-01,5.263422789941491e-01,5.263422821779394e-01,5.263422805850505e-01
