,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638726464645e-02,6.502638292040404e-02,6.502638545454545e-02,6.502638545454544e-02
2.020202020202020e-01,1.252802924709495e-01,1.252802911676767e-01,1.252802875474748e-01,1.252802911676767e-01
3.030303030303030e-01,1.806435284040404e-01,1.806435284040404e-01,1.806435284040404e-01,1.806435284040404e-01
4.040404040404040e-01,2.311365820767677e-01,2.311365766464647e-01,2.311365766464646e-01,2.311365675959597e-01
5.050505050505051e-01,2.769101068929293e-01,2.769101123232324e-01,2.769101032727273e-01,2.769101123232323e-01
6.060606060606061e-01,3.182209978181818e-01,3.182210028864647e-01,3.182209941979799e-01,3.182210027416566e-01
7.070707070707071e-01,3.553997358545454e-01,3.553997304242424e-01,3.553997485252525e-01,3.553997304242424e-01
8.080808080808081e-01,3.888169373737373e-01,3.888169373737373e-01,3.888169373737374e-01,3.888169370117171e-01
9.090909090909091e-01,4.188545915397172e-01,4.188545825616162e-01,4.188545952323232e-01,4.188545847337374e-01
1.010101010101010e+00,4.458847250101011e-01,4.458847304404042e-01,4.458847268202020e-01,4.458847232000000e-01
1.111111111111111e+00,4.702556025949091e-01,4.702556010020202e-01,4.702555991919191e-01,4.702555973818182e-01
1.212121212121212e+00,4.922842479191919e-01,4.922842479191921e-01,4.922842479191920e-01,4.922842442989898e-01
1.262626262626263e+00,5.025100298343435e-01,5.025100229559597e-01,5.025100320064648e-01,5.025100244040405e-01
1.287878787878788e+00,5.074402146262627e-01,5.074402124541414e-01,5.074402146262627e-01,5.074402165811718e-01
1.300505050505051e+00,5.098613333333333e-01,5.098613279030303e-01,5.098613242828284e-01,5.098613315232322e-01
1.306818181818182e+00,5.110610845737373e-01,5.110610954343434e-01,5.110610918141414e-01,5.110610918141412e-01
1.309974747474747e+00,5.116583013365656e-01,5.116583013365658e-01,5.116583020606060e-01,5.116583020606059e-01
1.310369318181818e+00,5.117328329696970e-01,5.117328329696970e-01,5.117328239191918e-01,5.117328329696967e-01
1.310566603535353e+00,5.117700848484847e-01,5.117700848484847e-01,5.117700848484850e-01,5.117700848484847e-01
1.310665246212121e+00,5.117887017373737e-01,5.117887060816161e-01,5.117887071676769e-01,5.117887071676768e-01
1.310763888888889e+00,5.118073276767678e-01,5.118073331070707e-01,5.118073276767677e-01,5.118073283326926e-01
1.311553030303030e+00,5.119562537373736e-01,5.119562410666668e-01,5.119562537373739e-01,5.119562423595957e-01
1.313131313131313e+00,5.122537438383837e-01,5.122537420282830e-01,5.122537463725252e-01,5.122537438901009e-01
1.316287878787879e+00,5.128474207676768e-01,5.128474207676768e-01,5.128474149753535e-01,5.128474155959596e-01
1.317077020202020e+00,5.129955666747475e-01,5.129955684848485e-01,5.129955684848486e-01,5.129955612444443e-01
1.317471590909091e+00,5.130695889454544e-01,5.130695932896969e-01,5.130696016161617e-01,5.130695951515151e-01
1.317668876262626e+00,5.131065964606060e-01,5.131065966054141e-01,5.131065910303030e-01,5.131065981155557e-01
1.317767518939394e+00,5.131250993131313e-01,5.131251010811693e-01,5.131250975030303e-01,5.131250978650506e-01
1.317866161616162e+00,5.131435894949494e-01,5.131435944213316e-01,5.131435894949496e-01,5.131435957010102e-01
1.319444444444444e+00,5.134393382787878e-01,5.134393369858586e-01,5.134393339345454e-01,5.134393367272728e-01
1.325757575757576e+00,5.146179167676768e-01,5.146179252906666e-01,5.146179250941415e-01,5.146179263353535e-01
1.338383838383838e+00,5.169543162311112e-01,5.169543205753536e-01,5.169543136969698e-01,5.169543192307070e-01
1.363636363636364e+00,5.215455263030304e-01,5.215455252686867e-01,5.215455226828284e-01,5.215455224242425e-01
1.388888888888889e+00,5.260308027474747e-01,5.260308056953535e-01,5.260308035439194e-01,5.260308089535353e-01
1.401515151515151e+00,5.282347763070705e-01,5.282347830303031e-01,5.282347744969697e-01,5.282347768242424e-01
1.404671717171717e+00,5.287818159838383e-01,5.287818137289696e-01,5.287818214141414e-01,5.287818170181816e-01
1.404770359848485e+00,5.287988834262627e-01,5.287988816161617e-01,5.287988834262626e-01,5.287988867878787e-01
1.404869002525253e+00,5.288159493398542e-01,5.288159508686867e-01,5.288159489861818e-01,5.288159519030303e-01
1.405066287878788e+00,5.288500826334448e-01,5.288500807369698e-01,5.288500803232322e-01,5.288500817195959e-01
1.405460858585859e+00,5.289183236131605e-01,5.289183314747474e-01,5.289183265616162e-01,5.289183255272726e-01
1.406250000000000e+00,5.290547393939394e-01,5.290547443070708e-01,5.290547393939395e-01,5.290547391353535e-01
1.407828282828283e+00,5.293272746666666e-01,5.293272769939393e-01,5.293272783385859e-01,5.293272778731312e-01
1.414141414141414e+00,5.304135163862626e-01,5.304135154036362e-01,5.304135061979798e-01,5.304135161793938e-01
1.439393939393939e+00,5.346968710774950e-01,5.346968682020203e-01,5.346968694949495e-01,5.346968707878786e-01
1.452020202020202e+00,5.368022685737374e-01,5.368022693494949e-01,5.368022640846869e-01,5.368022677979797e-01
1.458333333333333e+00,5.378460586666668e-01,5.378460640452526e-01,5.378460611490909e-01,5.378460636832322e-01
1.458727904040404e+00,5.379111046464646e-01,5.379111012848485e-01,5.379111111111112e-01,5.379111061979798e-01
1.458826546717172e+00,5.379273606464647e-01,5.379273623531313e-01,5.379273593781853e-01,5.379273586294949e-01
1.458925189393939e+00,5.379436179393940e-01,5.379436198012121e-01,5.379436170047450e-01,5.379436205252526e-01
