Statistic,Value
总链数,100
每条链domain数,4
平均力值点数,136.91
最小力值点数,129
最大力值点数,140
力值点数标准差,2.50238
平均ξ_f,5.05861
ξ_f标准差,0.987417
最小ξ_f,2.37901
最大ξ_f,7.84445
