,Domain_1,Domain_2
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,2.301400190122897e-01,4.352510764819283e-01
2.020202020202020e-01,4.433893804227986e-01,8.385577098349793e-01
3.030303030303030e-01,6.393297995454797e-01,1.209129027359406e+00
4.040404040404040e-01,8.180337389986970e-01,1.547101889432933e+00
5.050505050505051e-01,9.800344593858901e-01,1.853484887736861e+00
6.060606060606061e-01,1.126241101091630e+00,2.129997422846637e+00
7.070707070707071e-01,1.257823332956717e+00,2.378851510309892e+00
8.080808080808081e-01,1.376092727348528e+00,2.602527974673590e+00
9.090909090909091e-01,1.482401395008087e+00,2.803583626103047e+00
1.010101010101010e+00,1.578065908013313e+00,2.984508744336335e+00
1.111111111111111e+00,1.664318756128487e+00,3.147633907977421e+00
1.161616161616162e+00,1.704271148119930e+00,3.223193715605046e+00
1.167929292929293e+00,1.709126134581510e+00,3.232375646360797e+00
1.171085858585859e+00,1.711542291914854e+00,3.236945229727819e+00
1.172664141414141e+00,1.712747599869096e+00,3.239224711044514e+00
1.172762784090909e+00,1.198973668718087e+01,3.239367011428400e+00
1.172861426767677e+00,1.199028694721015e+01,3.239509432970551e+00
1.173058712121212e+00,1.199134041397319e+01,3.239794045854151e+00
1.173453282828283e+00,1.199344685524136e+01,3.240363174694732e+00
1.174242424242424e+00,1.199765712581268e+01,3.241500681194649e+00
1.186868686868687e+00,1.206458065760466e+01,3.259581926510784e+00
1.212121212121212e+00,1.219597452791839e+01,3.295081652347870e+00
1.313131313131313e+00,1.269070393380267e+01,3.428746541375194e+00
1.414141414141414e+00,1.314059869306734e+01,3.550298075391237e+00
1.464646464646465e+00,1.335044825515348e+01,3.606994813102313e+00
1.470959595959596e+00,1.337601763663375e+01,3.613903051483339e+00
1.474116161616161e+00,1.338874857350272e+01,3.617342715281088e+00
1.474510732323232e+00,1.339033736496989e+01,3.617771998404263e+00
1.474708017676767e+00,1.339113162450613e+01,3.617986593925709e+00
1.474806660353535e+00,1.339152871724601e+01,2.532637874256755e+01
1.474905303030303e+00,1.339192566007913e+01,2.532718936891105e+01
1.475694444444444e+00,1.339510054546064e+01,2.533341215439991e+01
1.477272727272727e+00,1.340144372801403e+01,2.534540860428458e+01
1.489898989898990e+00,1.345187091205976e+01,2.544077891475571e+01
1.515151515151515e+00,1.355105570457524e+01,2.562836118346337e+01
1.616161616161616e+00,1.392676257659456e+01,2.633891500262564e+01
1.717171717171717e+00,1.427177927088556e+01,2.699142625853828e+01
1.818181818181818e+00,1.458961801427521e+01,2.759253668695179e+01
1.919191919191919e+00,1.488331728596814e+01,2.814799387609521e+01
2.020202020202020e+00,1.515550880152166e+01,2.866277492031827e+01
2.121212121212121e+00,1.540847693485775e+01,2.914119914089608e+01
2.222222222222222e+00,1.564420737389530e+01,2.958702311772699e+01
2.323232323232323e+00,1.586443254742137e+01,3.000352295821858e+01
2.424242424242424e+00,1.607066730674229e+01,3.039356358527714e+01
2.525252525252525e+00,1.626424016522609e+01,3.075965685692798e+01
2.626262626262626e+00,1.644631976261011e+01,3.110401403269114e+01
2.727272727272727e+00,1.661793758804607e+01,3.142858545049050e+01
2.828282828282828e+00,1.678000687860105e+01,3.173509771012568e+01
2.929292929292929e+00,1.693333755996393e+01,3.202508386591208e+01
3.030303030303030e+00,1.707865165865333e+01,3.229990845797870e+01
3.131313131313131e+00,1.721659359689606e+01,3.256079029002219e+01
3.232323232323232e+00,1.734774026969209e+01,3.280882056185307e+01
3.333333333333333e+00,1.747260958437453e+01,3.304497945596232e+01
3.434343434343434e+00,1.759166832751110e+01,3.327014835754418e+01
3.535353535353535e+00,1.770533716051456e+01,3.348512369077017e+01
3.636363636363636e+00,1.781399675428839e+01,3.369062604200654e+01
3.737373737373737e+00,1.791799266055560e+01,3.388730750200520e+01
3.838383838383838e+00,1.801763855343218e+01,3.407576229148371e+01
3.939393939393939e+00,1.811322059209792e+01,3.425653128517491e+01
4.040404040404041e+00,1.820499928502148e+01,3.443010722163243e+01
4.141414141414141e+00,1.829321359894293e+01,3.459694199695831e+01
4.242424242424242e+00,1.837808219400288e+01,3.475744942721139e+01
4.343434343434343e+00,1.845980587734448e+01,3.491200881046051e+01
4.444444444444445e+00,1.853856941198827e+01,3.506096996696820e+01
4.545454545454545e+00,1.861454301718091e+01,3.520465460343292e+01
4.646464646464646e+00,1.868788377521246e+01,3.534335995500646e+01
4.747474747474747e+00,1.875873690498312e+01,3.547736057116681e+01
4.848484848484849e+00,1.882723698175737e+01,3.560691079946263e+01
4.949494949494950e+00,1.889350859470366e+01,3.573224678462460e+01
5.050505050505050e+00,1.895766767683631e+01,3.585358736513668e+01
5.151515151515151e+00,1.901982182532920e+01,3.597113600449881e+01
5.252525252525253e+00,1.908007138545685e+01,3.608508272491281e+01
5.353535353535354e+00,1.913850990415841e+01,3.619560428417357e+01
5.454545454545454e+00,1.919522480013374e+01,3.630286605362203e+01
5.555555555555555e+00,1.925029755859399e+01,3.640702209568659e+01
5.656565656565657e+00,1.930380466017102e+01,3.650821695217906e+01
5.757575757575758e+00,1.935581762704256e+01,3.660658625008602e+01
5.858585858585858e+00,1.940640380065349e+01,3.670225712223031e+01
5.959595959595959e+00,1.945562606240252e+01,3.679534841808638e+01
6.060606060606061e+00,1.950354371770758e+01,3.688597237818762e+01
6.161616161616162e+00,1.955021250779335e+01,3.697423449842897e+01
6.262626262626262e+00,1.959568508888043e+01,3.706023443633093e+01
6.363636363636363e+00,1.964001089509111e+01,3.714406532625284e+01
6.464646464646465e+00,1.968323681495160e+01,3.722581604505260e+01
6.565656565656566e+00,1.972540686595348e+01,3.730556993023220e+01
6.666666666666667e+00,1.976656279776823e+01,3.738340585097671e+01
6.767676767676767e+00,1.980674418449749e+01,3.745939866613262e+01
6.868686868686869e+00,1.984598833498532e+01,3.753361882438551e+01
6.969696969696970e+00,1.988433060031921e+01,3.760613363642184e+01
7.070707070707071e+00,1.992180476307508e+01,3.767700636381887e+01
7.171717171717171e+00,1.995844267344119e+01,3.774629768263636e+01
7.272727272727272e+00,1.999427457670659e+01,3.781406452272056e+01
7.373737373737374e+00,2.002932929776185e+01,3.788036161368356e+01
7.474747474747475e+00,2.006363433078680e+01,3.794524078218539e+01
7.575757575757575e+00,2.009721552559952e+01,3.800875115111823e+01
7.676767676767676e+00,2.013009789228399e+01,3.807093972116603e+01
7.777777777777778e+00,2.016230499566936e+01,3.813185128599378e+01
7.878787878787879e+00,2.019385941017519e+01,3.819152841431606e+01
7.979797979797979e+00,2.022478278515544e+01,3.825001201497923e+01
