,Domain_1,Domain_2
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,3.314355407979656e-01,3.598130495274747e-01
2.020202020202020e-01,6.385459609502184e-01,6.932183389332469e-01
3.030303030303030e-01,9.207290903441310e-01,9.995619799765351e-01
4.040404040404040e-01,1.178089007195097e+00,1.278957112299950e+00
5.050505050505051e-01,1.411393921474130e+00,1.532237660004395e+00
6.060606060606061e-01,1.621953026603717e+00,1.760824819659337e+00
7.070707070707071e-01,1.811450717926712e+00,1.966547354967482e+00
8.080808080808081e-01,1.981776179736158e+00,2.151456072189708e+00
9.090909090909091e-01,2.134876260509290e+00,2.317664597331798e+00
1.010101010101010e+00,2.272647224551785e+00,2.467231529027321e+00
1.111111111111111e+00,2.396864053357160e+00,2.602083856941724e+00
1.212121212121212e+00,2.509142711372143e+00,2.723975866521478e+00
1.313131313131313e+00,2.610926040958204e+00,2.834473814662178e+00
1.363636363636364e+00,2.658285677689079e+00,2.885888400508303e+00
1.369949494949495e+00,2.664050904481328e+00,2.892147288342008e+00
1.371527777777778e+00,2.665486974977710e+00,2.893706261672789e+00
1.371922348484848e+00,2.665845653178213e+00,2.894095631913090e+00
1.372020991161616e+00,1.866124390030071e+01,2.894193036571765e+00
1.372119633838384e+00,1.866191911245140e+01,2.894290290991892e+00
1.372316919191919e+00,1.866326958657302e+01,2.894484950070694e+00
1.373106060606061e+00,1.866844664791250e+01,2.895263035511226e+00
1.376262626262626e+00,1.868847866441735e+01,2.898369768367560e+00
1.388888888888889e+00,1.876802827107797e+01,2.910706975328794e+00
1.401515151515151e+00,1.884666279210288e+01,2.922902270963871e+00
1.404671717171717e+00,1.886618026310805e+01,2.925929207119365e+00
1.405460858585859e+00,1.887105085972563e+01,2.926684604535956e+00
1.405855429292929e+00,1.887348481011959e+01,2.927062075883248e+00
1.405954071969697e+00,1.887409307675599e+01,2.927156425691446e+00
1.406052714646465e+00,1.887470137476071e+01,2.049028910807605e+01
1.406250000000000e+00,1.887591783791612e+01,2.049171169685606e+01
1.407828282828283e+00,1.888564141507607e+01,2.050263218635974e+01
1.414141414141414e+00,1.892439692815942e+01,2.054470584071724e+01
1.515151515151515e+00,1.951551540677845e+01,2.118643599494442e+01
1.616161616161616e+00,2.005658862698079e+01,2.177383589784506e+01
1.717171717171717e+00,2.055346357614242e+01,2.231325363287727e+01
1.818181818181818e+00,2.101119813889605e+01,2.281017930520511e+01
1.919191919191919e+00,2.143416814241987e+01,2.326936423495312e+01
2.020202020202020e+00,2.182616427529693e+01,2.369492294313912e+01
2.121212121212121e+00,2.219047527997005e+01,2.409042632962167e+01
2.222222222222222e+00,2.252996194653137e+01,2.445897984722469e+01
2.323232323232323e+00,2.284711881050248e+01,2.480329177293811e+01
2.424242424242424e+00,2.314412711730732e+01,2.512572991996498e+01
2.525252525252525e+00,2.342290063107951e+01,2.542837205377186e+01
2.626262626262626e+00,2.368512198315564e+01,2.571304484994600e+01
2.727272727272727e+00,2.393227709418513e+01,2.598136137490690e+01
2.828282828282828e+00,2.416568047728723e+01,2.623474891529385e+01
2.929292929292929e+00,2.438649942486501e+01,2.647447430017226e+01
3.030303030303030e+00,2.459577304179032e+01,2.670166603417669e+01
3.131313131313131e+00,2.479442980981346e+01,2.691733161701058e+01
3.232323232323232e+00,2.498330026405182e+01,2.712237325960036e+01
3.333333333333333e+00,2.516313055332681e+01,2.731760057624793e+01
3.434343434343434e+00,2.533459251677294e+01,2.750374356924764e+01
3.535353535353535e+00,2.549829234702758e+01,2.768145906710880e+01
3.636363636363636e+00,2.565477843230916e+01,2.785134348681961e+01
3.737373737373737e+00,2.580454765775746e+01,2.801393600047507e+01
3.838383838383838e+00,2.594805257032530e+01,2.816972775591749e+01
3.939393939393939e+00,2.608570448793179e+01,2.831916558863023e+01
4.040404040404041e+00,2.621787949634564e+01,2.846265724803598e+01
4.141414141414141e+00,2.634492112471765e+01,2.860057623117163e+01
4.242424242424242e+00,2.646714434042757e+01,2.873326416647326e+01
4.343434343434343e+00,2.658483849032469e+01,2.886103541107571e+01
4.444444444444445e+00,2.669826951680684e+01,2.898417844702946e+01
4.545454545454545e+00,2.680768269793477e+01,2.910295957516578e+01
4.646464646464646e+00,2.691330432655941e+01,2.921762446796230e+01
