,Domain_1,Domain_2
0.000000000000000e+00,-1.169259619357011e+01,-1.025828629883240e+01
1.010101010101010e-01,-1.170812730154095e+01,-1.027262568246446e+01
2.020202020202020e-01,-1.175323407911085e+01,-1.031427135186521e+01
3.030303030303030e-01,-1.182563047028775e+01,-1.038111266341951e+01
4.040404040404040e-01,-1.192300731991469e+01,-1.047101764677962e+01
5.050505050505051e-01,-1.204309654664916e+01,-1.058189225375913e+01
6.060606060606061e-01,-1.218372743200975e+01,-1.071173232823987e+01
7.070707070707071e-01,-1.234286923313546e+01,-1.085866294919257e+01
8.080808080808081e-01,-1.251865793263887e+01,-1.102096312797526e+01
9.090909090909091e-01,-1.270940814004577e+01,-1.119707679655825e+01
1.010101010101010e+00,-1.291361311412718e+01,-1.138561282814251e+01
1.111111111111111e+00,-1.312993651427296e+01,-1.158533742146234e+01
1.212121212121212e+00,-1.335719920739511e+01,-1.179516192001407e+01
1.262626262626263e+00,-1.347460349101980e+01,-1.190355760344520e+01
1.287878787878788e+00,-1.353419617232735e+01,-1.195857765227472e+01
1.291035353535353e+00,-1.354168596112304e+01,-1.196549273876219e+01
1.291824494949495e+00,-1.354355980861442e+01,-1.196722280323005e+01
1.292021780303030e+00,-1.354402835789109e+01,-1.196765540004422e+01
1.292120422979798e+00,-1.354426264563551e+01,-1.196709788277467e+01
1.292219065656566e+00,-1.354449694211623e+01,-1.196861211204966e+01
1.292613636363636e+00,-1.354543421538579e+01,-1.197466959661800e+01
1.294191919191919e+00,-1.354918470509791e+01,-1.199890856116827e+01
1.300505050505051e+00,-1.356420895180109e+01,-1.209600846309729e+01
1.313131313131313e+00,-1.359436373873110e+01,-1.229089522923207e+01
1.325757575757576e+00,-1.362465885354895e+01,-1.248668891765168e+01
1.332070707070707e+00,-1.363985851640421e+01,-1.258492251310289e+01
1.332267992424243e+00,-1.364033406225865e+01,-1.258799590884388e+01
1.332366635101010e+00,-1.363582960400445e+01,-1.258953268827078e+01
1.332465277777778e+00,-1.363749414925904e+01,-1.259106952206194e+01
1.332859848484849e+00,-1.364415295689706e+01,-1.259721740076902e+01
1.333648989898990e+00,-1.365747342069287e+01,-1.260951576614538e+01
1.335227272727273e+00,-1.368412563739920e+01,-1.263412291978275e+01
1.338383838383838e+00,-1.373747514974393e+01,-1.268337884701800e+01
1.363636363636364e+00,-1.416641503244441e+01,-1.307940555320548e+01
1.414141414141414e+00,-1.503545459736285e+01,-1.388176245756820e+01
1.515151515151515e+00,-1.681585486913767e+01,-1.552555004590643e+01
1.616161616161616e+00,-1.864863368994250e+01,-1.721769710158222e+01
1.717171717171717e+00,-2.052943357150452e+01,-1.895418049268937e+01
1.818181818181818e+00,-2.245440111206685e+01,-2.073144249455147e+01
1.919191919191919e+00,-2.442011896487529e+01,-2.254632797836476e+01
2.020202020202020e+00,-2.642354723745020e+01,-2.439603030698867e+01
2.121212121212121e+00,-2.846197325043841e+01,-2.627804494887341e+01
2.222222222222222e+00,-3.053296856971752e+01,-2.819012980715303e+01
2.323232323232323e+00,-3.263435229068300e+01,-3.013027132118215e+01
2.424242424242424e+00,-3.476415965582036e+01,-3.209665549212712e+01
2.525252525252525e+00,-3.692061520052542e+01,-3.408764308934629e+01
2.626262626262626e+00,-3.910210973392332e+01,-3.610174839750404e+01
2.727272727272727e+00,-4.130718056431792e+01,-3.813762095934992e+01
2.828282828282828e+00,-4.353449447008519e+01,-4.019402985328006e+01
2.929292929292929e+00,-4.578283299575583e+01,-4.226985011767253e+01
