,Domain_1,Domain_2
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,2.336199561004577e-01,1.571403356622609e-01
2.020202020202020e-01,4.500938295990149e-01,3.027476781158593e-01
3.030303030303030e-01,6.489970629704394e-01,4.365364194914947e-01
4.040404040404040e-01,8.304031547082621e-01,5.585560409958052e-01
5.050505050505051e-01,9.948535172687241e-01,6.691706809173619e-01
6.060606060606061e-01,1.143270952786895e+00,7.690010265781149e-01
7.070707070707071e-01,1.276842778636242e+00,8.588457497951869e-01
8.080808080808081e-01,1.396900584361442e+00,9.396005184984122e-01
8.207070707070707e-01,1.411026075274056e+00,9.491017715449294e-01
8.238636363636364e-01,1.414528159483343e+00,9.514573779274405e-01
8.254419191919191e-01,1.416274805465032e+00,9.526322407662295e-01
8.255405618686869e-01,1.416383830614921e+00,9.527056104776147e-01
8.256392045454545e-01,1.416492920796215e+00,6.669260100703706e+00
8.258364898989898e-01,1.416711003611695e+00,6.670348132598320e+00
8.262310606060606e-01,1.417146974148443e+00,6.672523735344482e+00
8.270202020202020e-01,1.418018492517809e+00,6.676635984926934e+00
8.333333333333333e-01,1.424964561879471e+00,6.709340914771662e+00
8.585858585858586e-01,1.452291265356744e+00,6.838006600696307e+00
9.090909090909091e-01,1.504816721191601e+00,7.085318749948037e+00
1.010101010101010e+00,1.601927760076991e+00,7.542559022259305e+00
1.111111111111111e+00,1.689484840211599e+00,7.954815211368152e+00
1.161616161616162e+00,1.730041350562155e+00,8.145772509254600e+00
1.174242424242424e+00,1.739867595804191e+00,8.192038675366609e+00
1.180555555555556e+00,1.744735156122485e+00,8.214957261853545e+00
1.182133838383838e+00,1.745947349308858e+00,8.220664699453319e+00
1.182528409090909e+00,1.746250103013189e+00,8.222090183378949e+00
1.182725694444444e+00,1.746401463607502e+00,8.222802675136228e+00
1.182824337121212e+00,1.746477095131106e+00,8.223158931075581e+00
1.182922979797980e+00,1.222585956598532e+01,8.223515113527991e+00
1.183712121212121e+00,1.223010363901220e+01,8.226363345565440e+00
1.186868686868687e+00,1.224700875424733e+01,8.237734241630571e+00
1.212121212121212e+00,1.238038928371677e+01,8.327450396820609e+00
1.313131313131313e+00,1.288259944357773e+01,8.665253188002465e+00
1.414141414141414e+00,1.333929722532484e+01,8.972442741722558e+00
1.515151515151515e+00,1.375596052721780e+01,9.252704028945514e+00
1.616161616161616e+00,1.413734854514408e+01,9.509237993128028e+00
1.717171717171717e+00,1.448758225548533e+01,9.744816495704454e+00
1.818181818181818e+00,1.481022690745417e+01,9.961837826721935e+00
1.919191919191919e+00,1.510836727223313e+01,1.016237651376382e+01
2.020202020202020e+00,1.538467461881830e+01,1.034822981556222e+01
2.121212121212121e+00,1.564146773818882e+01,1.052095714424223e+01
2.222222222222222e+00,1.588076266241698e+01,1.068191470479112e+01
2.323232323232323e+00,1.610431803057611e+01,1.083228528438942e+01
2.424242424242424e+00,1.631367124490096e+01,1.097310296239474e+01
2.525252525252525e+00,1.651017093056294e+01,1.110527515642384e+01
2.626262626262626e+00,1.669500386517487e+01,1.122959970631671e+01
2.727272727272727e+00,1.686921681373536e+01,1.134678088816563e+01
2.828282828282828e+00,1.703373659081714e+01,1.145744229115187e+01
2.929292929292929e+00,1.718938571362618e+01,1.156213690450308e+01
3.030303030303030e+00,1.733689726167763e+01,1.166135798743660e+01
3.131313131313131e+00,1.747692499568240e+01,1.175554508808984e+01
3.232323232323232e+00,1.761005455595504e+01,1.184509242453086e+01
3.333333333333333e+00,1.773681225101785e+01,1.193035369640328e+01
3.434343434343434e+00,1.785767123038188e+01,1.201164724650905e+01
3.535353535353535e+00,1.797305868612463e+01,1.208926069923411e+01
3.636363636363636e+00,1.808336131292680e+01,1.216345386503225e+01
3.737373737373737e+00,1.818892988108063e+01,1.223446260286370e+01
3.838383838383838e+00,1.829008250470825e+01,1.230250122776730e+01
3.939393939393939e+00,1.838710969340112e+01,1.236776479857892e+01
4.040404040404041e+00,1.848027626414335e+01,1.243043164885670e+01
