Statistic,Value
总链数,100
每条链domain数,2
平均力值点数,119.39
最小力值点数,114
最大力值点数,120
力值点数标准差,1.19912
平均ξ_f,4.93677
ξ_f标准差,1.05233
最小ξ_f,2.0958
最大ξ_f,7.76059
