,Domain_1,Domain_2
0.000000000000000e+00,-9.105449612155553e+00,-9.647605847901147e+00
1.010101010101010e-01,-9.118831138951245e+00,-9.661437835774970e+00
2.020202020202020e-01,-9.157694918267714e+00,-9.701609882839840e+00
3.030303030303030e-01,-9.220071295424065e+00,-9.766086030114561e+00
4.040404040404040e-01,-9.303970713611710e+00,-9.852809746526797e+00
5.050505050505051e-01,-9.407439005020047e+00,-9.959761081298707e+00
6.060606060606061e-01,-9.528605889204220e+00,-1.008500679491070e+01
7.070707070707071e-01,-9.665721688030466e+00,-1.022673830997853e+01
8.080808080808081e-01,-9.817180373219010e+00,-1.038329553464348e+01
9.090909090909091e-01,-9.981529820566337e+00,-1.055317746198152e+01
1.010101010101010e+00,-1.015747182918637e+01,-1.073504218989222e+01
1.111111111111111e+00,-1.034385501453418e+01,-1.092769957488102e+01
1.212121212121212e+00,-1.053966344129838e+01,-1.113009948230166e+01
1.237373737373737e+00,-1.058998100841165e+01,-1.118211088494483e+01
1.250000000000000e+00,-1.061533551329514e+01,-1.120831889614188e+01
1.253156565656566e+00,-1.062169425971798e+01,-1.121489169644759e+01
1.253551136363636e+00,-1.062248966597542e+01,-1.121571387839107e+01
1.253748421717172e+00,-1.062288741596081e+01,-1.121612501779681e+01
1.253847064393939e+00,-1.062308630285606e+01,-1.121633059960552e+01
1.253945707070707e+00,-1.062484909514393e+01,-1.121653618948376e+01
1.254734848484849e+00,-1.063598915443901e+01,-1.121818119892141e+01
1.256313131313131e+00,-1.065827975371783e+01,-1.122147276543943e+01
1.262626262626263e+00,-1.074758150674075e+01,-1.123465960965900e+01
1.268939393939394e+00,-1.083710522184659e+01,-1.124787923016024e+01
1.272095959595959e+00,-1.088194989776769e+01,-1.125450126987874e+01
1.272490530303030e+00,-1.088755935220310e+01,-1.125532959630339e+01
1.272589172979798e+00,-1.088896185002925e+01,-1.125551594879484e+01
1.272687815656565e+00,-1.089036440153223e+01,-1.125696571425661e+01
1.272885101010101e+00,-1.089316966554849e+01,-1.125986541161164e+01
1.273674242424242e+00,-1.090439286767776e+01,-1.127146641933876e+01
1.275252525252525e+00,-1.092684956465907e+01,-1.129467907399874e+01
1.287878787878788e+00,-1.110699484947776e+01,-1.148088857259951e+01
1.313131313131313e+00,-1.146987541955846e+01,-1.185598475718573e+01
1.414141414141414e+00,-1.295447426917486e+01,-1.339055951826584e+01
1.515151515151515e+00,-1.448845845037709e+01,-1.497618206470477e+01
1.616161616161616e+00,-1.606757173368075e+01,-1.660845288996526e+01
1.717171717171717e+00,-1.768805972846580e+01,-1.828349121972889e+01
1.818181818181818e+00,-1.934660236259310e+01,-1.999786521858030e+01
1.919191919191919e+00,-2.104025526678470e+01,-2.174853140121543e+01
2.020202020202020e+00,-2.276639928452270e+01,-2.353278244269682e+01
2.121212121212121e+00,-2.452269718452128e+01,-2.534820243374169e+01
