,Domain_1,Domain_2
0.000000000000000e+00,-1.348333295301163e+01,-1.014155477600940e+01
1.010101010101010e-01,-1.350035192953054e+01,-1.015579717097997e+01
2.020202020202020e-01,-1.354977990271489e+01,-1.019716115758070e+01
3.030303030303030e-01,-1.362911181411536e+01,-1.026355036815869e+01
4.040404040404040e-01,-1.373581729323495e+01,-1.035284725257808e+01
5.050505050505051e-01,-1.386741097823190e+01,-1.046297192636660e+01
6.060606060606061e-01,-1.402151419741494e+01,-1.059193378910862e+01
7.070707070707071e-01,-1.419590166427313e+01,-1.073787060135772e+01
8.080808080808081e-01,-1.438853078994503e+01,-1.089907301488750e+01
9.090909090909091e-01,-1.459755472480730e+01,-1.107399548659452e+01
1.010101010101010e+00,-1.482132238294617e+01,-1.126125629897724e+01
1.111111111111111e+00,-1.505836940331875e+01,-1.145962999594968e+01
1.212121212121212e+00,-1.530740369276755e+01,-1.166803528445834e+01
1.262626262626263e+00,-1.543605521910938e+01,-1.177569780163094e+01
1.287878787878788e+00,-1.550135683479427e+01,-1.183034570609025e+01
1.288273358585859e+00,-1.550238221025905e+01,-1.183120379543224e+01
1.288372001262626e+00,-1.550263857814797e+01,-1.183141833787125e+01
1.288470643939394e+00,-1.550289495564418e+01,-1.183054678785847e+01
1.288667929292929e+00,-1.550340773945490e+01,-1.183355066190687e+01
1.289457070707070e+00,-1.550545925880985e+01,-1.184556841411272e+01
1.291035353535353e+00,-1.550956413976471e+01,-1.186961471035202e+01
1.294191919191919e+00,-1.551778125781380e+01,-1.191775039492242e+01
1.300505050505051e+00,-1.553424481613404e+01,-1.201419353295137e+01
1.313131313131313e+00,-1.556728840913836e+01,-1.220776212481351e+01
1.363636363636364e+00,-1.570098252671154e+01,-1.299093912604066e+01
1.369949494949495e+00,-1.571786160878834e+01,-1.308981639247788e+01
1.373106060606061e+00,-1.572631483598454e+01,-1.313933519888751e+01
1.373895202020202e+00,-1.572842956393455e+01,-1.315172322555886e+01
1.373993844696970e+00,-1.572869394484854e+01,-1.315327196274464e+01
1.374092487373737e+00,-1.571937775755499e+01,-1.315482075188176e+01
1.374289772727273e+00,-1.572307935307457e+01,-1.315791848599115e+01
1.374684343434343e+00,-1.573048334555399e+01,-1.316411457741846e+01
1.376262626262626e+00,-1.576010939250780e+01,-1.318890724704314e+01
1.388888888888889e+00,-1.599768677094503e+01,-1.338772477617107e+01
1.414141414141414e+00,-1.647583992231162e+01,-1.378786905221609e+01
1.515151515151515e+00,-1.842680121087466e+01,-1.542053839711683e+01
1.616161616161616e+00,-2.043515887435893e+01,-1.710124011579744e+01
1.717171717171717e+00,-2.249613798036837e+01,-1.882597828799404e+01
1.818181818181818e+00,-2.460551597413475e+01,-2.059121925275311e+01
1.919191919191919e+00,-2.675954812963622e+01,-2.239382922191758e+01
2.020202020202020e+00,-2.895490333496317e+01,-2.423102054186711e+01
2.121212121212121e+00,-3.118860903810568e+01,-2.610030562119169e+01
2.222222222222222e+00,-3.345800416276549e+01,-2.799945752811049e+01
2.323232323232323e+00,-3.576069887530524e+01,-2.992647632129101e+01
2.424242424242424e+00,-3.809454019590741e+01,-3.187956027141713e+01
2.525252525252525e+00,-4.045758257178433e+01,-3.385708123526837e+01
2.626262626262626e+00,-4.284806265277675e+01,-3.585756354658413e+01
2.727272727272727e+00,-4.526437762241608e+01,-3.787966588233092e+01
2.828282828282828e+00,-4.770506653744208e+01,-3.992216564660711e+01
2.929292929292929e+00,-5.016879421526119e+01,-4.198394548680140e+01
3.030303030303030e+00,-5.265433728257555e+01,-4.406398161833513e+01
3.131313131313131e+00,-5.516057206066738e+01,-4.616133368641663e+01
3.232323232323232e+00,-5.768646401504607e+01,-4.827513593693845e+01
3.333333333333333e+00,-6.023105854080156e+01,-5.040458950516540e+01
3.434343434343434e+00,-6.279347289139106e+01,-5.254895566130918e+01
3.535353535353535e+00,-6.537288908889511e+01,-5.470754987744921e+01
3.636363636363636e+00,-6.796854767902894e+01,-5.687973660139038e+01
3.737373737373737e+00,-7.057974221524685e+01,-5.906492464066476e+01
3.838383838383838e+00,-7.320581437384872e+01,-6.126256307459006e+01
3.939393939393939e+00,-7.584614961669149e+01,-6.347213762459331e+01
4.040404040404041e+00,-7.850017333041541e+01,-6.569316742330767e+01
4.141414141414141e+00,-8.116734738142878e+01,-6.792520213159837e+01
4.242424242424242e+00,-8.384716703458827e+01,-7.016781935994868e+01
4.343434343434343e+00,-8.653915819084477e+01,-7.242062235677344e+01
4.444444444444445e+00,-8.924287490532542e+01,-7.468323793141644e+01
4.545454545454545e+00,-9.195789715257585e+01,-7.695531458398506e+01
4.646464646464646e+00,-9.468382881015336e+01,-7.923652081791258e+01
4.747474747474747e+00,-9.742029583556446e+01,-8.152654361432135e+01
4.848484848484849e+00,-1.001669446147894e+02,-8.382508704997943e+01
4.949494949494950e+00,-1.029234404634167e+02,-8.613187104296924e+01
