f,r_opt,n_opt,Fd_min,x_opt
0.0,0.0,0.0,-25.5,0.0
0.10101010101010101,0.6502639191919193,0.0,-25.53323477982407,0.06502639191919193
0.20202020202020202,1.2528028444444443,0.0,-25.62975808156943,0.12528028444444445
0.30303030303030304,1.8064354262626263,0.0,-25.784678009068433,0.18064354262626264
0.40404040404040403,2.311365844040405,0.0,-25.99305323660464,0.2311365844040405
0.5050505050505051,2.769101187878788,0.0,-26.250030331687398,0.2769101187878788
0.6060606060606061,3.182209939393939,0.0,-26.550964207119783,0.3182209939393939
0.7070707070707071,3.553997446464646,0.0,-26.891509307388844,0.3553997446464646
0.8080808080808081,3.888169359049697,0.0,-27.267676850266334,0.3888169359049697
0.9090909090909091,4.188545939393939,0.0,-27.675860294516866,0.4188545939393939
1.0101010101010102,4.458847314747475,0.0,-28.112835387685916,0.4458847314747475
1.1111111111111112,4.702556004848484,0.0,-28.57574251499055,0.4702556004848484
1.2121212121212122,4.922842505050505,0.0,-29.062058467614236,0.4922842505050505
1.3131313131313131,5.122537503030302,0.0,-29.56956321201688,0.5122537503030302
1.4141414141414141,5.304135111111111,0.0,-30.096305538502765,0.5304135111111111
1.5151515151515151,5.4698139410101,0.0,-30.64057000200264,0.54698139410101
1.6161616161616161,5.6214661119999985,0.0,-31.200846473217112,0.5621466111999999
1.7171717171717171,5.7607304016161605,0.0,-31.775802877525305,0.5760730401616161
1.8181818181818181,5.889024387878787,0.0,-32.36426123845019,0.5889024387878787
1.9191919191919191,6.007574626262625,0.0,-32.965176880573964,0.6007574626262625
2.0202020202020203,6.117443299555555,0.0,-33.57762051542384,0.6117443299555555
2.121212121212121,6.219552478383838,0.0,-34.200762882863074,0.6219552478383837
2.2222222222222223,6.314703929923232,0.0,-34.833861615899416,0.6314703929923232
2.323232323232323,6.4035968,0.0,-35.476250016772056,0.64035968
2.4242424242424243,6.4868422997333335,0.0,-36.12732746341221,0.6486842299733333
2.525252525252525,6.564977002020202,0.0,-36.78655120017912,0.6564977002020201
2.6262626262626263,6.638472533333332,0.0,-37.45342930094695,0.6638472533333333
2.727272727272727,6.70774517139394,0.0,-38.1275146240679,0.670774517139394
2.8282828282828283,6.773163571717172,0.0,-38.808399606611616,0.6773163571717171
2.929292929292929,6.835054688193939,0.0,-39.495711769409915,0.6835054688193939
3.0303030303030303,6.893710056727273,0.0,-40.18910982500849,0.6893710056727274
3.131313131313131,6.94938954989899,0.0,-40.88828029799494,0.694938954989899
3.2323232323232323,7.002326197010102,0.0,-41.59293458174095,0.7002326197010101
3.3333333333333335,7.052729098860606,0.0,-42.30280636776961,0.7052729098860606
3.4343434343434343,7.100786501818182,0.0,-43.0176493941093,0.7100786501818181
3.5353535353535355,7.146668347474747,0.0,-43.73723546745033,0.7146668347474747
3.6363636363636362,7.19052826789495,0.0,-44.46135272096517,0.719052826789495
3.7373737373737375,7.232505706020202,0.0,-45.18980407552547,0.7232505706020202
3.8383838383838382,7.2727272727272725,0.0,-45.92240587695133,0.7272727272727273
3.9393939393939394,7.311308412121212,0.0,-46.65898668602729,0.7311308412121212
4.040404040404041,7.348354456565656,0.0,-47.39938620145275,0.7348354456565656
4.141414141414141,7.383961651717172,0.0,-48.14345429877763,0.7383961651717172
4.242424242424242,7.41821845979798,0.0,-48.89105017079902,0.741821845979798
4.343434343434343,7.451205818181819,0.0,-49.64204155694052,0.7451205818181819
4.444444444444445,7.482998297858586,0.0,-50.3963040508654,0.7482998297858586
4.494949494949495,7.498468176161616,0.0,-50.77462507920521,0.7498468176161616
