group,DeltaE1,DeltaE2
1,13.249749284441078,7.884659689867391
2,11.742129234683997,10.040264152589113
3,7.2291465980682315,9.40631992458802
4,8.068434705674994,5.543969577736338
5,7.963318942679025,9.733547670647738
6,9.100859537570182,7.74886649496931
7,10.85796520007959,5.132263294074616
8,9.613152538510082,6.193607996374164
9,7.393785725364603,11.97470132472986
10,9.951865832801447,11.987534038890999
11,8.028299827653324,12.155869477049775
12,8.712540544697106,13.447005316243839
13,5.712584126345177,9.828414023443623
14,9.025917193457337,6.732887180448785
15,14.61195179875498,9.378817478603278
16,7.193502075855347,13.668935362834434
17,12.738412422488217,7.826483845980323
18,5.691349528369748,12.136991783614938
19,13.392259306371468,11.755269474825202
20,9.70346870296907,9.095439907274503
21,13.69134415834522,12.15248934191418
22,7.28890336426668,12.49113459748244
23,11.934219536516272,10.851546234789032
24,11.978461037608044,5.761529464471962
25,11.904017224774384,12.453077979520707
26,7.065855413192782,6.582767482705389
27,10.687535702925306,8.678441078647104
28,6.638542080032489,5.535233366099233
29,12.010534241803354,10.01963281739752
30,11.381497182315117,10.496855027094044
31,12.414337424576013,10.235865413298177
32,6.171756270323161,8.956776288713977
33,9.201821923917782,12.968372138862355
34,10.812789446906336,9.602556508168867
35,5.61491447467794,9.842438930972818
36,8.110365343025268,14.252903073496748
37,12.722379752349301,10.53476908400694
38,5.070385540563846,14.182410598336993
39,14.099664789167814,9.928179096600472
40,8.778217119575341,13.686532510892189
41,8.891143938417702,10.186161070843538
42,8.638395209127827,9.51737893477953
43,8.191438371523711,12.962130677326908
44,6.491490986532359,6.858066958485215
45,6.86568419819905,10.955307623659087
46,5.838165755551721,12.287353734256229
47,13.296538189112823,10.88841245498431
48,11.983356850986695,7.704796005365774
49,12.456962791728884,10.95323947173757
50,14.291411384653372,7.425322723589304
51,6.019378767669234,8.99937918274616
52,13.397286378304933,10.450254697508555
53,10.97556509490896,10.119170012988675
54,13.003480522739094,11.944367784940058
55,12.94692430057823,10.139139104594532
56,9.39419253781679,9.830562212715654
57,5.581794155992271,12.806500217459599
58,7.714024747884183,14.233420551359716
59,11.147874710789386,10.5926882051976
60,8.708992309368067,6.419669466798051
61,5.825550110770544,13.283299097989108
62,10.842963724130005,8.902292476077672
63,9.373407811796973,11.919456917321295
64,10.324333476751868,11.688712163535786
65,9.674856622382139,14.17628963882336
66,12.031667900818672,6.180386783015127
67,7.109945887900873,6.070582876607373
68,9.048780504162758,10.765244673725634
69,12.451172500448127,12.066104420345273
70,10.139680356539902,10.141159710786289
71,6.345845050430489,12.7626709779789
72,12.167404189960973,6.283271012742519
73,10.920739326527267,6.393136751952042
74,12.231771574296562,7.576687732078648
75,6.865749834567412,10.31337755423468
76,8.431681414629924,10.282030332605338
77,14.558372100359303,8.25360182044371
78,10.048376376807196,8.323688127496133
79,7.569984681339211,7.467266519839605
80,11.552508158493623,10.423568310926157
81,7.8919371796922295,14.37201344679519
82,14.600971581174385,12.36792808571042
83,13.303673437395085,10.02436543558489
84,13.73750241246469,8.7299363134747
85,10.229779937261254,14.522434593786247
86,7.541690012182099,5.090665095501894
87,5.696622932243522,7.426768337664093
88,10.580914476216726,7.959782980429876
89,8.084213647049921,11.395677040150707
90,10.393387118255541,9.174408565537394
91,8.95043044190047,10.784661254019941
92,6.7089948800166335,14.153089453502833
93,12.871451442492738,13.782084355204013
94,6.9091598728164305,8.957203318053695
95,6.158701890007411,8.503653091211673
96,5.45248299641259,6.282286526188709
97,10.150095671660836,7.710855362134237
98,14.026633087605585,10.263590490607873
99,9.176476070879964,8.487085862181312
100,10.727568702323415,9.96351211785471
