r,f_simulation_mean,f_theory,valid_trajectories_count
0.0,,0.0,0
0.02560828828828829,0.003265613715603343,0.003007710919335454,252
0.05121657657657658,0.006190593470681185,0.006015546623306602,300
0.07682486486486487,0.009286998482577651,0.009023635326997423,300
0.10243315315315316,0.012384729620716328,0.012032105276070583,300
0.12804144144144144,0.015484225182176091,0.015041084763506473,300
0.15364972972972973,0.018585942329470695,0.01805070214635239,300
0.17925801801801802,0.021690315717065964,0.02106108586248644,300
0.2048663063063063,0.02479780094995918,0.024072364447400622,300
0.2304745945945946,0.027908830905238328,0.027084666551007587,300
0.2560828828828829,0.031023857622027126,0.030098120954475636,300
0.28169117117117115,0.034143348706942696,0.03311285658709646,300
0.30729945945945947,0.03726774328169186,0.03612900254319013,300
0.3329077477477478,0.040397504198311576,0.03914668809905188,300
0.35851603603603605,0.0435330747378881,0.042166042729945306,300
0.3841243243243243,0.04667492556478534,0.045187196127146494,300
0.4097326126126126,0.04982352723953176,0.04821027821504367,300
0.43534090090090094,0.05297934678261359,0.05123541916829706,300
0.4609491891891892,0.056142818918396314,0.0542627494290634,300
0.48655747747747746,0.05931445690994077,0.057292399724290025,300
0.5121657657657658,0.06249469787391857,0.06032450108308304,300
0.5377740540540541,0.06568408052449126,0.06335918485415433,300
0.5633823423423423,0.06888302204054558,0.06639658272335199,300
0.5889906306306306,0.07209208041335656,0.06943682673127942,300
0.6145989189189189,0.0753116814107124,0.07248004929100721,300
0.6402072072072073,0.07854238651975379,0.07552638320588317,300
0.6658154954954956,0.08178465311074205,0.0785759616874453,300
0.6914237837837838,0.08503899902127454,0.08162891837344224,300
0.7170320720720721,0.08830594311401017,0.08468538734596678,300
0.7426403603603604,0.09158603947869913,0.08774550314970679,300
0.7682486486486486,0.09487976253042668,0.09080940081031903,300
0.7938569369369369,0.09818766135710766,0.09387721585293081,300
0.8194652252252252,0.10151027599786175,0.09694908432077441,300
0.8450735135135136,0.10484818769430092,0.1000251427939601,300
0.8706818018018019,0.10820193046639347,0.10310552840839213,300
0.8962900900900901,0.1115720220176701,0.106190378874833,300
0.9218983783783784,0.11495909553881899,0.10927983249812318,300
0.9475066666666667,0.11836369377892755,0.11237402819655862,300
0.9731149549549549,0.12178645828468534,0.11547310552143411,300
0.9987232432432432,0.12522794659266373,0.11857720467675664,300
1.0243315315315316,0.12868873790729515,0.12168646653913502,300
1.0499398198198198,0.13216947857133368,0.12480103267785073,300
1.0755481081081082,0.13567082298379607,0.12792104537511667,300
1.1011563963963964,0.13919334950356838,0.13104664764652857,300
1.1267646846846846,0.14273779957379265,0.13417798326171565,300
1.152372972972973,0.14630468054733206,0.13731519676519643,300
1.1779812612612612,0.14989481927473225,0.1404584334974447,300
1.2035895495495497,0.15350881004727082,0.1436078396161735,300
1.2291978378378379,0.15714736273318414,0.14676356211784183,300
1.254806126126126,0.16081122890338317,0.14992574885939042,300
1.2804144144144145,0.16450113224781807,0.15309454858021423,300
1.3060227027027027,0.16821780762997698,0.15627011092437604,300
1.3316309909909911,0.17196194186074423,0.15945258646306953,300
1.3572392792792793,0.17573442476773868,0.16264212671733697,300
1.3828475675675675,0.1795358331017104,0.16583888418104958,300
1.408455855855856,0.18336715309505625,0.16904301234415584,300
1.4340641441441442,0.18722920080462382,0.17225466571620535,300
1.4596724324324324,0.19112276550032536,0.1754739998501561,300
1.4852807207207208,0.19504872854369543,0.17870117136647015,300
1.510889009009009,0.1990079375854829,0.18193633797750622,300
1.5364972972972972,0.20300131107714517,0.18517965851221696,300
1.5621055855855857,0.20702978968962887,0.1884312929411563,300
1.5877138738738739,0.21109429062831223,0.19169140240180618,300
1.6133221621621623,0.2151956984509972,0.19496014922422922,300
1.6389304504504505,0.2193352669336293,0.19823769695705537,300
1.6645387387387387,0.223513722173616,0.20152421039381002,300
1.6901470270270271,0.2277321474442888,0.20481985559959132,300
