r,f,p_f,p_u
0.0,0.0,0.9241418199787566,0.07585818002124345
0.023773773773773772,0.00377968030010248,0.9214492794856824,0.07855072051431755
0.047547547547547545,0.007524385911397111,0.9186957074567232,0.08130429254327676
0.07132132132132132,0.011233465188096403,0.9158818757845975,0.08411812421540255
0.09509509509509509,0.014906263625069088,0.9130087053872218,0.08699129461277821
0.11886886886886885,0.018542134491455982,0.9100772612513576,0.08992273874864243
0.14264264264264265,0.022140448963330332,0.9070887459062654,0.09291125409373457
0.1664164164164164,0.02570060559855745,0.9040444914555426,0.09595550854445745
0.19019019019019018,0.029222039015977003,0.9009459503285323,0.09905404967146769
0.21396396396396394,0.03270422766412094,0.8977946849397509,0.1022053150602491
0.2377377377377377,0.036146700590754,0.8945923564646824,0.10540764353531762
0.2615115115115115,0.03954904315232864,0.8913407129525456,0.10865928704745442
0.2852852852852853,0.0429109016307073,0.8880415770011227,0.11195842299887726
0.30905905905905906,0.04623198675200875,0.884696833215795,0.11530316678420505
0.3328328328328328,0.049512076128102205,0.881308415665233,0.11869158433476701
0.3566066066066066,0.052751015664215584,0.8778782955307021,0.12212170446929793
0.38038038038038036,0.055948719995682586,0.8744084691258384,0.12559153087416164
0.4041541541541541,0.05910517203260889,0.8709009464402792,0.12909905355972084
0.4279279279279279,0.062220421703006096,0.8673577403349838,0.1326422596650162
0.45170170170170165,0.06529458399276133,0.8637808564906568,0.13621914350934317
0.4754754754754754,0.06832783638488868,0.8601722841844764,0.13982771581552356
0.49924924924924924,0.07132041580121107,0.8565339879452654,0.14346601205473464
0.523023023023023,0.07427261514739465,0.8528679001140346,0.14713209988596543
0.5467967967967967,0.07718477955762282,0.8491759143160144,0.15082408568398564
0.5705705705705706,0.08005730242867655,0.8454598798322195,0.15454012016778051
0.5943443443443444,0.08289062132530974,0.841721596843413,0.15827840315658703
0.6181181181181181,0.08568521383004828,0.8379628125070782,0.16203718749292184
0.6418918918918919,0.08844159340133183,0.8341852178185659,0.16581478218143408
0.6656656656656657,0.09116030529462815,0.8303904452007611,0.1696095547992389
0.6894394394394394,0.09384192259207115,0.8265800667621581,0.17341993323784188
0.7132132132132132,0.09648704237754512,0.8227555931608496,0.17724440683915044
0.736986986986987,0.09909628208612484,0.8189184730113043,0.18108152698869573
0.7607607607607607,0.10167027604949262,0.8150700927716438,0.18492990722835623
0.7845345345345345,0.10420967225246171,0.8112117770510986,0.1887882229489014
0.8083083083083082,0.10671512931004817,0.807344789280203,0.19265521071979697
0.832082082082082,0.10918731366966822,0.8034703326897717,0.19652966731022825
0.8558558558558558,0.11162689703892381,0.7995895515486483,0.2004104484513517
0.8796296296296295,0.11403455403606759,0.7957035326143828,0.20429646738561724
0.9034034034034033,0.116410960057516,0.7918133067552673,0.2081866932447327
0.9271771771771771,0.11875678935465449,0.7879198507064203,0.21208014929357966
0.9509509509509508,0.12107271331057855,0.7840240889267436,0.21597591107325642
0.9747247247247247,0.12335939890626563,0.780126895527539,0.219873104472461
0.9984984984984985,0.12561750736491384,0.776229096247303,0.22377090375269704
1.0222722722722721,0.12784769296275092,0.7723314704506771,0.22766852954932293
1.046046046046046,0.1300506019944483,0.768434753132732,0.23156524686726798
1.0698198198198197,0.13222687188133067,0.7645396369126508,0.2354603630873492
1.0935935935935934,0.13437713041079424,0.7606467740034997,0.23935322599650033
1.1173673673673672,0.13650199509570463,0.7567567781471142,0.24324322185288583
1.1411411411411412,0.13860207264300373,0.7528702265051928,0.24712977349480725
1.164914914914915,0.14067795852128254,0.748987661499528,0.251012338500472
1.1886886886886887,0.1427302366176535,0.7451095925958884,0.2548904074041116
1.2124624624624625,0.144759478974858,0.7412364980274521,0.25876350197254794
1.2362362362362362,0.14676624560016252,0.7373688264548832,0.2626311735451168
1.26001001001001,0.14875108433820977,0.7335069985611526,0.26649300143884735
1.2837837837837838,0.1507145308005959,0.7296514085800754,0.2703485914199246
1.3075575575575575,0.15265710834553295,0.7258024257582452,0.27419757424175484
1.3313313313313313,0.15457932810151653,0.7219603957506614,0.2780396042493386
1.355105105105105,0.1564816890294564,0.7181256419508248,0.28187435804917516
1.3788788788788788,0.15836467801822868,0.7142984667564936,0.28570153324350644
1.4026526526526526,0.16022877000909672,0.7104791527725801,0.2895208472274199
1.4264264264264264,0.16207442814486744,0.7066679639529653,0.2933320360470347
1.4502002002002001,0.16390210394008323,0.70286514668315,0.29713485331684997
1.473973973973974,0.1657122374689166,0.6990709308058304,0.3009290691941696
1.4977477477477477,0.16750525756778634,0.69528553059157,0.30471446940843006
1.5215215215215214,0.16928158205003727,0.6915091456568009,0.3084908543431991
1.5452952952952952,0.17104161793031444,0.6877419618314172,0.3122580381685828
1.569069069069069,0.17278576165653248,0.683984151978227,0.31601584802177296
1.5928428428428427,0.17451439934758164,0.6802358767665135,0.31976412323348646
1.6166166166166165,0.17622790703513214,0.6764972854019244,0.32350271459807556
1.6403903903903903,0.17792665090809773,0.6727685163148576,0.32723148368514243
1.664164164164164,0.1796109875584979,0.6690496978094629,0.3309503021905371
1.6879379379379378,0.1812812642276194,0.665340948675309,0.334659051324691
1.7117117117117115,0.18293781905152356,0.6616423787636966,0.3383576212363034
1.7354854854854853,0.18458098130507516,0.6579540895305273,0.34204591046947275
1.759259259259259,0.18621107164378475,0.6542761745475547,0.3457238254524453
1.7830330330330328,0.18782840234286013,0.6506087199837753,0.34939128001622466
1.8068068068068066,0.18943327753295616,0.6469518050586285,0.3530481949413715
1.8305805805805804,0.19102599343219273,0.6433055024686013,0.3566944975313987
1.8543543543543541,0.19260683857408448,0.6396698787887583,0.36033012121124175
1.878128128128128,0.194176094031091,0.6360449948506343,0.36395500514936574
1.9019019019019017,0.19573403363355246,0.6324309060978612,0.36756909390213877
1.9256756756756757,0.19728092418382598,0.628827662920821,0.37117233707917896
1.9494494494494494,0.1988170256654834,0.6252353109715538,0.3747646890284462
1.9732232232232232,0.20034259144746833,0.6216538914600791,0.3783461085399209
1.996996996996997,0.2018578684831454,0.6180834414332241,0.38191655856677587
2.0207707707707705,0.20336309750420406,0.6145239940369945,0.38547600596300546
2.0445445445445443,0.20485851320940418,0.610975578763461,0.389024421236539
2.068318318318318,0.20634434444817368,0.6074382216830807,0.3925617783169193
2.092092092092092,0.20782081439908712,0.6039119456633205,0.3960880543366795
2.1158658658658656,0.20928814074327093,0.6003967705743946,0.39960322942560544
2.1396396396396393,0.21074653583279385,0.5968927134828852,0.4031072865171148
2.163413413413413,0.21219620685411417,0.5933997888339698,0.4066002111660302
2.187187187187187,0.2136373559866639,0.5899180086229309,0.41008199137706913
2.2109609609609606,0.21507018055665944,0.5864473825565889,0.4135526174434111
2.2347347347347344,0.21649487318623345,0.5829879182052573,0.4170120817947427
2.258508508508508,0.21791162193798902,0.579539621145787,0.42046037885421295
2.2822822822822824,0.21932061045508167,0.5761024950962246,0.4238975049037754
2.306056056056056,0.2207220180969354,0.5726765420425909,0.4273234579574091
2.32982982982983,0.2221160200707057,0.5692617623582391,0.4307382376417609
2.3536036036036037,0.2235027875585987,0.5658581549162406,0.4341418450837594
2.3773773773773774,0.22488248784116102,0.5624657171952051,0.4375342828047949
2.401151151151151,0.2262552844166518,0.559084445378928,0.440915554621072
2.424924924924925,0.2276213371166105,0.5557143344502266,0.44428566554977345
2.4486986986986987,0.22898080221773143,0.5523553782793104,0.44764462172068964
2.4724724724724725,0.2303338325501565,0.549007569707003,0.45099243029299696
2.4962462462462462,0.23168057760229543,0.5456709006231243,0.4543290993768757
2.52002002002002,0.23302118362228105,0.5423453620403109,0.4576546379596891
2.543793793793794,0.23435579371616586,0.5390309441635441,0.46096905583645587
2.5675675675675675,0.2356845479429641,0.5357276364556386,0.4642723635443614
2.5913413413413413,0.2370075834066403,0.5324354276989213,0.46756457230107873
2.615115115115115,0.23832503434514482,0.529154306053329,0.470845693946671
2.638888888888889,0.23963703221659285,0.5258842591111272,0.47411574088887276
2.6626626626626626,0.24094370578268198,0.5226252739484486,0.4773747260515514
2.6864364364364364,0.24224518118943997,0.5193773371738343,0.4806226628261657
2.71021021021021,0.2435415820453939,0.51614043497395,0.48385956502605
2.733983983983984,0.24483302949724564,0.5129145531566415,0.4870854468433585
2.7577577577577577,0.24611964230314085,0.5096996771914797,0.4903003228085203
2.7815315315315314,0.24740153690361136,0.506495792247941,0.49350420775205905
2.805305305305305,0.2486788274902723,0.5033028832313581,0.4966971167686419
2.829079079079079,0.24995162607235027,0.5001209348167661,0.4998790651832339
2.8528528528528527,0.251220042541118,0.496949931480766,0.5030500685192341
2.8766266266266265,0.2524841847323065,0.49378985753151905,0.506210142468481
2.9004004004004003,0.25374415848656634,0.49064069713697356,0.5093593028630264
2.924174174174174,0.25500006770804523,0.48750243435142776,0.5124975656485722
2.947947947947948,0.2562520144211461,0.4843750531405227,0.5156249468594774
2.9717217217217216,0.25750009882553077,0.48125853740475044,0.5187414625952496
2.9954954954954953,0.2587444193494292,0.478152871001564,0.521847128998436
3.019269269269269,0.2599850727013135,0.4750580377661655,0.5249419622338345
3.043043043043043,0.2612221539199932,0.4719740215310478,0.5280259784689523
3.0668168168168166,0.26245575642318814,0.4689008061443576,0.5310991938556424
3.0905905905905904,0.2636859720546302,0.46583837548714707,0.5341616245128529
3.114364364364364,0.26491289112974614,0.462786713489575,0.537213286510425
3.138138138138138,0.26613660247997106,0.4597458041461157,0.5402541958538842
3.1619119119119117,0.26735719349573905,0.4567156315298311,0.5432843684701689
3.1856856856856854,0.2685747501681983,0.45369617980575616,0.5463038201942438
3.209459459459459,0.2697893571296936,0.45068743324345,0.5493125667565499
3.233233233233233,0.27100109769305997,0.44768937622875415,0.5523106237712458
3.2570070070070067,0.27221005388976843,0.44470199327480386,0.5552980067251961
3.2807807807807805,0.273416306506963,0.44172526903233394,0.5582747309676661
3.3045545545545543,0.2746199351234276,0.4387591882993167,0.5612408117006833
3.328328328328328,0.2758210181445199,0.43580373602996736,0.5641962639700326
3.352102102102102,0.2770196328361073,0.4328588973431551,0.5671411026568449
3.3758758758758756,0.2782158553575402,0.4299246575302452,0.5700753424697548
3.3996496496496493,0.2794097607936936,0.4270010020624127,0.5729989979375874
3.423423423423423,0.2806014231861115,0.42408791659744727,0.5759120834025527
3.447197197197197,0.28179091556328295,0.4211853869860799,0.5788146130139201
3.4709709709709706,0.28297830997007983,0.4182933992778619,0.5817066007221381
3.4947447447447444,0.2841636774963852,0.4154119397266108,0.5845880602733893
3.518518518518518,0.2853470883049392,0.41254099479545525,0.5874590052045447
3.542292292292292,0.2865286116584301,0.40968055116149465,0.5903194488385053
3.5660660660660657,0.2877083159458538,0.40683059572009816,0.5931694042799018
3.5898398398398395,0.2888862687081695,0.4039911155888582,0.5960088844111417
3.613613613613613,0.2900625366632732,0.40116209811121933,0.5988379018887806
3.637387387387387,0.29123718573031154,0.39834353085980095,0.6016564691401991
3.6611611611611607,0.29241028105336037,0.39553540163942646,0.6044645983605735
3.6849349349349345,0.2935818870244873,0.3927376984898763,0.6072623015101237
3.7087087087087083,0.29475206730621956,0.3899504096883795,0.6100495903116205
3.732482482482482,0.29592088485343665,0.3871735237518589,0.6128264762481411
3.756256256256256,0.2970884019347081,0.38440702943893684,0.6155929705610632
3.7800300300300296,0.29825468015309253,0.3816509157517226,0.6183490842482774
3.8038038038038033,0.2994197804664181,0.3789051719373854,0.6210948280626146
3.8275775775775776,0.30058376320706015,0.37616978748952784,0.6238302125104722
3.8513513513513513,0.30174668810123323,0.3734447521493688,0.6265552478506312
3.875125125125125,0.3029086142878126,0.370730055906746,0.629269944093254
3.898898898898899,0.3040696003367024,0.3680256890009463,0.6319743109990537
3.9226726726726726,0.30522970426676305,0.3653316419213736,0.6346683580786264
3.9464464464464464,0.30638898356331407,0.3626479054080633,0.6373520945919366
3.97022022022022,0.3075474951952256,0.35997447045204645,0.6400255295479536
3.993993993993994,0.3087052956316118,0.3573113282955775,0.6426886717044225
4.017767767767768,0.3098624408581394,0.3546584704322259,0.645341529567774
4.041541541541541,0.31101898639296277,0.35201588860684513,0.6479841113931548
4.065315315315315,0.31217498730230037,0.34938357481541543,0.6506164251845845
4.0890890890890885,0.3133304982156602,0.3467615213047776,0.6532384786952223
4.112862862862863,0.3144855733407294,0.3441497205722528,0.6558502794277472
4.136636636636636,0.3156402664779354,0.34154816536516064,0.6584518346348394
4.16041041041041,0.3167946310346924,0.3389568486802354,0.6610431513197645
4.184184184184184,0.3179487200393402,0.33637576376294864,0.6636242362370514
4.207957957957958,0.3191025861547878,0.3338049041067395,0.6661950958932605
4.231731731731731,0.3202562816918689,0.33124426345215857,0.6687557365478414
4.255505505505505,0.3214098586224208,0.32869383578592704,0.671306164214073
4.279279279279279,0.32256336859209284,0.32615361533991716,0.6738463846600828
4.303053053053053,0.3237168629328961,0.3236235965900537,0.6763764034099463
4.326826826826826,0.3248703926754987,0.3211037742551449,0.6788962257448551
4.3506006006006,0.32602400856127906,0.31859414329563734,0.6814058567043626
4.374374374374374,0.3271777610541401,0.31609469891230774,0.6839053010876923
4.398148148148148,0.3283317003520967,0.3136054365448835,0.6863945634551165
4.421921921921921,0.32948587639863924,0.3111263518706031,0.6888736481293969
4.4456956956956954,0.33064033889388306,0.308657440802713,0.691342559197287
4.469469469469469,0.33179513730550897,0.306198699488905,0.693801300511095
4.493243243243243,0.3329503208795025,0.30375012430969534,0.6962498756903046
4.517017017017016,0.3341059386506969,0.3013117118767473,0.6986882881232527
4.5407907907907905,0.33526203945312705,0.29888345903113916,0.7011165409688609
4.564564564564565,0.33641867193019914,0.29646536284157887,0.7035346371584211
4.588338338338338,0.33757588454468285,0.2940574206025648,0.7059425793974352
4.612112112112112,0.33873372558853054,0.2916596298324968,0.7083403701675032
4.635885885885886,0.3398922431925293,0.2892719882717367,0.7107280117282633
4.65965965965966,0.34105148533579066,0.2868944938806187,0.7131055061193813
4.683433433433433,0.3422114998550828,0.2845271448374126,0.7154728551625874
4.707207207207207,0.3433723344540113,0.282169939536237,0.7178300604637631
4.730980980980981,0.34453403671205035,0.2798228765849271,0.7201771234150729
4.754754754754755,0.3456966540934317,0.2774859548028563,0.7225140451971437
4.778528528528528,0.34686023395589416,0.2751591732187083,0.7248408267812917
4.802302302302302,0.3480248235592976,0.2728425310682069,0.7271574689317931
4.826076076076076,0.34919047007410664,0.27053602779179714,0.7294639722082028
4.84984984984985,0.35035722058974655,0.26823966303228336,0.7317603369677166
4.873623623623623,0.351525122122836,0.26595343663241944,0.7340465633675806
4.897397397397397,0.35269422162530023,0.2636773486324548,0.7363226513675452
4.921171171171171,0.35386456599236665,0.2614113992676363,0.7385886007323637
4.944944944944945,0.35503620207044956,0.25915558896566054,0.7408444110343395
4.968718718718718,0.3562091766649225,0.2569099183440856,0.7430900816559144
4.9924924924924925,0.3573835365477858,0.2546743882076929,0.745325611792307
5.016266266266266,0.35855932846523,0.25244899954580335,0.7475510004541966
5.04004004004004,0.3597365991450974,0.25023375352954963,0.7497662464704504
5.063813813813813,0.36091539530424693,0.2480286515090984,0.7519713484909016
5.087587587587588,0.362095763655823,0.24583369501082575,0.7541663049891743
5.111361361361361,0.3632777509164309,0.24364888573444682,0.7563511142655532
5.135135135135135,0.3644614038132232,0.24147422555009326,0.7585257744499068
5.158908908908908,0.36564676909089644,0.23930971649534585,0.7606902835046542
5.182682682682683,0.3668338935186035,0.23715536077221408,0.7628446392277859
5.206456456456456,0.36802282389678165,0.23501116074406622,0.7649888392559338
5.23023023023023,0.3692136070638988,0.23287711893250998,0.76712288106749
5.2540040040040035,0.3704062899031207,0.23075323801421863,0.7692467619857813
5.277777777777778,0.37160091934890044,0.2286395208177067,0.7713604791822933
5.301551551551551,0.3727975423934915,0.22653597032005124,0.7734640296799488
5.325325325325325,0.3739962060933876,0.22444258964355773,0.7755574103564422
5.3490990990990985,0.3751969575756887,0.22235938205237338,0.7776406179476266
5.372872872872873,0.37639984404439764,0.2202863509490412,0.7797136490509589
5.396646646646646,0.3776049127866456,0.21822349987099882,0.7817765001290011
5.42042042042042,0.3788122111788508,0.21617083248701857,0.7838291675129814
5.444194194194194,0.3800217866928093,0.21412835259358845,0.7858716474064116
5.467967967967968,0.38123368690172116,0.21209606411123205,0.787903935888768
5.491741741741741,0.3824479594861513,0.21007397108076856,0.7899260289192315
5.515515515515515,0.3836646522399274,0.20806207765950896,0.791937922340491
5.539289289289289,0.38488381307597563,0.20606038811738897,0.793939611882611
5.563063063063063,0.38610549003209405,0.20406890683303808,0.7959310931669619
5.586836836836836,0.3873297312766667,0.20208763828978096,0.7979123617102191
5.61061061061061,0.3885565851143165,0.20011658707157323,0.7998834129284268
5.634384384384384,0.3897860999915,0.19815575785886821,0.8018442421411318
5.658158158158158,0.3910183245020428,0.19620515542441433,0.8037948445755857
5.681931931931931,0.3922533073926182,0.1942647846289808,0.8057352153710192
5.7057057057057055,0.3934910975681666,0.1923346504170128,0.8076653495829872
5.729479479479479,0.3947317440972598,0.1904147578122112,0.8095852421877888
5.753253253253253,0.39597529621740724,0.18850511191303956,0.8114948880869605
5.777027027027026,0.39722180334030605,0.18660571788815408,0.813394282111846
5.8008008008008005,0.3984713150570354,0.18471658097175617,0.8152834190282439
5.824574574574574,0.39972388114319446,0.18283770645886638,0.8171622935411336
5.848348348348348,0.4009795515639841,0.18096909970051894,0.8190309002994811
5.872122122122121,0.40223837647923255,0.17911076609887558,0.8208892339011244
5.895895895895896,0.40350040624836614,0.17726271110225333,0.8227372888977467
5.919669669669669,0.40476569143532204,0.17542494020007365,0.8245750597999264
5.943443443443443,0.40603428281340603,0.1735974589177216,0.8264025410822784
5.967217217217216,0.4073062313700928,0.17178027281132097,0.8282197271886791
5.990990990990991,0.40858158831177016,0.16997338746242036,0.8300266125375797
6.014764764764764,0.4098604050684242,0.16817680847259112,0.8318231915274089
6.038538538538538,0.41114273329826884,0.1663905414579325,0.8336094585420675
6.0623123123123115,0.41242862489231463,0.16461459204348852,0.8353854079565115
6.086086086086086,0.4137181319788813,0.16284896585756678,0.8371510341424332
6.10985985985986,0.4150113069280471,0.16109366852596826,0.8389063314740317
6.133633633633633,0.41630820235604166,0.15934870566611656,0.8406512943338834
6.157407407407407,0.41760887112957484,0.15761408288109335,0.8423859171189066
6.181181181181181,0.41891336637010435,0.15588980575357483,0.8441101942464252
6.204954954954955,0.42022174145804164,0.15417587983966738,0.8458241201603326
6.228728728728728,0.421534050036892,0.152472310662645,0.847527689337355
6.2525025025025025,0.4228503460173305,0.15077910370658387,0.8492208962934161
6.276276276276276,0.4241706835812127,0.14909626440989363,0.8509037355901063
6.30005005005005,0.425495117185516,0.14742379815874612,0.8525762018412539
6.323823823823823,0.4268237015662151,0.14576171028039805,0.8542382897196019
6.347597597597598,0.42815649174208553,0.144110006036408,0.855889993963592
6.371371371371371,0.42949354301843684,0.1424686906157478,0.8575313093842523
6.395145145145145,0.4308349109907733,0.14083776912780463,0.8591622308721953
6.418918918918918,0.4321806515483804,0.13921724659527496,0.860782753404725
6.442692692692693,0.4335308208778353,0.13760712794695018,0.8623928720530498
6.466466466466466,0.43488547546644096,0.13600741801039,0.8639925819896099
6.49024024024024,0.4362446721055801,0.13441812150448756,0.8655818784955125
6.5140140140140135,0.4376084678939899,0.1328392430319212,0.8671607569680788
6.537787787787788,0.43897692024095336,0.1312707870714946,0.8687292129285054
6.561561561561561,0.44035008686940613,0.1297127579703662,0.8702872420296338
6.585335335335335,0.4417280258189586,0.12816515993616295,0.871834840063837
6.6091091091091085,0.443110795448828,0.12662799702898359,0.8733720029710164
6.632882882882883,0.44449845444068226,0.12510127315328629,0.8748987268467137
6.656656656656656,0.44589106180139015,0.12358499204966511,0.8764150079503349
6.68043043043043,0.44728867686567814,0.12207915728651082,0.8779208427134891
6.704204204204204,0.44869135929869036,0.12058377225155964,0.8794162277484403
6.727977977977978,0.4500991690984503,0.11909884014332732,0.8809011598566727
6.751751751751751,0.451512166598221,0.11762436396243214,0.8823756360375679
6.775525525525525,0.4529304124687632,0.1161603465028026,0.8838396534971974
6.799299299299299,0.4543539677204865,0.11470679034277538,0.8852932096572246
6.823073073073073,0.45578289370549424,0.11326369783607948,0.8867363021639205
6.846846846846846,0.4572172521195165,0.1118310711027121,0.8881689288972879
6.87062062062062,0.4586571050037327,0.11040891201970089,0.8895910879802991
6.894394394394394,0.4601025147464754,0.10899722221176138,0.8910027777882387
6.918168168168168,0.4615535440848205,0.1075960030418433,0.8924039969581568
6.941941941941941,0.4630102561060543,0.10620525560157214,0.8937947443984279
6.9657157157157155,0.46447271424901887,0.10482498070158465,0.8951750192984154
6.989489489489489,0.46594098230533215,0.10345517886176198,0.8965448211382381
7.013263263263263,0.4674151244204797,0.1020958503013599,0.8979041496986401
7.037037037037036,0.46889520509477656,0.10074699492904,0.89925300507096
7.0608108108108105,0.4703812891841945,0.09940861233280396,0.900591387667196
7.084584584584584,0.47187344190105546,0.09808070176983061,0.9019192982301694
7.108358358358358,0.4733717288145854,0.09676326215622211,0.9032367378437779
7.132132132132131,0.47487621585132683,0.0954562920566591,0.9045437079433409
7.155905905905906,0.47638696929540847,0.09415978967396882,0.9058402103260312
7.179679679679679,0.4779040557886688,0.09287375283860856,0.9071262471613915
7.203453453453453,0.4794275423306294,0.09159817899806968,0.9084018210019303
7.227227227227226,0.4809574962783187,0.09033306520620246,0.9096669347937976
7.251001001001001,0.4824939853459411,0.08907840811246824,0.9109215918875317
7.274774774774774,0.4840370776043886,0.0878342039511227,0.9121657960488773
7.298548548548548,0.4855868414805954,0.08660044853033189,0.9133995514696681
7.3223223223223215,0.48714334575672974,0.08537713722122865,0.9146228627787714
7.346096096096096,0.4887066595692233,0.08416426494691163,0.9158357350530884
7.369869869869869,0.49027685240763336,0.08296182617139354,0.9170381738286064
7.393643643643643,0.49185399411333774,0.08176981488850234,0.9182301851114977
7.417417417417417,0.4934381548780586,0.08058822461074232,0.9194117753892577
7.441191191191191,0.495029405242215,0.0794170483581182,0.9205829516418818
7.464964964964964,0.496627816093099,0.07825627864693217,0.9217437213530678
7.488738738738738,0.49823345866287766,0.07710590747855496,0.922894092521445
7.512512512512512,0.4998464045264147,0.0759659263281826,0.9240340736718174
7.536286286286286,0.5014667255989139,0.07483632613358113,0.9251636738664188
7.560060060060059,0.5030944941333804,0.07371709728382884,0.9262829027161712
7.583833833833833,0.5047297827178977,0.07260822960806343,0.9273917703919365
7.607607607607607,0.5063726642727234,0.071509712364239,0.928490287635761
7.631381381381381,0.5080232120471965,0.07042153422790401,0.929578465772096
7.655155155155155,0.5096814996164594,0.06934368328100596,0.9306563167189941
7.678928928928928,0.5113476008779925,0.0682761470007323,0.9317238529992677
7.702702702702703,0.5130215900479612,0.06721891224839488,0.9327810877516052
7.726476476476476,0.5147035416573726,0.06617196525836933,0.9338280347416307
7.75025025025025,0.5163935305480452,0.06513529162709515,0.9348647083729048
7.7740240240240235,0.518091631868387,0.06410887630214974,0.9358911236978502
7.797797797797798,0.5197979210689876,0.06309270357140209,0.9369072964285979
7.821571571571571,0.5215124738980184,0.06208675705225995,0.93791324294774
7.845345345345345,0.523235366396447,0.0610910196810171,0.938908980318983
7.8691191191191185,0.5249666748930614,0.0601054737023155,0.9398945262976846
7.892892892892893,0.5267064759993099,0.05913010065872799,0.940869899341272
