r,f_theory
0.0,0.0
0.018018018018018018,0.002116221266153927
0.036036036036036036,0.004232485495533962
0.05405405405405406,0.006348837344888215
0.07207207207207207,0.008465321476027767
0.09009009009009009,0.010581982558712235
0.10810810810810811,0.012698865273536078
0.12612612612612611,0.014816014314816018
0.14414414414414414,0.01693347439348004
0.16216216216216217,0.01905129023995821
0.18018018018018017,0.02116950660707585
0.1981981981981982,0.023288168272949352
0.21621621621621623,0.025407320043885056
0.23423423423423423,0.02752700675728157
0.25225225225225223,0.029647273284535935
0.2702702702702703,0.03176816453395397
0.2882882882882883,0.03388972545366525
0.3063063063063063,0.03601200103454304
0.32432432432432434,0.03813503631312969
0.34234234234234234,0.04025887637456767
0.36036036036036034,0.04238356635553685
0.3783783783783784,0.044509151447198386
0.3963963963963964,0.0466356768981454
0.4144144144144144,0.048763188017361084
0.43243243243243246,0.050891730177184576
0.45045045045045046,0.05302134881628486
0.46846846846846846,0.05515208944264331
0.48648648648648646,0.0572839976365451
0.5045045045045045,0.05941711905357993
0.5225225225225225,0.06155149942765248
0.5405405405405406,0.06368718457400309
0.5585585585585585,0.06582422039223884
0.5765765765765766,0.06796265286937578
0.5945945945945946,0.07010252808289223
0.6126126126126126,0.07224389220379425
0.6306306306306306,0.07438679149969286
0.6486486486486487,0.07653127233789424
0.6666666666666666,0.07867738118850277
0.6846846846846847,0.0808251646275375
0.7027027027027027,0.08297466934006265
0.7207207207207207,0.08512594212333217
0.7387387387387387,0.08727902988994936
0.7567567567567568,0.08943397967104126
0.7747747747747747,0.09159083861944893
0.7927927927927928,0.09374965401293381
0.8108108108108109,0.09591047325740014
0.8288288288288288,0.09807334389013483
0.8468468468468469,0.10023831358306436
0.8648648648648649,0.10240543014602953
0.8828828828828829,0.10457474153007869
0.9009009009009009,0.10674629583077948
0.9189189189189189,0.10892014129154973
0.9369369369369369,0.11109632630700836
0.954954954954955,0.11327489942634596
0.9729729729729729,0.11545590935671621
0.990990990990991,0.11763940496664853
1.009009009009009,0.11982543528948163
1.027027027027027,0.12201404952682017
1.045045045045045,0.12420529705201272
1.063063063063063,0.1263992274136536
1.0810810810810811,0.12859589033910807
1.0990990990990992,0.13079533573806124
1.117117117117117,0.13299761370609145
1.135135135135135,0.13520277452826948
1.1531531531531531,0.13741086868278216
1.1711711711711712,0.13962194684458265
1.1891891891891893,0.14183605988906753
1.207207207207207,0.14405325889578027
1.2252252252252251,0.14627359515214303
1.2432432432432432,0.14849712015721614
1.2612612612612613,0.15072388562548647
1.2792792792792793,0.1529539434906855
1.2972972972972974,0.15518734590963598
1.3153153153153152,0.15742414526613066
1.3333333333333333,0.15966439417484046
1.3513513513513513,0.1619081454852548
1.3693693693693694,0.16415545228565398
1.3873873873873874,0.16640636790711436
1.4054054054054055,0.16866094592754635
1.4234234234234233,0.17091924017576632
1.4414414414414414,0.1731813047356036
1.4594594594594594,0.17544719395004127
1.4774774774774775,0.17771696242539395
1.4954954954954955,0.1799906650355206
1.5135135135135136,0.1822683569260749
1.5315315315315314,0.18455009351879337
1.5495495495495495,0.1868359305158206
1.5675675675675675,0.1891259239040739
1.5855855855855856,0.19142012995964797
1.6036036036036037,0.1937186052522579
1.6216216216216217,0.19602140664972448
1.6396396396396395,0.19832859132250125
1.6576576576576576,0.20064021674823876
1.6756756756756757,0.20295634071639965
1.6936936936936937,0.20527702133291448
1.7117117117117118,0.20760231702487092
1.7297297297297298,0.20993228654526658
1.7477477477477477,0.2122669889777925
1.7657657657657657,0.21460648374166885
1.7837837837837838,0.21695083059652653
1.8018018018018018,0.21930008964733572
1.8198198198198199,0.22165432134938395
1.8378378378378377,0.22401358651330208
1.8558558558558558,0.22637794631014085
1.8738738738738738,0.228747462276497
1.8918918918918919,0.2311221963196921
1.90990990990991,0.23350221072300145
1.927927927927928,0.23588756815093812
1.9459459459459458,0.23827833165458784
1.9639639639639639,0.24067456467700066
1.981981981981982,0.24307633105863632
2.0,0.2454836950428652
2.018018018018018,0.24789672128152743
2.036036036036036,0.25031547484054756
2.054054054054054,0.25274002120560896
2.0720720720720722,0.2551704262878862
2.09009009009009,0.25760675642983827
2.108108108108108,0.2600490784110609
2.126126126126126,0.2624974594542025
2.144144144144144,0.2649519672309397
2.1621621621621623,0.26741266986801865
2.18018018018018,0.2698796359533579
2.1981981981981984,0.2723529345422177
2.2162162162162162,0.27483263516343365
2.234234234234234,0.27731880782571733
2.2522522522522523,0.27981152302402446
2.27027027027027,0.2823108517459892
2.2882882882882885,0.28481686547843027
2.3063063063063063,0.2873296362139239
2.324324324324324,0.2898492364574487
2.3423423423423424,0.2923757392331023
2.3603603603603602,0.294909218090888
2.3783783783783785,0.29744974711357725
2.3963963963963963,0.2999974009236427
2.414414414414414,0.30255225469026914
2.4324324324324325,0.3051143841364371
2.4504504504504503,0.30768386554608346
2.4684684684684686,0.31026077577134004
2.4864864864864864,0.3128451922398478
2.5045045045045047,0.3154371929621521
2.5225225225225225,0.3180368565391745
2.5405405405405403,0.3206442621697669
2.5585585585585586,0.32325948965834456
2.5765765765765765,0.325882619422602
2.5945945945945947,0.3285137325013096
2.6126126126126126,0.3311529105621948
2.6306306306306304,0.33380023590990443
2.6486486486486487,0.3364557914940537
2.6666666666666665,0.3391196609173577
2.684684684684685,0.3417919284438494
2.7027027027027026,0.3444726790071836
2.720720720720721,0.3471619982190264
2.7387387387387387,0.34985997237753225
2.7567567567567566,0.35256668847590783
2.774774774774775,0.35528223421106453
2.7927927927927927,0.3580066979923579
2.810810810810811,0.3607401689504169
2.828828828828829,0.36348273694606
2.8468468468468466,0.3662344925793031
2.864864864864865,0.36899552719845297
2.8828828828828827,0.37176593290929405
2.900900900900901,0.37454580258436093
2.918918918918919,0.3773352298723024
2.9369369369369367,0.38013430920733393
2.954954954954955,0.3829431358187801
2.972972972972973,0.38576180574070423
2.990990990990991,0.38859041582162807
3.009009009009009,0.39142906373433933
3.027027027027027,0.3942778479857859
3.045045045045045,0.39713686792705843
3.063063063063063,0.4000062237634581
3.081081081081081,0.40288601656465006
3.099099099099099,0.4057763482749019
3.1171171171171173,0.40867732172340393
3.135135135135135,0.41158904063467316
3.153153153153153,0.41451160963903705
